year,file,page,schema,detected_type,tables_on_page,table_rows_estimate
2016,Water_canals_2016.pdf,1,river,Canal,1,21
2016,Water_canals_2016.pdf,2,river,Drain/STP/WTP,1,18
2016,Water_canals_2016.pdf,3,coastal,Canal,1,19
2016,Water_canals_2016.pdf,4,coastal,Canal,1,19
2016,Water_canals_2016.pdf,5,river,Canal,1,21
2016,Water_canals_2016.pdf,6,river,Canal,1,18
2016,Water_canals_2016.pdf,7,river,Canal,1,17
2016,Water_canals_2016.pdf,8,coastal,Drain/STP/WTP,1,23
2016,Water_canals_2016.pdf,9,coastal,Coastal,1,23
2016,Water_canals_2016.pdf,10,coastal,River,1,24
2016,Water_canals_2016.pdf,11,river,Drain/STP/WTP,1,15
2016,Water_canals_2016.pdf,12,river,River,1,18
2016,Water_canals_2016.pdf,13,coastal,Canal,1,21
2016,Water_canals_2016.pdf,14,river,Drain/STP/WTP,1,20
2016,Water_canals_2016.pdf,15,river,River,1,18
2016,Water_canals_2016.pdf,16,river,River,1,21
2016,Water_canals_2016.pdf,17,river,Canal,1,20
2016,Water_canals_2016.pdf,18,river,Canal,1,15
2016,Water_canals_2016.pdf,19,river,Canal,1,17
2016,Water_Ground_Water_2016.pdf,1,groundwater,River,1,27
2016,Water_Ground_Water_2016.pdf,2,groundwater,Groundwater,1,39
2016,Water_Ground_Water_2016.pdf,3,groundwater,Groundwater,1,11
2016,Water_Ground_Water_2016.pdf,4,groundwater,Pond/Tank,1,34
2016,Water_Ground_Water_2016.pdf,5,river,Pond/Tank,1,34
2016,Water_Ground_Water_2016.pdf,6,groundwater,Pond/Tank,1,36
2016,Water_Ground_Water_2016.pdf,7,river,River,1,27
2016,Water_Ground_Water_2016.pdf,8,groundwater,Groundwater,1,21
2016,Water_Ground_Water_2016.pdf,9,groundwater,Groundwater,1,24
2016,Water_Ground_Water_2016.pdf,10,groundwater,Groundwater,1,22
2016,Water_Ground_Water_2016.pdf,11,groundwater,Groundwater,1,22
2016,Water_Ground_Water_2016.pdf,12,groundwater,Groundwater,1,25
2016,Water_Ground_Water_2016.pdf,13,groundwater,Groundwater,1,38
2016,Water_Ground_Water_2016.pdf,14,groundwater,Drain/STP/WTP,1,36
2016,Water_Ground_Water_2016.pdf,15,groundwater,Groundwater,1,36
2016,Water_Ground_Water_2016.pdf,16,groundwater,Groundwater,1,35
2016,Water_Ground_Water_2016.pdf,17,groundwater,Groundwater,1,36
2016,Water_Ground_Water_2016.pdf,18,river,River,1,16
