stn_code,monitoring_location,latitude,longitude,2016,2017,2018,2019,2020,2021,2022
38,River Tungabhadra At Honnali Bridge,14.2389785,75.6457434,,,,,,River,River
38,Tunghabhadra At Honnali Bridge,14.2389785,75.6457434,River,,,,,,
41,Kabbani At Cause Way Sattur,15.4105056,75.0456504,Canal,,,,,,
41,Kabini At Cause Way Sattur,15.4105056,75.0456504,,Canal,,River,River,,
41,River Kabini At Cause Way Sattur,15.4105056,75.0456504,,,,,,River,River
51,Cauvery D/S Of Kushalanagar Town,13.1016788,77.5756532,,River,,,,,
1029,River Tungabhadra At Haralahalli Bridge,13.0236469,76.0551085,,,,,,,River
1029,"River Tungabhadra At Haralahalli Bridge,",13.0236469,76.0551085,,,,,,River,
1029,"Tungabhadra At Haralahalli Bridge,",13.0236469,76.0551085,,River,,River,River,,
1029,Tunghabhadra At Haralahalli Bridge,13.0236469,76.0551085,River,,,,,,
1091,Bhadra At Malleswaram D/S Of Kiocl,13.2097914,75.2503201,,River,,River,River,,
1091,Bhadra D/S Malleswaram Of Kiocl,13.2097914,75.2503201,River,,,,,,
1091,River Bhadra At Malleswaram D/S Of Kiocl,13.2097914,75.2503201,,,,,,River,River
1163,Ghatprabha At W.A. Point To Gokak Town,13.1016788,77.5756532,River,,,,,,
1163,"Ghatprabha At W.A. Point To Gokak Town,",13.1016788,77.5756532,,River,,River,River,,
1163,River Ghataprabha At W.A. Point To Gokak Town,13.1016788,77.5756532,,,,,,,River
1163,"River Ghatprabha At W.A. Point To Gokak Town,",13.1016788,77.5756532,,,,,,River,
1164,"Malprabha At Water Abstr. Pt. To Hubli, Dharwar",15.4540505,75.0066516,River,,,,,,
1164,"Malprabha At Water Abstr. Pt. To Hubli, Dharwar,",15.4540505,75.0066516,,River,,River,,,
1164,"River Malaprabha At Water Abstraction Point To Hubli, Dharwad",15.3707296,75.1332867,,,,,,,River
1164,"River Malprabha At Water Abstr. Pt. To Hubli, Dharwar,",15.4540505,75.0066516,,,,,,River,
1165,Arkavathi At D/S Of Kanakapura Town,13.1016788,77.5756532,,,,,River,,
