water_body_type,stn_code,monitoring_location,years,lat,lon
Canal,41,Kabbani At Cause Way Sattur,"2016,2017",15.4105056,75.0456504
Canal,1165,Arkavathi D/S Of Kanakapura Town,"2016,2017",13.1016788,77.5756532
Canal,1196,Lakshmantirtha D/S Of Hunsur Town,2016,13.1016788,77.5756532
Canal,1197,Kabbani D/S Saragur Village,"2016,2017",12.9422696,77.6253883
Canal,1199,Hemavati D/S Of Holenarasipura Town At Ramadevala Weir,"2016,2017",13.4143895,74.7645804
Canal,1200,"Shimsha D/S Of Highway Bridge, Yediyar","2016,2017",,
Canal,1445,Kabbani At Water Intake Of Kiadb At Nanjangud,"2016,2017",12.1220681,76.6843409
Canal,1892,Netravathi U/S Of Dharmastala At Water Supply Intake Point,2016,12.9519571,75.3813122
Canal,1893,Yagachi Near Pumping Station. Hassan City,2016,13.0222347,77.5671832
Canal,2772,Lakshmantirtha D/S Of Kattemalavadi,2016,12.3518289,76.2890432
Canal,2778,Arkavathi At T.G. Halli Reservoir,"2016,2017",12.9392713,77.5722595
Canal,3567,Shimsha D/S Near Madduar Town,2017,13.1016788,77.5756532
Canal,3577,Kabini At Water Supply Intake Point To T. Narasipura,2017,13.2702874,77.2346786
Groundwater,4093,"M/S Sugureshwara Ind, 196 (P), Kiadb Ind Growth Centre, Chika Sugar, Raichur",2019,16.0547194,76.9003647
River,38,Tunghabhadra At Honnali Bridge,"2016,2021,2022",14.2389785,75.6457434
River,41,Kabini At Cause Way Sattur,"2019,2020,2021,2022",15.4105056,75.0456504
River,51,Cauvery D/S Of Kushalanagar Town,2017,13.1016788,77.5756532
River,1029,Tunghabhadra At Haralahalli Bridge,"2016,2017,2019,2020,2021,2022",13.0236469,76.0551085
River,1091,Bhadra D/S Malleswaram Of Kiocl,"2016,2017,2019,2020,2021,2022",13.2097914,75.2503201
River,1163,Ghatprabha At W.A. Point To Gokak Town,"2016,2017,2019,2020,2021,2022",13.1016788,77.5756532
River,1164,"Malprabha At Water Abstr. Pt. To Hubli, Dharwar","2016,2017,2019,2021,2022",15.4540505,75.0066516
River,1165,"Arkavathi At D/S Of Kanakapura Town,","2019,2020,2021,2022",13.1016788,77.5756532
River,1167,Bhima D/S Of Bdg. Near Yadgir,"2016,2017,2019,2021,2022",16.5744123,76.9254434
River,1168,Tungha D/S Of Shimoga Town,"2016,2017,2019,2020,2021,2022",13.1016788,77.5756532
River,1170,Krishnad/S Of Devasagar Bdg.,"2016,2017,2019,2020,2021,2022",12.9733358,77.7100944
River,1181,Krishna D/S Of Narayanpura Dam,"2016,2017,2019,2020,2021",15.4559068,74.9922057
River,1183,Bhima D/S Of Road Bridge At Gangapur Village,"2016,2017,2019,2021,2022",12.9422696,77.6253883
River,1184,Bhima D/S Ferozabad Village,"2016,2017,2019,2021,2022",12.9422696,77.6253883
River,1185,Ghatprabha D/S Of Mudhol Rd. Cross Bdg,"2016,2017,2019,2020,2021,2022",12.9529035,77.5158003
River,1186,Malprabha D/S Of Aihole Town,"2016,2017,2019,2020,2021,2022",13.1016788,77.5756532
River,1187,Malprabha D/S Of Khanapur Village,"2016,2017,2019,2020,2021,2022",12.9422696,77.6253883
River,1195,Cauvery U/Skushal Nagar (Near Baichanahalli),"2016,2017,2019,2021,2022",12.4540512,75.9538266
River,1196,"Lakshmantirtha At D/S Of Hunsur Town,","2017,2019,2020,2021,2022",13.1016788,77.5756532
River,1197,"Kabini At Saragur Village D/S,","2019,2020,2021,2022",12.9422696,77.6253883
River,1199,Hemavati At D/S Of Holenarasipura Town At Ramadevala Weir,"2019,2021,2022",13.4143895,74.7645804
River,1200,"Shimsha At D/S Of Highway Bridge, Yediyar,","2019,2020,2021,2022",13.1312237,77.6957681
River,1320,Cauvery At Water Supply Intake Point To Madikeri Town,2017,13.1016788,77.5756532
River,1322,Cauvery U/S Of Kr Nagar,2017,12.9730088,77.5804711
River,1323,Cauvery At Water Supply Intake Point To Mysore Pump House,2017,12.9630135,77.7177141
River,1324,Cauvery At Water Supply Intake Point At Kollegala Dasanapura,2017,12.7467724,77.7742876
River,1386,Cauvery D/S Of Karekuara Village,"2016,2017,2019,2020,2021,2022",12.9422696,77.6253883
River,1387,Bhadra D/S Of Bhadravathi,"2016,2017,2019,2020,2021,2022",13.8363715,75.6447514
River,1444,Kali D/S West Coast Paper Mill,"2016,2018,2019,2020,2021,2022",13.102259,77.5769737
River,1445,"Kabini At Water Intake Of Kiadb At Nanjangud,","2019,2020,2021,2022",12.1220681,76.6843409
River,1451,Cauvery At Water Supply Intake Point At T K Halli,2017,17.8401056,76.8684901
River,1888,Bhima At Confluence Of Jewargi Town Sewage Disposal Point,"2016,2017,2019,2021,2022",13.3067379,77.6125389
River,1889,Krishna - Ankali Bridge Along Chikkodi Kagwad Road,"2016,2017,2019,2021,2022",16.6960786,74.7187223
River,1891,River Manjeera At D/S In Intake Point To Bidar City,"2021,2022",13.0222347,77.5671832
River,1892,Netravathi U/S Of Dharmastala At Water Supply Intake Point,"2019,2020,2021,2022",12.9519571,75.3813122
River,1893,Yagachi River Near Pumping Station. Hassan City,"2019,2021,2022",13.0222347,77.5671832
River,1894,Kumaradhara - U/S Of Uppinagady Town Before Confluence With River Nethravathi,"2019,2020,2021,2022",13.0898321,77.5424946
River,1895,Kagina D/S Of Sewage Disposal Point,"2016,2019,2020,2021,2022",13.3067379,77.6125389
