stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,latitude,longitude,geocode_query,geocoded
1533,"Digboi, Tinsukia Distt., Assam",Groundwater,ASSAM,2018,Unsafe,6.74,pH Out of Range,20.0,,6.05,246.5,1.8,0.35,2.0,2.0,,27.3956145,95.614868,"digboi tinsukia distt. assam, Assam, India",True
GEN-D63FBF,1534,Groundwater,ASSAM,2018,Unsafe,34.53,High BOD,,,,,26.0,15.7,55.7,620.95,,27.3426424,95.4074089,"1534, Assam, India",True
GEN-D1A696,1537,Groundwater,ASSAM,2018,Unsafe,34.39,High BOD,,,,,27.0,17.85,116.35,208.75,,27.3426424,95.4074089,"1537, Assam, India",True
GEN-B60C5A,1538,Groundwater,ASSAM,2018,Unsafe,33.75,High BOD,,,,,24.0,14.75,50.75,60.35,,27.3426424,95.4074089,"1538, Assam, India",True
GEN-17E23E,1539,Groundwater,ASSAM,2018,Unsafe,34.49,High BOD,,,,,28.0,17.45,114.7,290.5,,27.3426424,95.4074089,"1539, Assam, India",True
GEN-CDA721,1540,Groundwater,ASSAM,2018,Unsafe,33.77,High BOD,,,,,27.0,17.0,51.7,70.05,,27.3426424,95.4074089,"1540, Assam, India",True
GEN-1373B2,1541,Groundwater,ASSAM,2018,Unsafe,34.33,High BOD,,,,,26.0,17.7,122.4,133.25,,27.3426424,95.4074089,"1541, Assam, India",True
GEN-D01039,1542,Groundwater,ASSAM,2018,Unsafe,34.59,High BOD,,,,,26.0,18.3,131.95,283.1,,27.3426424,95.4074089,"1542, Assam, India",True
GEN-3147DA,2244,Groundwater,ASSAM,2018,Unsafe,34.35,High BOD,,,,,22.0,15.85,126.9,127.45,,27.3426424,95.4074089,"2244, Assam, India",True
GEN-758A06,2246,Groundwater,ASSAM,2018,Unsafe,33.83,High BOD,,,,,15.0,14.45,58.5,76.5,,27.3426424,95.4074089,"2246, Assam, India",True
