monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"Bore Well Water At Bhut Nath Road Water Tank Sec-3, Kankarbagh,Patna",1826,25.6018853,85.1666591,"kankarbagh patna, Bihar, India",True
"Tap Water Coming From Over Head Tank Pmch Campus, Patna",1827,25.5994865,85.1302094,"campus patna, Bihar, India",True
"Bore Well Water In Campus Of Patna Water Board Head Office, Near High Court, Patna",1828,25.6092171,85.1251399,"high court patna, Bihar, India",True
"Bore Well Water From Igims Campus, Patna",1829,25.5994865,85.1302094,"campus patna, Bihar, India",True
"Bore Well Water (Phed Pump House) Sadar Hospital Campus, Muzaffarpur",1830,26.1482548,85.3316097,"muzaffarpur, Bihar, India",True
"Bore Well Water Mmc Pump House Brahmpura Naka, Muzaffarpur",1831,26.1482548,85.3316097,"muzaffarpur, Bihar, India",True
"Tap Water In Campus Of Kali Asthan, Begusarai",1832,25.5125411,86.0883392,"begusarai, Bihar, India",True
"Tap Water In Campus Of S.P Oofice, Pokharia, Begusarai",1833,25.4196078,86.1361505,"pokharia begusarai, Bihar, India",True
"Hand Pump Water Near Govt. Hospital, Purnea",1834,25.786191,87.4885927,"hospital purnea, Bihar, India",True
"Hand Pump Water Near Court Lower Court, Purnea",1835,25.796677,87.4815747,"court purnea, Bihar, India",True
"Hand Pump Water Near Bus Stand Tilks Manjhi Chowk, Begusarai",1836,25.623771,85.9267016,"chowk begusarai, Bihar, India",True
Begusarai,1837,25.5125411,86.0883392,"begusarai, Bihar, India",True
"Tap Water Near Veer Kuwar Singh Chowk, Munger",1838,25.2202864,86.5161484,"munger, Bihar, India",True
"Hand Pump Water In Campus Of Kasturba Water Works, Munger",1839,25.2202864,86.5161484,"munger, Bihar, India",True
"Tap Water Phed Pump House Main Road, Motihari",1840,26.6506888,84.9114654,"motihari, Bihar, India",True
"Tap Well Water From T. Modal Inter School, G.B Road, Gaya",1841,24.9404472,84.8468387,"inter gaya, Bihar, India",True
"Tap Water Sample At Ramkund, Gaya",1842,24.7964355,85.0079563,"gaya, Bihar, India",True
"Phed Water Supply Near Bus Stand, Rajgir",1843,25.0299973,85.4207368,"rajgir, Bihar, India",True
Saharsa Hand Pump Water Near Sadar Hospital,2594,25.4138814,86.1356676,"sadar hospital, Bihar, India",True
Samastipur Hand Pump Water At Collectriate Campus,2595,24.7955599,85.0085612,"campus, Bihar, India",True
Sitamarhi- Hand Pump Water At Sri Janki Mandir,2596,26.5954675,85.4971075,"janki mandir, Bihar, India",True
