monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
At Raipur Region,1620,,,,False
At Bilaspur Region,1622,,,,False
"Hand Pump Water 17/10 Nepali Mohlla, Shankar Nagar, Heavy Industrial Area, Bhilai",3171,21.2120677,81.3732849,"bhilai, Chhattisgarh, India",True
"Borewell/ Handpump In Rogbahri Village, Korba",3172,22.5198217,82.6350029,"korba, Chhattisgarh, India",True
"Borewell/ Handpump In Parsabhata, Balco, Korba",3173,22.4014258,82.7449711,"balco korba, Chhattisgarh, India",True
"Borewell/ Handpump In Dhanras, Ntpc, Korba",3174,22.4165784,82.6581713,"ntpc korba, Chhattisgarh, India",True
Mahanadi At Sihawa,1851,20.3106555,81.9154404,"sihawa, Chhattisgarh, India",True
Mahanadi U/S Rudri Dhamtori Reservoir,1264,21.1525541,81.3762847,"reservoir, Chhattisgarh, India",True
Mahanadi U/S Of Rajim,1099,20.9684716,81.8796833,"rajim, Chhattisgarh, India",True
"Mahanadi At Arrang, Raipur",1852,21.2380912,81.6336993,"raipur, Chhattisgarh, India",True
Mahanadi At Kharad,1100,,,,False
Mahanadi At Sheorinarayan Village,1282,,,,False
Mahanadi A/C With Mand,1467,22.4624216,83.2352189,"mand, Chhattisgarh, India",True
Mahanadi At Interstate Boundry,1101,,,,False
"Hasdeo 100 Meter D/S A/C Of Dengur Nallah Nera C.S.E.B. East Guest House, Korba",3165,22.5198217,82.6350029,"korba, Chhattisgarh, India",True
Hasdeo D/S Near Urga Village Korba,3168,22.2732386,82.731236,"urga korba, Chhattisgarh, India",True
Hasdeo U/S Korba,1105,22.4141467,82.6810319,"hasdeo korba, Chhattisgarh, India",True
Hasdeo U/S Of Champa,1106,22.00443,82.6035365,"hasdeo champa, Chhattisgarh, India",True
"Hasdeo, Drinking Water Intake Well Of Municipal Co. Korba (Before Treatment) At Kohadia Village",3169,,,,False
"Hasdeo, Drinking Water Intake Well Of Municipal Co. Korba (After Treatment) At Kohadia Village",3170,,,,False
Kharoon U/S Raipur,1265,21.2380912,81.6336993,"raipur, Chhattisgarh, India",True
Kharoon River A/C Khapri Drain,1846,,,,False
"Kharoon B/C Khapri Drain, Durg, Raipur Road Bridge",1847,21.0882551,81.6843347,"durg raipur, Chhattisgarh, India",True
"Kharoon Bundri, Raipur",1853,21.2380912,81.6336993,"raipur, Chhattisgarh, India",True
Arpa D/S Of Bilaspur,1848,22.0766125,82.0759755,"arpa bilaspur, Chhattisgarh, India",True
