monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
W.Yam. Canal C-3 Delhi Branch At R.D.245250,1111,,,,False
"W.Yam. Canal C-4 Before Enter Into Delhi Branch, R.D.282628",1112,,,,False
W.Yam. Canal C-7 Delhi Parallel Branch At Khubru Fall Rd- 145250,1115,28.6138954,77.2090057,"145250, Delhi, India",True
W.Yam. Canal Wc-4 Delhi Parallel Branch At Panipat,1116,28.587166,77.2588367,"panipat, Delhi, India",True
Yamuna At Wazirabad,1120,28.7024004,77.2773077,"yamuna wazirabad, Delhi, India",True
Yamuna At Nizamuddin,1121,28.5909417,77.2423341,"nizamuddin, Delhi, India",True
Okhla Bridge (Inlet Of Agra Canal),GEN-DC2A9A,,,,False
Yamuna At Okhla A/M Of Shahdara Drain,1812,28.568154,77.3193197,"drain, Delhi, India",True
"Yamuna At Wazirabad, Delhi",1120,28.7024004,77.2773077,"yamuna wazirabad delhi, Delhi, India",True
"Yamuna At Nizamuddin, Delhi",1121,28.5909417,77.2423341,"nizamuddin delhi, Delhi, India",True
"Yamuna At Okhla Bridge (Inlet Of Agra Canal), Delhi",1375,28.6138954,77.2090057,"delhi, Delhi, India",True
"Yamuna At Okhla After Meeting Of Shahdara Drain, Delhi",1812,28.568154,77.3193197,"drain delhi, Delhi, India",True
"Well At Alipur, Delhi",3477,28.7970169,77.1366875,"alipur delhi, Delhi, India",True
3479,GEN-6950AA,28.6138954,77.2090057,"3479, Delhi, India",True
3480,GEN-E8E0DD,28.6138954,77.2090057,"3480, Delhi, India",True
3483,GEN-CB953F,28.6138954,77.2090057,"3483, Delhi, India",True
3485,GEN-DFEB95,28.6138954,77.2090057,"3485, Delhi, India",True
3488,GEN-C7B90B,28.6138954,77.2090057,"3488, Delhi, India",True
3489,GEN-1B3181,28.6138954,77.2090057,"3489, Delhi, India",True
3490,GEN-72F67E,28.6138954,77.2090057,"3490, Delhi, India",True
3492,GEN-0060EF,28.6138954,77.2090057,"3492, Delhi, India",True
3493,GEN-BA036D,28.6138954,77.2090057,"3493, Delhi, India",True
