monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"Canal Up Stream Of Cuncolim Indl.Est. Cuncolim, Salcete (1 Km From M/S Nicoment Industries)",2265,15.2597389,73.9458617,"industries, Goa, India",True
"Canal Downstream Of Cuncolim Indl.Est. Cuncolim, Salcete (Near Railway Bridge)",2266,15.261496,74.10762,"railway, Goa, India",True
Cumbarjua Canal Corlim(Discharge Point Of Syngenta Limited),2268,15.4034381,73.8244822,"limited, Goa, India",True
"Creek At Dando Mollo, Velsao, Mamugao",2267,,,,False
Ground Water From Goalpara Dist. (Goalpara College ),2258,,,,False
Well At Verna Indi.Estate.(M/S Cipla Limited),2277,15.4034381,73.8244822,"limited, Goa, India",True
Well At Sancoale Indl.Estate,2278,,,,False
"Well At Zuari Industries Ltd, Zuari Nagar",2279,15.5353081,73.8233478,"nagar, Goa, India",True
Well At Kudai Indl. Estate(M/S Cadila Healthcare Limited),2280,15.4614635,73.9700633,"cadila healthcare limited, Goa, India",True
Well At Corlim Indl. Estate,2281,15.3681223,73.9420759,"estate, Goa, India",True
Well At Pilerne Industrial Estate(M/S Unichem ),2282,15.5321069,73.7971347,"unichem, Goa, India",True
Bore Well At Cuncolim Industrial Estate,3193,15.3681223,73.9420759,"industrial estate, Goa, India",True
Bore Well At Bethora Industrial Estate,3194,15.3681223,73.9420759,"industrial estate, Goa, India",True
Bore Well At Madkaim Industrial Estate,3195,15.3681223,73.9420759,"industrial estate, Goa, India",True
Zuari D/S Of Pt. Where Kumbarjria Canal Joins,1399,,,,False
Mandovi At Neghbourhood Of Panaji,1400,15.4989946,73.8282141,"panaji, Goa, India",True
Zuari At Panchawadi,1475,,,,False
"Mandovi At Tonca, Marcela",1476,15.5140574,73.9612967,"marcela, Goa, India",True
Kalna At Chandel- Pernem,1543,15.7358361,73.8961243,"chandel pernem, Goa, India",True
Valvant At Sankli - Bicholim,1544,15.5557695,73.977291,"bicholim, Goa, India",True
Madai At Dabos - Valpoi,1545,15.531466,74.1372751,"valpoi, Goa, India",True
Khandepar At Opa - Ponda,1546,15.424983,74.047646,"khandepar ponda, Goa, India",True
Talpona At Canacona,1547,14.9989488,74.2022366,"talpona canacona, Goa, India",True
Assonora At Assonora,1548,15.6145308,73.9067739,"assonora assonora, Goa, India",True
"Khandepar , U/S Codli Near Bridge Opa Waterworks, Sanguem",2270,15.2282657,74.1512667,"sanguem, Goa, India",True
"Sal Pazorkhoni, Cuncolim(Near Culvert Margao- Canacona National Highway)",2271,15.0069072,74.0570639,"canacona, Goa, India",True
"Kushawati Near Bund At Kevona, Rivon, Sanguem",2272,15.2282657,74.1512667,"sanguem, Goa, India",True
"Sal Near Hotel Leela Mobor, Cavelossim",2273,15.1770682,73.9476626,"mobor cavelossim, Goa, India",True
