monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"Narmada Main Canal, Nr. Village. Limbadia, Dist",2073,,,,False
"Tapi Canal At Village Umarwada, Near Gidc Estate",2074,22.2587814,73.1896284,"gidc estate, Gujarat, India",True
Masma Khadi- Olpad- Saras Road,2080,23.7924526,69.0298348,"saras, Gujarat, India",True
Amlakhadi Creek At Pungam,2081,,,,False
"Vandkhadi At Village Umarwada, Ta Ankleshwar, Bhar",3196,22.5416027,72.9664693,"bhar, Gujarat, India",True
"Well At Ahmedabad, Gujarat",3,23.0260917,72.4821409,"well ahmedabad gujarat, Gujarat, India",True
"Well At Baroda, Gujarat",6,22.3108103,73.1657471,"baroda gujarat, Gujarat, India",True
"Well At Narol, Ahmedabad, Gujarat",1226,22.9688355,72.6067645,"narol ahmedabad gujarat, Gujarat, India",True
Bhavnagar,1948,21.7718836,72.1416449,"bhavnagar, Gujarat, India",True
Amreli,1949,21.4176122,71.249609,"amreli, Gujarat, India",True
Junagadh,1950,21.5220416,70.4582458,"junagadh, Gujarat, India",True
Surendranagar,1952,22.8251395,71.6209736,"surendranagar, Gujarat, India",True
Jamnagar,1953,22.4732415,70.0552102,"jamnagar, Gujarat, India",True
Bhuj,1954,23.2472446,69.668339,"bhuj, Gujarat, India",True
Palanpur,1955,24.1709794,72.4366375,"palanpur, Gujarat, India",True
Mehasana,1956,23.6015557,72.3867981,"mehasana, Gujarat, India",True
Siddhpur (Dist.Patan),1957,23.918279,72.3681846,"siddhpur dist.patan, Gujarat, India",True
Himatnagar,1958,23.5971246,72.9588273,"himatnagar, Gujarat, India",True
Nadiad,1959,22.6895535,72.8713603,"nadiad, Gujarat, India",True
Dahod,1960,22.9194099,74.1342725,"dahod, Gujarat, India",True
Godhara,1961,22.77011,73.6199822,"godhara, Gujarat, India",True
Vadodara (Industrial-Nandesari),1962,22.4178037,73.0949186,"nandesari, Gujarat, India",True
"Mora-Hajira (Industrial), Hajira",1965,22.8403869,69.3516683,"hajira, Gujarat, India",True
"Gabheni Village, Surat (Industrial)",1966,23.025126,72.6543805,"industrial, Gujarat, India",True
"Atul,Village G.W, (Valsad)",1967,20.5472816,72.9278239,"atul valsad, Gujarat, India",True
"Vapi Industrial Area In D/S, Vapi",1968,20.3735482,72.9084376,"vapi, Gujarat, India",True
"Sarigam Village (D/S Of Industrialarea), Vapi",1969,20.3735482,72.9084376,"vapi, Gujarat, India",True
"Borewell D/S Tsdf Site, Gidc Industrial Area, Vapi",1970,20.3735482,72.9084376,"vapi, Gujarat, India",True
Bore Well Of Chhatral Gidc.,2083,23.2899735,72.4378365,"chhatral gidc., Gujarat, India",True
Bore Well Of Palsana Village.,2084,21.0859408,72.978046,"palsana, Gujarat, India",True
Bore Well Of Santej Village.,2085,23.1081992,72.4741944,"santej, Gujarat, India",True
Bore Well At Msw Disposal Site Of Surat Municipal,2086,21.2002122,72.8211528,"surat municipal, Gujarat, India",True
B/W- Hazardous W. Disposal Site (Guj. Enviro P.& I,2087,,,,False
Bore Well Of Sachin Gidc.,2088,21.07841,72.873219,"sachin gidc., Gujarat, India",True
"B/W Near Indl. Area Borasara & Navapura, Dist. Sur",2089,22.3128371,72.969922,"navapura dist., Gujarat, India",True
