monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
W.Yam. Canal Wc- 1(Y.Nagar)100M D/S After Receiving Ind.&Sew.Effl,1109,,,,False
W.Yam. Canal Wc-2 (Near Karna Lake)G.T.Road Karnal,1110,29.7255766,76.9106924,"karnal, Haryana, India",True
"W.Yam. Canal Wc-5 Sirsa Branch At Road Bridge, Karnal",1113,29.7255766,76.9106924,"karnal, Haryana, India",True
W.Yam. Canal Wc-6 Sirsa Branch At Rd.Bridge Jind Kaithal Road,1114,29.7996588,76.3989903,"kaithal, Haryana, India",True
"Gurgaon Canal, Gc-1, (Near Badarpur Border)",1419,28.493283,77.3033657,"badarpur border, Haryana, India",True
Western Yamuna Canal At Tajewala,1886,,,,False
Western Yamuna Canal At Damla D/S Of Yamuna Nagar,2056,30.1389108,77.301064,"yamuna nagar, Haryana, India",True
"Ghaggar Gh-1 At Road Brdg. Sirsa, Debwali Road",1025,,,,False
Ghaggar Gh-2 At Chandarpur Syphon,1026,,,,False
Kala Amb D/S Markanda,1884,30.1195094,76.7861687,"markanda, Haryana, India",True
Ghaggar D/S Of Surajpur,1885,30.7628702,76.9018356,"surajpur, Haryana, India",True
Ghaggar Before Ottu Weir (Before Mixing Of Satluj Canal Water),1887,27.5587497,77.4975905,"canal, Haryana, India",True
Brahmsarovar Lake At Kurukshetra,1349,29.9693747,76.8482787,"kurukshetra, Haryana, India",True
Sukhna Lake,1392,28.4167642,77.2757624,"lake, Haryana, India",True
Yamuna At Hathnikund,1117,30.3146772,77.5830901,"hathnikund, Haryana, India",True
"Yamuna At Kalanaur, Yamuna Nagar",1496,30.1389108,77.301064,"yamuna nagar, Haryana, India",True
Yamuna At Sonepat,1119,28.99197,77.0342633,"sonepat, Haryana, India",True
"Brahmsarovar Lake At Kurukshetra, Haryana",1349,29.9693747,76.8482787,"kurukshetra haryana, Haryana, India",True
1884,GEN-F0FCF3,29.3299722,76.478973,"1884, Haryana, India",True
1885,GEN-D52377,29.2977228,76.4759547,"1885, Haryana, India",True
3033,GEN-272E11,29.2977228,76.4759547,"3033, Haryana, India",True
"Ghaggar Gh-1 At Road Brdg. Sirsa, Debwali Road, Haryana",1025,28.4808629,77.0848883,"haryana, Haryana, India",True
River Ghaggar At D/S Of Surajpur,1885,30.7628702,76.9018356,"surajpur, Haryana, India",True
Haryana,"W.YAM. CANAL WC-
1(Y.NAGAR)100M D/S AFTER
RECEIVING",28.4808629,77.0848883,"haryana, Haryana, India",True
"Yamuna At Kalanaur, Yamuna Nagar, Haryana",1496,28.5070188,77.3500466,"yamuna nagar haryana, Haryana, India",True
"Kausshalaya Lake, Pinjore, Panchkula",1392,30.8042411,76.9149498,"pinjore panchkula, Haryana, India",True
Sohna Lake,3033,28.4167642,77.2757624,"lake, Haryana, India",True
Western Yamuna Canal Wc-1(Y.Nagar)100M D/S After Receiving Ind.&Sew.Effl,1109,,,,False
Western Yamuna Canal Wc-2 (Near Karna Lake)G.T.Road Karnal,1110,29.7255766,76.9106924,"karnal, Haryana, India",True
"Western Yamuna Canal Wc-5 Sirsa Branch At Road Bridge, Karnal",1113,29.7255766,76.9106924,"karnal, Haryana, India",True
Western Yamuna Canal Wc-6 Sirsa Branch At Rd.Bridge Jind Kaithal Road,1114,29.7996588,76.3989903,"kaithal, Haryana, India",True
Water Works- Gurgaon,3047,28.4646148,77.0299194,"gurgaon, Haryana, India",True
Ghaggar At Sirsa Dabwali Road (Haryana),30017,29.8327537,74.6367292,"dabwali haryana, Haryana, India",True
Ghaggar At Chandrapur Siphon (Haryana),30018,28.4808629,77.0848883,"haryana, Haryana, India",True
Ghaggar At Ottu Weir (Haryana),30020,28.4808629,77.0848883,"haryana, Haryana, India",True
Ghaggar Gh-2 At Chandarpur Syphen,1026,,,,False
Ghaggar At Kala Amb D/S Markanda,1884,30.1195094,76.7861687,"markanda, Haryana, India",True
Markanda D/S Kala Amb/ Boundary Of Haryana,2625,28.4808629,77.0848883,"haryana, Haryana, India",True
Handpump Near Jln Canal Near Tilyar Lake At Rohtak,4830,28.8981491,76.5882342,"lake rohtak, Haryana, India",True
"Borewell In Front Of Cetp Hsiidc Rai, Sonepat",4831,28.99197,77.0342633,"sonepat, Haryana, India",True
"Borewell In The Premises Of Cetp, Murthal, Sonepat",4832,28.99197,77.0342633,"sonepat, Haryana, India",True
"Borewell In The Premises Of Dcrust, Murthal, Sonepat",4833,28.99197,77.0342633,"sonepat, Haryana, India",True
"Borewell In The Premises Of Stp Phed, Kharkhoda, Sonepat",4835,28.99197,77.0342633,"sonepat, Haryana, India",True
"Tubewell No. 1, Near Upstream Ghaggar River, Village Chiali",4836,,,,False
"Tubewell No. 2, Near Gurudwara, Village Bhatia",4837,29.5201705,75.4401153,"bhatia, Haryana, India",True
"Hand Pump Installed Near Pir Baba Mandir, Sector - 13, Bhiwani",4838,28.8161145,76.1459891,"sector bhiwani, Haryana, India",True
"Tubewell At Prithla, Palwal",4839,28.2327939,77.2905637,"prithla palwal, Haryana, India",True
"Tubewell At Hathin, Plawal",4840,,,,False
"Tubewell At Garhi, Hodal , Palwal",4841,27.8655419,77.3615169,"garhi hodal palwal, Haryana, India",True
Tubewell Near Police Station,4842,29.6934522,77.0043675,"police station, Haryana, India",True
"Gepil, Village Pali, Mohabatabad Crusher Zone, Faridabad",4843,28.3979013,77.225937,"crusher zone faridabad, Haryana, India",True
"Borewell Near Posco Company, Sector - 14, Phase - Ii, Village Pathuhera, Hsiidc, Imt, Bawal",4844,28.0596936,76.5766168,"bawal, Haryana, India",True
"Borewell Of Hsiidc Park, Sector - 1, Imt, Manesar, Gurugram",4845,28.3932827,76.9545277,"sector manesar gurugram, Haryana, India",True
