monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"At Kala Amb, H.P",1555,31.6928633,76.796236,"kala, Himachal Pradesh, India",True
"At Paonta Sahib, H.P",1556,30.4384439,77.6211774,"paonta sahib, Himachal Pradesh, India",True
"At Baddi, H.P",1558,30.9763026,76.7674001,"baddi, Himachal Pradesh, India",True
"At Nalagarh, H.P",1560,31.1059814,76.6567018,"nalagarh, Himachal Pradesh, India",True
"At Barotiwala, H.P",1559,30.9058213,76.8401329,"barotiwala, Himachal Pradesh, India",True
"At Damtal, H.P",1561,32.2539125,75.6722344,"damtal, Himachal Pradesh, India",True
"At Una, H.P",1562,,,,False
Shimla D/S Of Msw Dumping Siot,1872,,,,False
Dharamshala Kangra D/S Of Msw Dumping Siot,1873,,,,False
Solan-D/S Of Msw Dumping Siot-,1874,,,,False
Baddi Industrial Area,1877,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Barotiwala Industrial Area,1878,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Nalagarh Industrial Area,1879,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Kala Amb Industrial Area,1880,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Paonta Sahib Industrial Area,1881,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Mehatpur Industrial Area,1882,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Una Industrial Area,1883,31.4024304,76.4129499,"industrial, Himachal Pradesh, India",True
Hand Pump At Shamshi,2628,32.1185561,77.4809484,"shamshi, Himachal Pradesh, India",True
Hand Pump At Hamirpur Town,2630,31.6848695,76.5254488,"hamirpur town, Himachal Pradesh, India",True
Hand Pump At Nadaun Town,2631,31.7819445,76.3434752,"nadaun town, Himachal Pradesh, India",True
Hand Pump At Bilaspur Town,2632,32.2458877,77.1903951,"town, Himachal Pradesh, India",True
Hand Pump At Recongpeo,2633,,,,False
Hand Pump At Shimla,2634,31.1042517,77.2036459,"pump shimla, Himachal Pradesh, India",True
Hand Pump At Kangra Temple/ Town,2636,31.5226761,76.8860161,"temple/ town, Himachal Pradesh, India",True
Hand Pump At Jwalaji Temple,2637,32.1961808,76.280458,"temple, Himachal Pradesh, India",True
Hand Pump At Chintpurni Temple/ Town,2638,31.5226761,76.8860161,"temple/ town, Himachal Pradesh, India",True
Hand Pump At Chamunda Devi Temple/ Town,2639,31.5226761,76.8860161,"temple/ town, Himachal Pradesh, India",True
Gobindsagar Lake At Bilaspur,1291,31.3315601,76.7590752,"lake bilaspur, Himachal Pradesh, India",True
Pongdam Lake At Pong Village,1292,32.0083127,76.0378237,"lake pong, Himachal Pradesh, India",True
"Renuka Lake , 35 Km From Patna Sahib North",1429,32.7699626,77.4205888,"north, Himachal Pradesh, India",True
Riwalsar Lake,2649,30.609078,77.4615544,"lake, Himachal Pradesh, India",True
Khaziar Lake,2650,30.609078,77.4615544,"lake, Himachal Pradesh, India",True
Beas U/S Manali,1001,32.2397708,77.1910992,"beas manali, Himachal Pradesh, India",True
Beas D/S Manali,2601,32.2397708,77.1910992,"beas manali, Himachal Pradesh, India",True
Beas U/S Kullu,2602,32.2397708,77.1910992,"beas kullu, Himachal Pradesh, India",True
Beas D/S Kulu,1002,31.938562,77.1111971,"beas kulu, Himachal Pradesh, India",True
Beas D/S Aut,1003,31.8090021,77.1883368,"beas aut, Himachal Pradesh, India",True
Beas Exit Of Tunnel Dehal Power House,1005,31.4130832,76.8686123,"power house, Himachal Pradesh, India",True
Beas U/S Mandi,1550,31.8298121,76.7833034,"beas mandi, Himachal Pradesh, India",True
Beas D/S Mandi,1006,31.8298121,76.7833034,"beas mandi, Himachal Pradesh, India",True
Beas D/S Jaisinghpur,2604,31.827237,76.4766998,"beas jaisinghpur, Himachal Pradesh, India",True
Beas D/S Alampur,1007,31.827237,76.4766998,"beas alampur, Himachal Pradesh, India",True
Beas D/S Pong Dam,1009,32.003759,76.0493876,"pong, Himachal Pradesh, India",True
