monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Top Chachi Lake,2394,22.8137823,86.1983931,"lake, Jharkhand, India",True
"Dimna Lake,Dimna",2398,22.8407033,86.2243295,"dimna, Jharkhand, India",True
Hazaribagh Meethajhil,2402,,,,False
Ganga At Rajmahal,1059,25.053055,87.8304516,"rajmahal, Jharkhand, India",True
Ajay At Masanjore Dam,2401,,,,False
Damodar D/S Bhairabi At Rajrappa,2378,23.6320271,85.7105362,"rajrappa, Jharkhand, India",True
Damodar At Ramgarh Road Bridge,2380,23.693479,85.5215989,"ramgarh, Jharkhand, India",True
Konar At Tilaya Dam,2388,24.5059801,85.9515346,"tilaya, Jharkhand, India",True
Konar At Konar Dam,2389,23.8870767,85.7954244,"konar konar, Jharkhand, India",True
Nalkari Tributary At Patratu,2379,23.6668568,85.3056514,"patratu, Jharkhand, India",True
Damodar At Phusro Road Bridge,2382,23.7601823,85.9755003,"phusro, Jharkhand, India",True
Damodar U/S Jamadova,2383,,,,False
Damodar D/S Sindri,2384,23.6751544,86.4896289,"sindri, Jharkhand, India",True
Damodar At Panchet Dam,2391,23.6892937,86.7598057,"panchet, Jharkhand, India",True
Barakar At Maithan Dam,2392,23.7869206,86.8160406,"maithan, Jharkhand, India",True
Konar At Tenughat Dam,2390,23.7469287,85.7543455,"tenughat, Jharkhand, India",True
Bokaro At Jarandi,2381,,,,False
Karo U/S Lohojimi,1035,,,,False
"Koel At Basia,Dam U/S,Jharkhand",1033,23.3616118,84.7007194,"koel basia jharkhand, Jharkhand, India",True
"Koel At Manoharpur After Meeting Koina River D/S,J",1036,22.3146055,85.3337946,"koina river, Jharkhand, India",True
North Koel U/S Daltanganj,2376,,,,False
"North Koel D/S Bccl, Rehla",2377,,,,False
Sankh At Bolba,1034,22.4467244,84.3346708,"sankh bolba, Jharkhand, India",True
Subarnarekha At Chandil Dam,2399,22.9158478,86.0153432,"chandil, Jharkhand, India",True
Subarnarekha At Chandil Bridge,48,22.9158478,86.0153432,"chandil, Jharkhand, India",True
Subarnarekha At Jamshedpur,24,22.8015194,86.2029579,"jamshedpur, Jharkhand, India",True
"Subarnarekha At D/S Jamshedpur,(Tata Nagar),Jharka",49,,,,False
Subarekha At Ghatisla Road Bridge,2387,,,,False
"Subarnarekha At Ranchi,(Tatisilwai) Jharkhand",23,23.3795121,85.459822,"ranchi tatisilwai jharkhand, Jharkhand, India",True
Subarnarekha At Namkum Road Bridge,2385,23.3295004,85.2891243,"subarnarekha namkum, Jharkhand, India",True
Subarnarekha At Muri Road Bridge,2386,23.3776965,85.8669546,"muri, Jharkhand, India",True
Subarnarekha At Hatia Dam,2395,23.3094048,85.3084951,"hatia, Jharkhand, India",True
Subarnarekha At Gatalsud Dam,2397,,,,False
Jumar At Kanke Dam,2396,23.4466068,85.3281807,"jumar kanke, Jharkhand, India",True
"Dimna Lake, Dimna",2398,22.8407033,86.2243295,"dimna, Jharkhand, India",True
"Shiv Ganga Pond, Deoghar",2393,24.4898318,86.6990182,"deoghar, Jharkhand, India",True
"Ganga At Rajmahal,",1059,25.053055,87.8304516,"rajmahal, Jharkhand, India",True
"Koel At Manoharpur After Meeting Koina River D/S, Jharkand",1036,,,,False
"Koel At Basia, Dam U/S, Jharkhand",1033,23.3616118,84.7007194,"koel basia jharkhand, Jharkhand, India",True
"Subarnarekha At Ranchi, (Tatisilwai)",23,23.3795121,85.459822,"ranchi tatisilwai, Jharkhand, India",True
"Subarnarekha At D/S Jamshedpur, (Tata Nagar)",49,23.7848719,86.4172267,"tata nagar, Jharkhand, India",True
2394,GEN-D0921D,24.8059996,76.6047585,"2394, Jharkhand, India",True
2398,GEN-565030,24.8059996,76.6047585,"2398, Jharkhand, India",True
2402,GEN-4DD9CE,24.8059996,76.6047585,"2402, Jharkhand, India",True
2393,GEN-52CF49,24.8059996,76.6047585,"2393, Jharkhand, India",True
U/S Near Lct Ghat,10144,25.1213349,87.7517171,"ghat, Jharkhand, India",True
Sangi Dalan,10146,,,,False
"Damodar River Near Zarangdih Bridge, Bokaro",3555,23.6991279,85.9910689,"bokaro, Jharkhand, India",True
Confluence Of Bokaro & Damodar River Near Zarangdi,3556,,,,False
"Koel At Manoharpur After Meeting Koina River D/S,",1036,22.3146055,85.3337946,"koina river, Jharkhand, India",True
"Govt. Handpump Near House Of Rajendra Singh Munda, Kokrana Muri",4758,23.3776965,85.8669546,"muri, Jharkhand, India",True
Top Chanchi Lake,2394,22.8137823,86.1983931,"lake, Jharkhand, India",True
"Loco Talab ) Pumpu Talab), At- Barmasia, Dhanbad",4740,23.7952809,86.4309638,"dhanbad, Jharkhand, India",True
