stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,latitude,longitude,geocode_query,geocoded
3558,Dadesugur Bridge Gauging Station,Unknown,KARNATAKA,2016,Unsafe,8.44,High Fecal Coliform,29.0,7.1,7.95,661.5,2.0,0.2,590.0,2050.0,,12.4235961,76.683307,"station, Karnataka, India",True
3562,Thumbe Water Supply Stations To Mangalore City,Unknown,KARNATAKA,2016,Unsafe,44.44,"High Fecal Coliform, High Total Coliform",29.0,6.7,6.9,237.0,2.0,0.5,35004.0,139011.5,,13.0222347,77.5671832,"city, Karnataka, India",True
3563,U/S Of Upiingady Town,Unknown,KARNATAKA,2016,Safe,2.97,,29.5,6.6,7.2,113.0,1.0,0.4,91.5,476.5,,13.1016789,77.5756532,"town, Karnataka, India",True
3566,Krs Dam Mandya,Unknown,KARNATAKA,2016,Safe,6.54,,25.5,6.9,8.2,221.0,2.0,0.2,285.0,1200.0,,12.4241993,76.572052,"krs mandya, Karnataka, India",True
3567,D/S Shimsha Near Madduar Town,Unknown,KARNATAKA,2016,Unsafe,25.51,"Low DO, High BOD, High Fecal Coliform, High Total Coliform",25.0,4.7,8.3,855.0,6.5,0.7,1420.0,5250.0,,13.1016789,77.5756532,"town, Karnataka, India",True
3568,Water Supply Intake Point To Srirangapatna Town,Unknown,KARNATAKA,2016,Safe,6.21,,24.5,6.85,7.8,253.0,1.9,0.25,265.0,1165.0,,13.1016789,77.5756532,"town, Karnataka, India",True
3569,Water Supply Intake Point To Mandya Town,Unknown,KARNATAKA,2016,Safe,6.86,,25.5,6.65,8.3,252.0,1.95,0.45,330.0,1515.0,,13.1016789,77.5756532,"town, Karnataka, India",True
3570,D/S Of Kr Nagar Bridge,Unknown,KARNATAKA,2016,Safe,8.6,,26.0,6.3,8.0,444.0,2.3,0.45,492.5,1910.0,,12.9549835,77.6532944,"kr nagar, Karnataka, India",True
3571,U/S Of Kr Nagar,Unknown,KARNATAKA,2016,Safe,7.24,,26.0,6.6,8.2,254.0,2.0,0.45,442.5,1290.0,,12.9549835,77.6532944,"kr nagar, Karnataka, India",True
3572,Water Supply Intake Point To Hunsur Town,Unknown,KARNATAKA,2016,Safe,6.59,,26.0,6.6,7.85,346.0,2.05,0.4,270.0,1200.0,,13.1016789,77.5756532,"town, Karnataka, India",True
3573,D/S Of Kushalanagar Town,Unknown,KARNATAKA,2016,Safe,6.04,,26.0,7.35,7.7,193.0,1.4,0.2,466.0,1330.0,,12.4585525,75.961437,"kushalanagar town, Karnataka, India",True
3574,Water Supply Intake Point To Madikeri Town,Unknown,KARNATAKA,2016,Safe,3.39,,26.5,7.1,7.7,69.0,1.25,0.3,87.5,330.0,,13.1016789,77.5756532,"town, Karnataka, India",True
3575,U/S Intake Point To Nanjanagud & Gundlupet At Debur,Unknown,KARNATAKA,2016,Safe,6.14,,27.5,5.95,8.15,181.0,1.75,0.25,315.0,1245.0,,,,"to nanjanagud & gundlupet debur, Karnataka, India",False
3576,Water Supply Intake Point To Mysore Pump House,Unknown,KARNATAKA,2016,Safe,5.93,,27.0,7.0,8.15,240.0,1.7,0.45,285.0,1270.0,,12.9618349,77.7169157,"house, Karnataka, India",True
3577,Water Supply Intake Point To T Narasipura,Unknown,KARNATAKA,2016,Unsafe,8.46,High Fecal Coliform,26.5,6.5,7.65,320.0,1.75,0.45,685.0,2300.0,,12.2134628,76.9027763,"to t narasipura, Karnataka, India",True
3578,D/S Of Cauvery Maddur Water Supply Treatment Plant At Bachalli,Unknown,KARNATAKA,2016,Safe,6.46,,24.5,7.0,8.35,315.0,2.1,0.4,235.0,1070.0,,12.6720777,75.7562095,"bachalli, Karnataka, India",True
3579,Water Supply Intake Point At Kollegala Dasanapura,Unknown,KARNATAKA,2016,Unsafe,7.88,High Fecal Coliform,27.5,6.85,7.95,324.0,2.0,0.45,535.0,1620.0,,12.7467724,77.7742876,"dasanapura, Karnataka, India",True
3580,Water Supply Intake Point At Madduar,Unknown,KARNATAKA,2016,Safe,7.93,,24.5,6.45,8.3,320.0,2.0,0.7,460.0,2065.0,,,,"madduar, Karnataka, India",False
3581,Water Supply Intake Point At T K Halli,Unknown,KARNATAKA,2016,Unsafe,8.14,High Fecal Coliform,25.0,6.65,8.25,320.0,2.1,0.35,555.0,1570.0,,12.9978799,77.5843984,"t k halli, Karnataka, India",True
1444,Kali D/S West Coast Paper Mill,Unknown,KARNATAKA,2016,Safe,7.38,,29.5,5.4,7.25,119.0,2.65,0.5,188.0,929.0,,13.102259,77.5769737,"mill, Karnataka, India",True
2780,"Kali U/S Of Wcpm, Dandeli",Unknown,KARNATAKA,2016,Safe,6.7,,29.0,6.05,7.35,103.5,2.35,0.45,185.5,922.5,,15.2490284,74.6236037,"dandeli, Karnataka, India",True
1182,Krishna U/S Of Ugarkhurd Barrage,Unknown,KARNATAKA,2016,Unsafe,12.39,"High Fecal Coliform, High Total Coliform",26.5,7.45,7.65,883.0,3.0,6.7,515.0,4585.0,,,,"krishna ugarkhurd, Karnataka, India",False
1889,Krishna - Ankali Bridge Along Chikkodi Kagwad Road,Unknown,KARNATAKA,2016,Unsafe,10.0,"High BOD, High Fecal Coliform",26.0,7.55,7.6,810.1,3.15,3.05,575.0,885.0,,16.6960786,74.7187223,"kagwad, Karnataka, India",True
1181,Krishna D/S Of Narayanpura Dam,Unknown,KARNATAKA,2016,Safe,6.78,,32.5,7.35,7.95,665.0,1.9,1.7,458.0,915.5,,15.4559068,74.9922057,"krishna narayanpura, Karnataka, India",True
1028,Krishna At Tintini Bridge,Unknown,KARNATAKA,2016,Safe,8.51,,27.5,7.1,8.3,633.5,2.5,0.15,370.0,1850.0,,,,"krishna tintini, Karnataka, India",False
1170,Krishnad/S Of Devasagar Bdg.,Unknown,KARNATAKA,2016,Unsafe,9.38,High Fecal Coliform,29.5,7.6,7.8,995.0,2.75,0.15,570.0,1250.0,,,,"krishnad/s devasagar ., Karnataka, India",False
2781,Krishna D/S Of Alamatti Dam,Unknown,KARNATAKA,2016,Safe,6.33,,32.5,7.5,7.95,1080.0,1.7,1.45,458.0,911.0,,16.3451718,75.8923516,"alamatti, Karnataka, India",True
1183,Bhima D/S Of Road Bridge At Gangapur Village,Unknown,KARNATAKA,2016,Unsafe,7.63,High BOD,28.5,6.4,8.45,548.0,3.05,0.0,167.0,240.0,,12.9617214,77.6366258,"village, Karnataka, India",True
1184,Bhima D/S Ferozabad Village,Unknown,KARNATAKA,2016,Unsafe,9.89,High BOD,28.5,6.45,8.2,577.5,4.2,0.0,116.5,120.0,,12.9617214,77.6366258,"village, Karnataka, India",True
