monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Dadesugur Bridge Gauging Station,3558,12.4235961,76.683307,"station, Karnataka, India",True
Thumbe Water Supply Stations To Mangalore City,3562,13.0222347,77.5671832,"city, Karnataka, India",True
U/S Of Upiingady Town,3563,13.1016789,77.5756532,"town, Karnataka, India",True
Krs Dam Mandya,3566,12.4241993,76.572052,"krs mandya, Karnataka, India",True
D/S Shimsha Near Madduar Town,3567,13.1016789,77.5756532,"town, Karnataka, India",True
Water Supply Intake Point To Srirangapatna Town,3568,13.1016789,77.5756532,"town, Karnataka, India",True
Water Supply Intake Point To Mandya Town,3569,13.1016789,77.5756532,"town, Karnataka, India",True
D/S Of Kr Nagar Bridge,3570,12.9549835,77.6532944,"kr nagar, Karnataka, India",True
U/S Of Kr Nagar,3571,12.9549835,77.6532944,"kr nagar, Karnataka, India",True
Water Supply Intake Point To Hunsur Town,3572,13.1016789,77.5756532,"town, Karnataka, India",True
D/S Of Kushalanagar Town,3573,12.4585525,75.961437,"kushalanagar town, Karnataka, India",True
Water Supply Intake Point To Madikeri Town,3574,13.1016789,77.5756532,"town, Karnataka, India",True
U/S Intake Point To Nanjanagud & Gundlupet At Debur,3575,,,"to nanjanagud & gundlupet debur, Karnataka, India",False
Water Supply Intake Point To Mysore Pump House,3576,12.9618349,77.7169157,"house, Karnataka, India",True
Water Supply Intake Point To T Narasipura,3577,12.2134628,76.9027763,"to t narasipura, Karnataka, India",True
D/S Of Cauvery Maddur Water Supply Treatment Plant At Bachalli,3578,12.6720777,75.7562095,"bachalli, Karnataka, India",True
Water Supply Intake Point At Kollegala Dasanapura,3579,12.7467724,77.7742876,"dasanapura, Karnataka, India",True
Water Supply Intake Point At Madduar,3580,,,"madduar, Karnataka, India",False
Water Supply Intake Point At T K Halli,3581,12.9978799,77.5843984,"t k halli, Karnataka, India",True
Kali D/S West Coast Paper Mill,1444,13.102259,77.5769737,"mill, Karnataka, India",True
"Kali U/S Of Wcpm, Dandeli",2780,15.2490284,74.6236037,"dandeli, Karnataka, India",True
"Ulsoor Lake Training Centre Of Fish Breeding,Karna",1388,14.5501743,74.3152145,"karna, Karnataka, India",True
"Heballa Valley Lake At D/S Road Bridge Nr. Mandya, Karnataka",1446,12.6391039,76.4929544,"lake mandya karnataka, Karnataka, India",True
Hebbal Lake,3582,12.3579894,76.6105084,"hebbal lake, Karnataka, India",True
Kukkarahalli Lake,3583,12.3102084,76.6274445,"kukkarahalli lake, Karnataka, India",True
Dalavai Lake,3584,14.5415972,74.3256803,"lake, Karnataka, India",True
Yennehole Lake,3585,14.5415972,74.3256803,"lake, Karnataka, India",True
Limbhabudi Lake,3586,14.5415972,74.3256803,"lake, Karnataka, India",True
Shettykere Lake,3587,14.5415972,74.3256803,"lake, Karnataka, India",True
Yediyur Lake,3592,12.9338387,77.5766853,"yediyur lake, Karnataka, India",True
"Ulsoor Lake Training Centre Of Fish Breeding, Karnataka",3593,13.1604848,77.4781335,"breeding karnataka, Karnataka, India",True
Karihobanahalli Lake,3601,14.5415972,74.3256803,"lake, Karnataka, India",True
