stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
,1516,Groundwater,ANDHRA PRADESH,2018,,,,,25.0,16.3,426.85,1080.5,,1.7,16.0,201.0
,1517,Groundwater,ANDHRA PRADESH,2018,,,,,22.0,16.7,2173.7,2750.25,,2.85,8.6,2.0
,1518,Groundwater,ANDHRA PRADESH,2018,,,,,22.0,17.05,3073.75,3090.4,,2.5,18.1,2.0
,1519,Groundwater,ANDHRA PRADESH,2018,,,,,28.0,18.15,1063.8,1090.25,,3.35,13.4,2.0
,1522,Groundwater,ANDHRA PRADESH,2018,,,,,27.0,17.0,268.5,280.7,,1.15,4.85,82.5
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",River,ANDHRA PRADESH,2018,27.5,6.2,7.0,809.5,1.5,9.185,41.0,1305.0,,,,
2352,"RIVER VAMSHADHARA, KALINGAPATNAM, VIZIANAGARAM, A.P",River,ANDHRA PRADESH,2018,27.5,6.15,7.45,3887.0,1.55,7.9,27.0,610.0,,,,
"SAMARLA KOTA CANAL,
KAKINADA, EAST GODAVARI, A.P",ANDHRA PRADESH,Canal,ANDHRA PRADESH,2018,26.5,6.05,7.86,382.0,1.25,2.07,15.0,230.0,,,,
"TULJE BAGH CANAL, TEKRI DRAIN,
KAKINADA, EAST GODA",ANDHRA PRADESH,Canal,ANDHRA PRADESH,2018,28.5,5.55,7.52,4630.0,1.25,7.205,24.0,2350.0,,,,
"BUDAMERU CANAL NR BDG AT
NH-5, KEESARAPALLY, KRISH",ANDHRA PRADESH,Canal,ANDHRA PRADESH,2018,26.0,5.0,7.755,937.5,6.7,6.335,4.0,1350.0,,,,
"GUNTATHIPPA DRAIN B/C WITH
RYVES CANAL AT RAMAVARA",ANDHRA PRADESH,Canal,ANDHRA PRADESH,2018,25.5,4.3,7.31,1719.5,9.55,6.172,4.0,1350.0,,,,
"TULIA BAGH DRAIN AT
VEMULAVADA, EAST GODAVARI, A.P",ANDHRA PRADESH,Canal,ANDHRA PRADESH,2018,28.5,6.1,7.53,3287.5,1.65,3.025,45.0,2030.0,,,,
GODAVARI RAJAMUDRY,ANDHRA PRADESH,River,ANDHRA PRADESH,2018,,6.3,7.41,,29.0,,,,,,,
14,"GODAVARI AT POLAVARAM, A.P.",River,ANDHRA PRADESH,2018,27.0,6.9,7.45,243.5,1.25,3.975,11.0,165.0,,,,
2371,"GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL, A.P",River,ANDHRA PRADESH,2018,28.5,5.6,7.45,328.5,1.95,3.595,15.0,335.0,,,,
