stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3106,RIVER DIBANG AT ROING (U/S),River,ARUNACHAL PRADESH,2022,24.55,9.2,7.405,252.5,3.1,,,,
3107,RIVER DIHING AT MIAO (U/S OF NOA DIHING),River,ARUNACHAL PRADESH,2022,23.4,9.0,7.275,238.5,1.85,,,,
3095,"RIVER SENKI AT CHANDRANAGAR, ITANAGAR, (U/S OF PACHIN RIVER)",River,ARUNACHAL PRADESH,2022,23.7,5.3,8.74,536.0,2.2,,,,
3096,RIVER DIKRONG AT NIRJULI (U/S),River,ARUNACHAL PRADESH,2022,27.05,5.1,7.4,853.5,1.7,,,,
3097,RIVER SUBANSIRI AT GERUKAMUKH,River,ARUNACHAL PRADESH,2022,26.8,9.1,7.18,171.0,2.35,,,,
3098,"RIVER SIANG AT RANAGHAT, NEAR RCC BRIDGE, PASIGHAT(U/S)",River,ARUNACHAL PRADESH,2022,23.75,4.7,7.505,214.0,2.4,,,,
3105,"RIVER GAI NADI, NEAR HSS LIKABALI (D/S)",River,ARUNACHAL PRADESH,2022,26.5,9.05,7.875,301.0,1.85,,,,
3108,RIVER BERENG AT CHOWKHAM,River,ARUNACHAL PRADESH,2022,25.8,8.35,7.435,298.5,1.95,,,,
3099,RIVER LOHIT AT ALUBARI (D/S),River,ARUNACHAL PRADESH,2022,27.5,8.85,7.36,329.5,1.6,,,,
3100,RIVER NAMCHIK AT KHARSANG,River,ARUNACHAL PRADESH,2022,26.3,9.15,7.15,180.5,2.85,,,,
3109,"RIVER NOA DIHING AT NAMSAI, (D/S OF DIHING)",River,ARUNACHAL PRADESH,2022,25.9,8.75,7.32,233.5,1.75,,,,
3103,"RIVER PACHIN AT NAHARLAGUN (BELOW BARAPANI BRIDGE), (D/S OF RIVER SENKI)",River,ARUNACHAL PRADESH,2022,26.3,5.25,7.485,700.0,2.3,,,,
