stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3106,River Dibang At Roing (U/S),River,ARUNACHAL PRADESH,2022,Unsafe,11.47,High BOD,24.55,9.2,7.405,252.5,3.1,,,,
3107,River Dihing At Miao (U/S Of Noa Dihing),River,ARUNACHAL PRADESH,2022,Safe,6.84,None,23.4,9.0,7.275,238.5,1.85,,,,
3095,"River Senki At Chandranagar, Itanagar, (U/S Of Pachin River)",River,ARUNACHAL PRADESH,2022,Unsafe,9.08,pH Out of Range,23.7,5.3,8.74,536.0,2.2,,,,
3096,River Dikrong At Nirjuli (U/S),River,ARUNACHAL PRADESH,2022,Safe,6.29,None,27.05,5.1,7.4,853.5,1.7,,,,
3097,River Subansiri At Gerukamukh,River,ARUNACHAL PRADESH,2022,Safe,8.69,None,26.8,9.1,7.18,171.0,2.35,,,,
3098,"River Siang At Ranaghat, Near Rcc Bridge, Pasighat(U/S)",River,ARUNACHAL PRADESH,2022,Unsafe,10.88,Low DO,23.75,4.7,7.505,214.0,2.4,,,,
3105,"River Gai Nadi, Near Hss Likabali (D/S)",River,ARUNACHAL PRADESH,2022,Safe,6.84,None,26.5,9.05,7.875,301.0,1.85,,,,
3108,River Bereng At Chowkham,River,ARUNACHAL PRADESH,2022,Safe,7.21,None,25.8,8.35,7.435,298.5,1.95,,,,
3099,River Lohit At Alubari (D/S),River,ARUNACHAL PRADESH,2022,Safe,5.92,None,27.5,8.85,7.36,329.5,1.6,,,,
3100,River Namchik At Kharsang,River,ARUNACHAL PRADESH,2022,Safe,10.54,None,26.3,9.15,7.15,180.5,2.85,,,,
3109,"River Noa Dihing At Namsai, (D/S Of Dihing)",River,ARUNACHAL PRADESH,2022,Safe,6.48,None,25.9,8.75,7.32,233.5,1.75,,,,
3103,"River Pachin At Naharlagun (Below Barapani Bridge), (D/S Of River Senki)",River,ARUNACHAL PRADESH,2022,Safe,8.51,None,26.3,5.25,7.485,700.0,2.3,,,,
