stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1533,"GROUND WATER AT DIGBOI, TINSUKIA DISTT., ASSAM",Groundwater,ASSAM,2019,22.5,,0.0,6.65,298.5,2.15,0.8,2.0,,2.0,,
1534,"GROUND WATER AT KARBI ANGLONG DISTT., ASSAM",Groundwater,ASSAM,2019,23.5,,0.0,6.8,78.5,2.7,1.05,2.0,,2.0,,
1535,"GROUND WATER AT SIBSAGAR GOVT ME SCHOOL WARD 6, RED CROSS ROAD , ASSAM",Groundwater,ASSAM,2019,24.0,,0.0,7.35,251.5,2.3,1.1,2.0,,2.0,,
1536,GROUND WATER NEAR BPMS H.S. SCHOOL SONARI TOWN DIST CHARAIDEO,Groundwater,ASSAM,2019,27.0,,0.0,7.55,264.5,1.5,0.85,2.0,,2.0,,
1537,"GROUND WATER AT (JORHAT, ASSAM)",Groundwater,ASSAM,2019,25.0,,0.0,7.25,183.5,1.7,2.2,2.0,,2.0,,
1538,"GROUND WATER AT SILCHAR, ASSAM",Groundwater,ASSAM,2019,23.5,,0.0,6.35,106.0,1.6,1.35,2.0,,2.0,,
1539,"GROUND WATER AT BARPETA, ASSAM",Groundwater,ASSAM,2019,26.5,,0.0,7.35,428.0,1.45,0.7,2.0,,2.0,,
1540,"GROUND WATER AT BONAIGAON, ASSAM",Groundwater,ASSAM,2019,27.0,,0.0,7.25,107.0,1.6,1.15,2.0,,2.0,,
1541,"GROUND WATER AT NOONMATI GUWAHATI, ASSAM",Groundwater,ASSAM,2019,25.5,,0.0,7.15,316.0,1.2,1.65,2.0,,2.0,,
1542,"GROUND WATER AT SIJUBARI MAZAR, NATBOMA HATIGAON",Groundwater,ASSAM,2019,25.5,,0.0,7.05,46.5,2.05,0.85,2.0,,2.0,,
2243,"GROUND WATER FROM LEDO, MARGHERITA, ASSAM",Groundwater,ASSAM,2019,22.0,,0.0,6.0,217.5,2.25,0.8,2.0,,2.0,,
2244,"GROUND WATER FROM NAZIRA, ASSAM",Groundwater,ASSAM,2019,27.5,,0.0,7.45,264.0,1.4,1.5,2.0,,2.0,,
2245,"GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY), ASSAM",Groundwater,ASSAM,2019,25.5,,0.0,6.0,128.0,2.75,1.0,2.0,,2.0,,
2246,"GROUND WATER FROM SEMENCHAPARI, ASSAM",Groundwater,ASSAM,2019,21.0,,0.0,7.1,126.5,1.6,0.85,2.0,,2.0,,
2247,"GROUND WATER FROM SILAPATHAR, ASSAM",Groundwater,ASSAM,2019,21.0,,0.0,6.85,107.0,1.5,0.9,2.0,,2.0,,
2248,"GROUND WATER FROM LAKHIMPUR TOWN, ASSAM",Groundwater,ASSAM,2019,29.0,,0.0,7.05,137.5,2.45,0.75,2.0,,2.0,,
2249,"GROUND WATER FROM TEZPUR (MISSION CHARIALI), ASSAM",Groundwater,ASSAM,2019,26.5,,0.0,6.95,202.5,1.5,0.5,2.0,,2.0,,
2250,"GROUND WATER FROM NAGAON (PANIGAON), ASSAM",Groundwater,ASSAM,2019,26.5,,0.0,7.2,264.0,1.6,1.15,2.0,,2.0,,
2251,"GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT, ASSAM",Groundwater,ASSAM,2019,28.0,,0.0,6.3,479.5,2.65,1.15,2.0,,2.0,,
2252,"GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK- GUWAHATI, ASSAM",Groundwater,ASSAM,2019,25.5,,0.0,7.05,166.0,2.9,0.75,2.0,,2.0,,
2253,"GROUND WATER FROM NALBARI, ASSAM",Groundwater,ASSAM,2019,27.5,,0.0,7.3,236.0,2.7,0.85,2.0,,2.0,,
2254,"GROUND WATER FROM BARPETA ROAD(RLY STATION), ASSAM",Groundwater,ASSAM,2019,28.0,,0.0,7.3,314.0,1.35,0.85,2.0,,2.0,,
2255,"GROUND WATER NEAR BPRL, DHALIGAON, ASSAM",Groundwater,ASSAM,2019,25.5,,0.0,7.25,97.5,2.05,0.85,2.0,,2.0,,
2256,"GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ), ASSAM",Groundwater,ASSAM,2019,27.5,,0.0,6.8,218.0,1.15,1.05,2.0,,2.0,,
2257,"GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ), ASSAM",Groundwater,ASSAM,2019,29.0,,0.0,7.0,230.0,1.5,1.0,2.0,,2.0,,
2259,"GROUND WATER FROM DIPHU (GOVT. COLLEGE), ASSAM",Groundwater,ASSAM,2019,23.5,,3.25,7.65,397.5,2.6,1.55,366.0,,1001.0,,
2260,"GROUND WATER FROM HAMREN, ASSAM",Groundwater,ASSAM,2019,23.5,,0.0,6.0,121.0,1.3,1.2,2.0,,2.0,,
2261,"GROUND WATER FROM HAFLONG, ASSAM",Groundwater,ASSAM,2019,20.5,,0.0,6.95,121.0,1.25,0.8,2.0,,2.0,,
2262,"GROUND WATER FROM KARIMGANJ (COLLEGE), ASSAM",Groundwater,ASSAM,2019,23.0,,0.0,6.65,107.0,1.65,0.75,2.0,,2.0,,
2263,"GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ), ASSAM",Groundwater,ASSAM,2019,23.5,,0.0,6.4,191.0,1.25,0.8,2.0,,2.0,,
