stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1533,"Ground Water At Digboi, Tinsukia Distt., Assam",Groundwater,ASSAM,2022,Safe,13.6,None,24.5,,7.05,310.5,2.45,0.9,,,
1534,"Ground Water At Karbi Anglong Town, Assam",Groundwater,ASSAM,2022,Safe,13.88,None,26.0,,7.0,268.0,2.5,1.4,,,
1535,"Ground Water At Sivasagar Govt Me School Ward 6, Red Cross Road , Assam",Groundwater,ASSAM,2022,Safe,13.04,None,23.0,,6.9,296.5,2.35,0.85,,,
1536,Ground Water From Near Bpms H.S. School Sonari Town Dist Charaideo,Groundwater,ASSAM,2022,Safe,9.79,None,23.0,,7.05,381.5,2.55,0.9,360.0,910.0,
1537,"Ground Water From Jorhat Town, Assam",Groundwater,ASSAM,2022,Safe,13.88,None,22.0,,7.35,320.0,2.5,0.85,,,
1538,"Ground Water From Silchar Town , Assam",Groundwater,ASSAM,2022,Safe,11.1,None,24.0,,6.8,126.0,2.0,1.0,,,
1539,"Ground Water From Barpeta Town, Assam",Groundwater,ASSAM,2022,Safe,13.88,None,29.0,,7.6,166.0,2.5,0.9,,,
1540,"Ground Water From Bonaigaon Town, Assam",Groundwater,ASSAM,2022,Safe,13.04,None,28.5,,6.85,315.0,2.35,0.8,,,
1541,"Ground Water From Noonmati Guwahati, Assam",Groundwater,ASSAM,2022,Safe,13.32,None,25.0,,6.75,344.0,2.4,0.85,,,
1542,"Ground Water From Sijubari Mazar, Natboma Hatigaon, Guwahati",Groundwater,ASSAM,2022,Safe,13.04,None,26.0,,7.3,360.5,2.35,0.85,,,
2243,"Ground Water From Ledo, Margherita, Assam",Groundwater,ASSAM,2022,Safe,13.04,None,23.0,,7.15,292.5,2.35,0.95,,,
2244,"Ground Water From Nazira, Assam",Groundwater,ASSAM,2022,Safe,13.88,None,22.5,,7.0,359.0,2.5,1.0,,,
2245,"Ground Water From Numaligarh (Near Nrl Te Labor Colony), Assam",Groundwater,ASSAM,2022,Safe,13.88,None,25.5,,6.85,217.0,2.5,0.85,,,
2246,"Ground Water From Semenchapari, Assam",Groundwater,ASSAM,2022,Safe,14.43,None,23.0,,7.1,196.0,2.6,1.2,,,
2247,"Ground Water From Silapathar, Assam",Groundwater,ASSAM,2022,Safe,13.88,None,23.0,,7.0,264.0,2.5,1.4,,,
2248,"Ground Water From Lakhimpur Town, Assam",Groundwater,ASSAM,2022,Safe,13.88,None,24.0,,7.65,260.0,2.5,0.8,,,
2249,"Ground Water From Tezpur (Mission Chariali), Assam",Groundwater,ASSAM,2022,Safe,13.04,None,26.0,,6.9,280.0,2.35,1.1,,,
2250,"Ground Water From Nagaon (Panigaon), Assam",Groundwater,ASSAM,2022,Safe,14.15,None,24.0,,7.0,322.0,2.55,0.95,,,
2251,"Ground Water From Jagiroad Near Hpc Effluent Discharge Point, Assam",Groundwater,ASSAM,2022,Safe,14.43,None,25.0,,6.5,355.0,2.6,0.95,,,
2252,"Ground Water Near Msw Dumping Site At Garchuk- Guwahati, Assam",Groundwater,ASSAM,2022,Safe,15.26,None,24.5,,7.35,395.0,2.75,1.05,,,
2253,"Ground Water From Nalbari, Assam",Groundwater,ASSAM,2022,Safe,14.15,None,19.5,,7.1,342.0,2.55,1.7,,,
2254,"Ground Water From Barpeta Road(Rly Station), Assam",Groundwater,ASSAM,2022,Safe,14.43,None,32.0,,7.4,158.0,2.6,0.9,,,
2255,"Ground Water Near Bprl, Dhaligaon, Assam",Groundwater,ASSAM,2022,Safe,14.15,None,28.0,,6.9,328.5,2.55,0.85,,,
2256,"Ground Water From Kokrajhar District (Hs School ), Assam",Groundwater,ASSAM,2022,Safe,13.6,None,27.5,,7.3,345.0,2.45,0.9,,,
2257,"Ground Water From Dhubri District (College Nagar ), Assam",Groundwater,ASSAM,2022,Safe,13.88,None,26.5,,7.0,329.0,2.5,0.85,,,
2258,"Ground Water From Goalpara Dist. (Goalpara College ), Assam",Groundwater,ASSAM,2022,Safe,13.04,None,29.0,,6.85,334.0,2.35,1.05,,,
2259,"Ground Water From Diphu (Govt. College), Assam",Groundwater,ASSAM,2022,Safe,14.43,None,28.0,,6.9,264.0,2.6,1.6,,,
2261,"Ground Water From Haflong, Assam",Groundwater,ASSAM,2022,Safe,12.21,None,14.0,,7.0,113.0,2.2,1.0,,,
2262,"Ground Water From Karimganj (College), Assam",Groundwater,ASSAM,2022,Safe,14.15,None,23.0,,6.85,129.0,2.55,1.05,,,
2263,"Ground Water From Hialakandi (Near Astc Bus Stand ), Assam",Groundwater,ASSAM,2022,Safe,12.49,None,24.0,,6.95,184.0,2.25,0.85,,,
2264,"Ground Water In Panchgram Market Near Cachar Paper Mill, Assam",Groundwater,ASSAM,2022,Safe,14.15,None,22.5,,7.0,154.0,2.55,0.85,,,
3761,Ground Water From Biswanath Chariali Town,Groundwater,ASSAM,2022,Safe,13.88,None,23.5,,7.45,266.0,2.5,0.95,,,
3762,"Ground Water Near Municipal Waste Processing Facility, Morabharli, Tezpur",Groundwater,ASSAM,2022,Safe,13.04,None,26.0,,6.85,262.0,2.35,1.2,,,
3766,Ground Water From Mangaldoi Town,Groundwater,ASSAM,2022,Safe,11.93,None,26.5,,6.9,278.0,2.15,1.05,,,
3770,"Ground Water Near Garmur Recreation Ground, Jorhat",Groundwater,ASSAM,2022,Safe,14.71,None,22.5,,6.95,242.5,2.65,0.95,,,
