stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2039,"Ground Water From Sector 15, Chandigarh",Groundwater,CHANDIGARH,2019,Unsafe,50.04,High BOD,23.0,,,7.4,500.0,1.55,3.8,,
2040,"Ground Water From Sector 22, Chandigarh",Groundwater,CHANDIGARH,2019,Unsafe,50.03,High BOD,23.0,,,7.25,500.0,1.95,2.7,,
2041,"Ground Water From Sector 34, Chandigarh",Groundwater,CHANDIGARH,2019,Unsafe,33.38,High BOD,23.5,,,7.2,500.0,1.1,6.6,2.0,
2042,"Ground Water From Sector 47, Chandigarh",Groundwater,CHANDIGARH,2019,Unsafe,33.36,High BOD,23.25,,,7.15,500.0,2.0,3.9,2.0,
2043,"Ground Water From Palsora Village, Chandigarh",Groundwater,CHANDIGARH,2019,Unsafe,33.34,High BOD,23.0,,,7.4,500.0,1.6,1.0,2.0,
2044,"Ground Water From Dhanas Village, Chandigarh",Groundwater,CHANDIGARH,2019,Unsafe,33.36,High BOD,23.0,,,7.3,500.0,0.9,3.1,2.0,
2045,"Ground Water From Dadu Majra, Chandigarh",Groundwater,CHANDIGARH,2019,Unsafe,33.35,High BOD,22.75,,,7.35,500.0,1.45,2.35,2.0,
2046,"Sukhna Lake, Chandigarh",Pond/Tank,CHANDIGARH,2019,Unsafe,40.01,"High BOD, High Total Coliform",,22.75,7.9,7.85,250.0,10.0,1.5,2450001.0,271000002.0
2047,"N-Choe (Attawa Choe), Chandigarh",River,CHANDIGARH,2019,Unsafe,59.71,"pH Out of Range, High BOD, High Total Coliform",,22.5,0.1,7.55,500.0,100.0,4.3,3950120.0,12000271.0
2048,"Patiala Ki Rao, Chandigarh",River,CHANDIGARH,2019,Unsafe,50.04,"High BOD, High Total Coliform",,23.5,,7.55,500.0,100.0,8.34,5000000.0,271110000.0
2049,"Sukhna Choe, Chandigarh",River,CHANDIGARH,2019,Unsafe,50.19,"High BOD, High Total Coliform",,22.5,,7.45,500.0,100.0,38.0,5000000.0,27110500.0
