stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2448,"Ground Water From Village Bhimpore, Daman",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.94,None,28.2,,7.15,440.0,1.0,3.72,22.5,50.0,
1440,"Well At Somnath Industrial Estate, Daman",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,28.2,,6.9,824.5,1.0,3.785,2.0,6.0,
2454,"Well At Village Athal, Dadra",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,28.4,,7.2,583.0,1.0,0.32,2.0,7.0,
2451,"Well At Village Dabhel, Daman",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,28.75,,7.05,1222.0,1.0,1.725,2.0,7.0,
2450,"Well At Village Dunetha, Daman",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,27.9,,7.25,746.0,1.0,1.985,2.0,6.5,
2457,"Well At Village Galonda, Dadra",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,27.25,,7.2,400.0,1.0,1.075,2.0,6.0,
2452,"Well At Village Kachigam, Daman",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.85,None,28.95,,7.25,446.0,1.0,3.6,10.0,24.5,
2453,"Well At Village Khanvel, Dadra",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.83,None,29.25,,6.85,489.0,1.0,2.395,8.5,11.0,
2456,"Well At Village Piperia, Dadra",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,27.6,,7.15,2856.0,1.0,4.915,2.0,4.0,
2449,"Well At Village Ringanwada, Daman",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,28.6,,7.6,2092.5,1.0,1.76,2.0,7.0,
2458,"Well At Village, Dadra",Groundwater,DADRA AND NAGAR HAVELI,2021,Safe,2.79,None,27.3,,7.25,3108.5,1.0,2.05,2.0,9.0,
1393,"River Damanganga At D/S Of Madhuban, Daman",River,DADRA AND NAGAR HAVELI,2021,Safe,2.27,None,28.1,7.25,8.05,177.5,1.0,0.3,7.0,31.5,
2461,"River Damanganga At Daman Jetty, Moti Daman",River,DADRA AND NAGAR HAVELI,2021,Unsafe,10.52,"Low DO, High BOD",28.05,4.7,7.5,22161.0,4.05,0.7,37.0,232.5,
2460,"River Damanganga At Discharge Point Of Distillery, Daman",River,DADRA AND NAGAR HAVELI,2021,Unsafe,10.24,High BOD,28.55,5.45,7.35,16883.5,4.35,0.4,73.0,362.0,
2463,"River Damanganga At Lavacha Temple, Silvassa",River,DADRA AND NAGAR HAVELI,2021,Safe,2.44,None,28.4,7.05,8.05,268.5,1.0,0.3,38.0,82.5,
2465,"River Damanganga At Naroli Bridge, Silvassa",River,DADRA AND NAGAR HAVELI,2021,Safe,2.31,None,28.45,7.05,8.15,194.5,1.0,0.4,15.0,34.5,
2462,"River Damanganga At Vapi Weir, Vapi, Daman",River,DADRA AND NAGAR HAVELI,2021,Unsafe,17.86,High BOD,28.55,6.1,8.1,221.0,7.65,2.2,142.5,378.0,
2466,"River Damanganga At Village Namdha, Vapi",River,DADRA AND NAGAR HAVELI,2021,Unsafe,22.91,"Low DO, High BOD, High Fecal Coliform",28.55,4.85,7.55,2183.0,7.9,1.5,970.0,1110.0,
2459,"River Damanganga At Zari Cause Way Bridge, Daman",River,DADRA AND NAGAR HAVELI,2021,Unsafe,21.18,"High BOD, High Fecal Coliform",28.05,5.1,7.5,4844.5,7.25,0.75,1030.0,1205.0,
30040,"River Damanganga At Zeri Causeway, (Ut Of Daman)",River,DADRA AND NAGAR HAVELI,2021,Unsafe,43.94,"High BOD, High Fecal Coliform, High Total Coliform",23.5,5.05,7.9,5141.5,5.45,16.88,8960.0,14800.0,
2464,"River Damanganga D/S Of M/S Surat Beverages, Village Dadra, Silvassa",River,DADRA AND NAGAR HAVELI,2021,Safe,2.3,None,28.3,6.8,8.05,291.5,1.0,0.4,11.0,41.5,
