stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2759,Dugwell At Gaghwal(Kathua Distt),Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,18.0,,7.1,468.0,,,,,
2760,Maladhar Talab(Pond)Hatli (Kathua),Groundwater,JAMMU & KASHMIR,2022,Safe,8.88,None,21.0,,7.96,186.0,1.6,,,,
2761,Tube Well Kathua Sicop Industrial Area Kathua,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,18.0,,6.86,430.0,,,,,
2762,"R.S. Pura Tehsil, Jammu",Groundwater,JAMMU & KASHMIR,2022,Safe,12.76,None,23.0,,7.88,1055.0,2.3,,,,
4064,Borewell Near Industrial Area Gangyal,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,23.0,,7.32,312.0,,,,,
4065,Borewell Near Industrial Area Bari-Brahmna,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,23.0,,7.52,324.0,,,,,
4066,Borewell Near Industrial Area Samba,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,18.0,,7.2,560.0,,,,,
4067,Borewell Near Industrial Area Udhampur,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,18.0,,8.15,430.0,,,,,
4068,Baba Talab (Ancient Pond) At Mishriwala (Wetland),Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,21.0,,7.65,320.0,,,,,
4069,Ancient Bowlies In Udhampur At Gangera Bowli,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,15.0,,8.0,520.0,,,,,
4070,Ancient Bowlies In Udhampur At Rehmati Mohalla Bowli,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,15.0,,7.95,480.0,,,,,
4072,Borewell In Smailpur Near Christian Hospital,Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,23.0,,7.62,356.0,,,,,
4073,"Borewell Near Main Chowk, Smailpur",Groundwater,JAMMU & KASHMIR,2022,Safe,0.0,None,24.0,,7.74,396.0,,,,,
2738,(Mansar Lake At Mid Point(Mansar Lake),Pond/Tank,JAMMU & KASHMIR,2022,Unsafe,33.33,High BOD,,18.0,7.8,7.35,153.5,1.0,,,
3257,Dal Lake At Habak,Pond/Tank,JAMMU & KASHMIR,2022,Unsafe,33.33,High BOD,,24.0,6.7,8.0,376.0,1.1,,,
3255,Dal Lake At Sadapora,Pond/Tank,JAMMU & KASHMIR,2022,Unsafe,37.95,"pH Out of Range, High BOD",,20.0,5.6,8.0,380.0,1.6,,,
4082,"Baju Nallah At Khokhyal Near Barage, Confluence Point Of Sahar-Khad And Kathua City Nallahs",River,JAMMU & KASHMIR,2022,Unsafe,35.38,"pH Out of Range, High BOD",,22.0,6.1,8.3,204.0,2.15,,,
4059,"River Ravi At Ranjit Sagar Dam, At Panagar (Basohil)",River,JAMMU & KASHMIR,2022,Safe,0.0,None,22.5,7.3,8.38,181.0,,,,,
4060,River Ravi At Dam- Site At Thein,River,JAMMU & KASHMIR,2022,Safe,0.0,None,22.5,7.4,8.1,168.0,,,,,
4061,"River Ravi At Lakhanpur, 1 Km D/S From Madhopur Bridge",River,JAMMU & KASHMIR,2022,Safe,0.0,None,23.0,7.6,8.375,195.0,,,,,
2755,"River Banganga (Bathing Ghat), Katra,",River,JAMMU & KASHMIR,2022,Safe,6.48,None,18.0,6.1,8.3,373.0,1.75,,,,
2756,River Banganga (In Front Of Pony Shed Near Reasi Bridge)Katra,River,JAMMU & KASHMIR,2022,Safe,7.21,None,18.5,5.8,8.25,356.0,1.95,,,,
2752,"River Basanter U/S (R.H.S) Samba (Below Nh-1A Bridge),",River,JAMMU & KASHMIR,2022,Safe,6.1,None,20.5,5.7,8.005,305.0,1.65,,,,
2753,River Basanter D/S(R.H.S.) Samba (At Chak Manga Gujjar,River,JAMMU & KASHMIR,2022,Safe,7.03,None,21.0,5.55,7.775,314.0,1.9,,,,
2748,River Chenab At L.H.S.(Below Bridge Chenab),River,JAMMU & KASHMIR,2022,Safe,4.07,None,14.0,7.35,7.73,143.0,1.1,,,,
2749,River Chenab At Blind Curve Shamshan Ghat (1.5 Km U/S From Spot),River,JAMMU & KASHMIR,2022,Safe,4.07,None,14.0,7.5,7.7,145.0,1.1,,,,
2750,River Chenab At Chadra Gaon View Point(4 Km U/S From Spot),River,JAMMU & KASHMIR,2022,Safe,0.0,None,14.0,7.55,7.69,150.0,,,,,
2751,River Chenab At Jal Patan Mandir After Meeting With Main Drain Of Akhnoor City(1.5 Kmd/S From Spot),River,JAMMU & KASHMIR,2022,Safe,6.66,None,14.5,7.4,7.755,149.0,1.8,,,,
2754,River Devak Udhampur(Near Shiv Mandir D/S)L.H.S.,River,JAMMU & KASHMIR,2022,Safe,10.36,None,21.0,5.25,8.01,405.0,2.8,,,,
2757,River Devak At Utterbehni,River,JAMMU & KASHMIR,2022,Safe,0.0,None,21.0,7.15,8.035,400.0,,,,,
2742,River Tawi At Shetali Lifting Point Nagrota(5Km U/S Tawi Bridge),River,JAMMU & KASHMIR,2022,Safe,0.0,None,22.5,7.3,7.575,232.0,,,,,
2743,River Tawi At Bagh- E-Bahu Lifting Point(1 Km U/S Tawi Bridge),River,JAMMU & KASHMIR,2022,Safe,4.07,None,21.5,7.15,7.82,238.0,1.1,,,,
1412,"River Tawi At Jammu U/S, (Tawi Bridge )",River,JAMMU & KASHMIR,2022,Unsafe,15.54,High BOD,23.0,5.15,7.825,422.0,4.2,,,,
2744,River Tawi Below Tawi Bridge,River,JAMMU & KASHMIR,2022,Safe,8.14,None,22.0,6.05,8.28,263.0,2.2,,,,
2745,River Tawi Baghwati Nagar (2Km D/S Tawi Bridge,River,JAMMU & KASHMIR,2022,Unsafe,26.64,"Low DO, High BOD",22.0,4.75,8.2,260.5,6.75,,,,
2746,River Tawi At Belicharana(4Km D/S Tawi Bridge),River,JAMMU & KASHMIR,2022,Safe,4.81,None,23.0,6.9,8.11,250.0,1.3,,,,
4055,River Tawi At 1 Km D/S Below Stp Discharge Point At Bhagwati Nagar,River,JAMMU & KASHMIR,2022,Unsafe,35.12,"Low DO, High BOD",23.5,3.95,8.175,368.0,7.6,,,,
4056,"River Tawi At Balol Nallah, Near Nit College, Miran Sahib, Before Mixing",River,JAMMU & KASHMIR,2022,Unsafe,14.06,High BOD,23.0,5.2,8.03,370.0,3.8,,,,
2758,"River Ujh At Dam Site(L.H.S.), Kathua",River,JAMMU & KASHMIR,2022,Safe,0.0,None,23.0,7.6,7.95,218.0,,,,,
4058,"River Devak At Purmandal, Near Temple",River,JAMMU & KASHMIR,2022,Safe,4.62,None,21.0,5.9,8.15,468.5,1.25,,,,
4062,"River Devak 2 Km D/S From Shiv Mandir At Udhampur,",River,JAMMU & KASHMIR,2022,Safe,5.92,None,20.5,5.55,8.185,390.0,1.6,,,,
4063,"River Devak About 10 Km D/S From Shiv Mandir, Below Railway Bridge, Udhampur",River,JAMMU & KASHMIR,2022,Safe,5.74,None,21.0,7.5,7.85,385.0,1.55,,,,
