stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1402,Well Near Pwd Adjacent To Chakikilum In Kavaratti,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.1,,7.0,833.0,,,,,
1593,Well Near J.B School,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,32.0,,7.3,957.0,,,,,
1594,Well Near Ottavathil Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.6,,6.9,1430.0,,,,,
1595,Well Near Chekkillam House,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.6,,7.1,961.0,,,,,
1596,Well C/O Kadat Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.6,,7.1,704.0,,,,,
1597,Well Near Bader Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.8,,7.8,808.0,,,,,
1598,Well C/O Puthiya Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.6,,7.0,820.0,,,,,
1599,Well C/O Puratha Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.1,,7.0,796.0,,,,,
1600,Well C/O Andam Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.3,,6.9,901.0,,,,,
1601,Well C/O Circuit House,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.0,,7.0,940.0,,,,,
1602,"Well C/O Govt. Press,",Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.7,,7.3,817.0,,,,,
1603,"Well C/O Old Police Barracks,",Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.5,,7.1,1900.0,,,,,
1604,Well C/O Mpsaf Quarter,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.3,,7.0,3780.0,,,,,
1605,Well Near Halipad,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.5,,7.4,1206.0,,,,,
1606,Well (Public )Opposite S.B.School,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.1,,7.4,559.0,,,,,
4548,Well Near Kendriya Vidyalaya,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.0,,7.2,1256.0,,,,,
4549,Well Near Stadium,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.4,,7.3,822.0,,,,,
4550,Well C/O Kendriya Vidyalaya,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.2,,7.4,2640.0,,,,,
4551,Well Near J.B. School (E) With Motor),Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.6,,7.5,1390.0,,,,,
4552,Well C/O High School,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.9,,7.7,1310.0,,,,,
4553,Well C/O J.B. School (N),Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.4,,7.3,805.0,,,,,
4554,Well C/O I.G Hospital,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.2,,7.7,1008.0,,,,,
4555,Well Near Helipad 2,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,30.7,,8.0,1371.0,,,,,
4556,Well C/O Solar Plant,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,31.0,,7.7,768.0,,,,,
4558,Well C/O Purakkattapoo Mi,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.8,,7.4,988.0,,,,,
4559,Well C/O Thaj Manzil,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.8,,7.6,1919.5,,,,,
4560,Well C/O Puthiyara Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.8,,7.4,3215.0,,,,,
4561,Well C/O Puthiyathakal,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.9,,7.1,1672.0,,,,,
4562,Well C/O Jbs (C ),Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.6,,7.5,1061.5,,,,,
4563,Well C/O Nursery School,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.3,,7.2,1055.0,,,,,
4564,Well C/O Belavilatha Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.9,,7.3,1291.0,,,,,
4565,Well C/O Lagoons Bath,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.9,,7.1,1214.0,,,,,
4566,Well Near S & T,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.5,,7.2,1300.5,,,,,
4567,Well C/O Ujra Palli,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,29.1,,7.2,813.5,,,,,
4569,Well C/O Mandali,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.6,,7.2,1186.0,,,,,
4570,Well C/O Friends Common Club,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.9,,6.9,1038.0,,,,,
4571,Well Near Harbor Cottage,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.9,,7.3,2970.0,,,,,
4572,Well C/O Observatory,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,29.1,,7.4,888.5,,,,,
4573,Well C/O Sulthan Veed,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,28.9,,7.5,921.5,,,,,
4574,Well C/O Moula Pall,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,29.5,,7.3,815.0,,,,,
4575,Well C/O Beereadam,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,,,,1079.0,,,,,
4576,Well C/O Hussain Manzil,Groundwater,LAKSHADWEEP,2020,Safe,0.0,None,29.2,,7.3,1084.0,,,,,
1401,Pond Near Juma Masjid,Pond/Tank,LAKSHADWEEP,2020,Unsafe,50.0,High BOD,,31.5,,8.7,500.0,,,,
4557,Pond C/O Mohidheen Palli,Pond/Tank,LAKSHADWEEP,2020,Unsafe,50.0,High BOD,,28.0,,8.35,500.0,,,,
4568,Pond Near Kulappinakkal,Pond/Tank,LAKSHADWEEP,2020,Unsafe,50.0,High BOD,,28.0,,7.25,500.0,,,,
