stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
4632,Madukarai,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,30.0,,7.35,1474.5,1.0,8.05,,,
4633,Panithittu,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,32.5,,6.75,586.0,1.0,0.3,,,
4631,Thirukkanur,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,30.0,,7.4,1430.0,1.0,3.03,,,
3884,"Well At Chevalier Sellane Government High Secondary School, Kalapet",Groundwater,PUDUCHERRY,2021,Safe,5.55,None,30.0,,7.0,1204.5,1.0,9.485,,,
3885,"Well At Dhanderar Kulam, Sedarapet",Groundwater,PUDUCHERRY,2021,Safe,5.55,None,30.5,,7.6,1429.0,1.0,3.24,,,
3882,"Well At Echankadu, Kirumambakkam",Groundwater,PUDUCHERRY,2021,Safe,5.55,None,32.5,,6.85,479.5,1.0,0.3,,,
1454,"Well At Kalapet, Pondi. University Admn. Block",Groundwater,PUDUCHERRY,2021,Unsafe,8.63,pH Out of Range,30.5,,6.1,562.0,1.0,1.72,,,
1688,Well At Katterikuppam,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,31.0,,7.55,783.5,1.0,0.83,,,
3886,"Well At Kothapurinatham, Thiruvandarkoil",Groundwater,PUDUCHERRY,2021,Safe,5.55,None,30.5,,7.6,1250.5,1.0,4.3,,,
2009,Well At Kurumbapet,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,31.0,,6.6,677.5,1.0,3.6,,,
2012,"Well At Maruthi School, Karuvadikuppam",Groundwater,PUDUCHERRY,2021,Safe,5.55,None,31.0,,7.0,2280.0,1.0,1.435,,,
2010,Well At Mettupalayam,Groundwater,PUDUCHERRY,2021,Unsafe,6.32,pH Out of Range,32.0,,6.4,755.0,1.0,4.5,,,
1397,Well At Muthialpet Area(I) Ramakrishna Nagar/ Krishna Nagar,Groundwater,PUDUCHERRY,2021,Unsafe,8.63,pH Out of Range,30.5,,6.1,1065.0,1.0,7.265,,,
1453,Well At Muthirappalayam (Pwd),Groundwater,PUDUCHERRY,2021,Safe,5.55,None,31.0,,6.85,721.0,1.0,4.285,,,
1687,Well At Nehru Statue Mission St. - Chetty Koil,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,29.5,,7.0,1828.0,1.0,1.07,,,
2446,Well At Pallur,Groundwater,PUDUCHERRY,2021,Unsafe,14.78,pH Out of Range,28.0,,5.3,289.0,1.0,0.3,,,
2447,Well At Panthakkal,Groundwater,PUDUCHERRY,2021,Unsafe,17.09,pH Out of Range,29.0,,5.0,83.0,1.0,0.3,,,
2013,"Well At T.R.Pattinam, Karaikal",Groundwater,PUDUCHERRY,2021,Safe,5.55,None,27.9,,8.25,1978.0,1.0,0.35,,,
1398,"Well At Thengaithittu Area, (Ii)",Groundwater,PUDUCHERRY,2021,Unsafe,6.7,pH Out of Range,31.25,,6.35,1818.0,1.0,0.3,,,
2011,Well At Uruvaiyar,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,32.0,,7.75,1846.5,1.0,0.3,,,
2014,"Well At Vadamattam, Karaikal",Groundwater,PUDUCHERRY,2021,Safe,5.55,None,28.1,,8.05,1510.0,1.0,0.45,,,
3883,Well Near By Lake Bahour,Groundwater,PUDUCHERRY,2021,Safe,5.55,None,32.0,,7.35,349.5,1.0,0.3,,,
1686,Bahour Lake,Canal,PUDUCHERRY,2021,Unsafe,23.4,"pH Out of Range, High BOD",,30.5,5.4,7.3,286.5,1.75,0.77,12.5,975.0
4634,Kanagan Lake,Canal,PUDUCHERRY,2021,Unsafe,24.72,"pH Out of Range, High BOD",,31.0,10.4,8.35,500.0,16.4,2.31,305.0,1250.0
1396,Ousteri Lake,Canal,PUDUCHERRY,2021,Unsafe,20.05,High BOD,,30.0,7.2,7.15,240.0,1.65,0.57,56.0,801.0
1685,River Arasalar Karaikal Region,River,PUDUCHERRY,2021,Safe,3.91,None,26.35,5.6,7.65,701.0,1.15,0.62,151.0,940.0,
2444,River Coringa (Tidal Lock),River,PUDUCHERRY,2021,Unsafe,33.33,High BOD,27.0,5.5,7.9,23500.0,20.0,0.32,,,
2443,River Gautami-Godavari Near Adavipolam,River,PUDUCHERRY,2021,Unsafe,33.33,High BOD,26.5,6.8,8.0,24900.0,25.0,0.32,,,
2442,River Gautami-Godavari Near Balayogi Bridge,River,PUDUCHERRY,2021,Safe,7.4,None,27.0,6.1,7.9,20800.0,2.0,0.32,,,
2445,River Mahe River,River,PUDUCHERRY,2021,Safe,3.7,None,29.0,6.3,6.9,8370.0,1.0,0.32,,,
1689,River Chunnambar River,River,PUDUCHERRY,2021,Unsafe,10.89,High BOD,31.0,6.6,8.05,819.5,4.25,0.85,176.0,940.0,2.0
