stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1825,"Bore Well Water At Katra Bazar Water Tank, Malsalami, Patna",Groundwater,BIHAR,2019,Unsafe,33.34,High BOD,29.0,,,7.35,500.0,,0.245,2.0,
1826,"Bore Well Water At Bhut Nath Road Water Tank Sec-3, Kankarbagh,Patna",Groundwater,BIHAR,2019,Unsafe,34.4,High BOD,27.5,,,7.3,500.0,,0.25,801.0,
1827,"Ground Water From Tap Water Coming From Over Head Tank Pmch Campus, Patna",Groundwater,BIHAR,2019,Unsafe,33.34,High BOD,26.5,,,7.25,500.0,,0.505,2.0,
1828,"Bore Well Water In Campus Of Patna Water Board Head Office, Near High Court, Patna",Groundwater,BIHAR,2019,Unsafe,33.34,High BOD,26.5,,,7.25,500.0,,0.385,6.5,
1829,"Bore Well Water From Igims Campus, Patna",Groundwater,BIHAR,2019,Unsafe,33.36,High BOD,26.5,,,7.25,500.0,,0.065,17.5,
1830,"Bore Well Water (Phed Pump House) Sadar Hospital Campus, Muzaffarpur",Groundwater,BIHAR,2019,Unsafe,33.37,High BOD,27.0,,,7.7,500.0,,0.57,23.0,
1831,"Bore Well Water Mmc Pump House Brahmpura Naka, Muzaffarpur",Groundwater,BIHAR,2019,Unsafe,50.01,High BOD,27.0,,,7.6,500.0,,0.77,,
1832,"Ground Water Near Tap Water In Campus Of Kali Asthan, Begusarai",Groundwater,BIHAR,2019,Unsafe,50.0,High BOD,28.0,,,7.5,500.0,,0.1,,
1833,"Ground Water Near Tap Water In Campus Of S.P Office, Pokharia, Begusarai",Groundwater,BIHAR,2019,Unsafe,50.0,High BOD,19.0,,,7.4,500.0,,0.06,,
1834,"Hand Pump Water Near Govt. Hospital, Purnea",Groundwater,BIHAR,2019,Unsafe,50.0,High BOD,27.0,,,7.4,500.0,,0.03,,
1835,"Hand Pump Water Near Court Lower Court, Purnea",Groundwater,BIHAR,2019,Unsafe,33.4,High BOD,27.0,,,7.1,337.0,,0.23,49.0,
1836,"Hand Pump Water Near Bus Stand Tilks Manjhi Chowk, Begusarai",Groundwater,BIHAR,2019,Unsafe,33.71,High BOD,15.0,,,7.4,500.0,,0.72,280.0,
1837,Ground Water From Begusarai,Groundwater,BIHAR,2019,Unsafe,33.35,High BOD,15.0,,,7.2,370.0,,0.11,11.0,
1838,"Ground Water From Tap Water Near Veer Kuwar Singh Chowk, Munger",Groundwater,BIHAR,2019,Unsafe,34.56,High BOD,21.0,,,7.4,500.0,,0.4,920.0,
1839,"Hand Pump Water In Campus Of Kasturba Water Works, Munger",Groundwater,BIHAR,2019,Unsafe,50.07,High BOD,18.0,,,7.3,500.0,,6.93,,
