stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1830,"BORE WELL WATER (PHED PUMP HOUSE) SADAR HOSPITAL CAMPUS, MUZAFFARPUR",Groundwater,BIHAR,2021,24.0,,7.3,927.0,,2.79,,,,594.0,0.2,
1826,"BORE WELL WATER AT BHUT NATH ROAD WATER TANK SEC-3, KANKARBAGH,PATNA",Groundwater,BIHAR,2021,25.5,,7.55,460.5,,1.96,811.5,811.5,,291.0,0.25,
1825,"BORE WELL WATER AT KATRA BAZAR WATER TANK, MALSALAMI, PATNA",Groundwater,BIHAR,2021,24.5,,7.4,444.0,,1.91,,,,291.0,0.25,
1829,"BORE WELL WATER FROM IGIMS CAMPUS, PATNA",Groundwater,BIHAR,2021,26.5,,7.5,459.5,,1.565,462.5,464.5,,310.0,0.25,
1828,"BORE WELL WATER IN CAMPUS OF PATNA WATER BOARD HEAD OFFICE, NEAR HIGH COURT, PATNA",Groundwater,BIHAR,2021,28.0,,7.45,488.0,,1.585,7.0,12.5,,313.0,0.3,
1831,"BORE WELL WATER MMC PUMP HOUSE BRAHMPURA NAKA, MUZAFFARPUR",Groundwater,BIHAR,2021,24.0,,7.5,641.0,,2.58,7.0,16.0,,416.0,0.2,
1844,"BORE WELL WATER NEAR COMMISSIONARY OFFICE, CHAPRA",Groundwater,BIHAR,2021,26.0,,7.0,1160.0,,0.34,9.0,16.0,,742.0,0.3,
3139,GROUND WATER FROM ARARIA,Groundwater,BIHAR,2021,28.0,,7.6,296.0,,2.39,,,,192.0,0.2,
3138,GROUND WATER FROM ARRAH,Groundwater,BIHAR,2021,24.5,,7.35,748.0,,3.385,350.0,920.0,,482.0,0.3,
3143,GROUND WATER FROM BAGAHA,Groundwater,BIHAR,2021,25.0,,7.6,345.0,,0.3,,,,218.0,0.2,
3144,GROUND WATER FROM BARH,Groundwater,BIHAR,2021,21.0,,7.45,830.5,,1.89,23.0,33.0,,509.0,0.25,
1837,GROUND WATER FROM BEGUSARAI,Groundwater,BIHAR,2021,21.0,,7.7,828.0,,0.3,23.0,23.0,,544.0,0.2,
3140,GROUND WATER FROM BETTIAH,Groundwater,BIHAR,2021,25.0,,7.2,968.0,,0.39,23.0,23.0,,636.0,0.2,
3142,GROUND WATER FROM BIKRAMGANJ,Groundwater,BIHAR,2021,22.0,,7.9,383.0,,0.3,23.0,23.0,,250.0,0.2,
3141,GROUND WATER FROM BODHGAYA,Groundwater,BIHAR,2021,20.0,,7.7,785.0,,4.82,23.0,23.0,,524.0,0.3,
3145,GROUND WATER FROM DEHRI ON SONE,Groundwater,BIHAR,2021,20.0,,7.4,238.0,,1.12,23.0,23.0,,156.0,0.2,
3146,GROUND WATER FROM DUMRAON,Groundwater,BIHAR,2021,26.0,,7.9,435.5,,0.61,35000.0,35000.0,,292.0,0.25,
3148,GROUND WATER FROM JAMALPUR,Groundwater,BIHAR,2021,20.0,,7.0,877.0,,0.3,,,,574.0,0.2,
3147,GROUND WATER FROM JAYNAGAR,Groundwater,BIHAR,2021,22.0,,7.3,392.5,,1.2,23.0,23.0,,252.0,0.25,
3161,GROUND WATER FROM KATIHAR,Groundwater,BIHAR,2021,25.5,,7.85,965.0,,2.095,33.0,49.0,,629.0,0.25,
3149,GROUND WATER FROM KUDRA,Groundwater,BIHAR,2021,22.0,,7.9,571.0,,0.36,23.0,23.0,,378.0,0.2,
3150,GROUND WATER FROM MANER,Groundwater,BIHAR,2021,24.0,,7.2,774.0,,1.37,,,,500.0,0.2,
3151,GROUND WATER FROM MOHANIA,Groundwater,BIHAR,2021,23.0,,7.8,1040.0,,0.98,23.0,23.0,,732.0,0.3,
3152,GROUND WATER FROM NARKATIAGANJ,Groundwater,BIHAR,2021,24.0,,7.9,232.0,,0.3,23.0,23.0,,154.0,0.2,
2593,GROUND WATER FROM NAWADA,Groundwater,BIHAR,2021,21.0,,7.2,1280.0,,2.57,23.0,23.0,,908.0,0.2,
3153,GROUND WATER FROM PIRO,Groundwater,BIHAR,2021,22.0,,7.5,1110.0,,4.37,23.0,23.0,,780.0,0.2,
3154,GROUND WATER FROM RAMKUND GAYA,Groundwater,BIHAR,2021,24.0,,7.4,935.0,,0.3,23.0,23.0,,612.0,0.2,
3160,GROUND WATER FROM RAXAUL,Groundwater,BIHAR,2021,25.0,,7.9,269.0,,0.3,23.0,23.0,,172.0,0.2,
2594,GROUND WATER FROM SAHARSA,Groundwater,BIHAR,2021,25.5,,7.9,900.5,,3.96,23.0,23.0,,585.0,0.25,
2595,GROUND WATER FROM SAMASTIPUR,Groundwater,BIHAR,2021,22.0,,7.75,827.5,,1.25,177.5,273.5,,551.0,0.25,
3156,GROUND WATER FROM SAMASTIPUR,Groundwater,BIHAR,2021,22.0,,6.85,1380.0,,1.35,7.0,9.0,,911.0,0.3,
3159,GROUND WATER FROM SHAHPUR,Groundwater,BIHAR,2021,26.0,,7.0,713.0,,1.84,,,,467.0,0.25,
3158,GROUND WATER FROM SHERGHATI,Groundwater,BIHAR,2021,20.0,,7.6,299.0,,0.3,23.0,23.0,,194.0,0.2,
2596,GROUND WATER FROM SITAMARHI,Groundwater,BIHAR,2021,24.5,,7.8,292.5,,2.995,23.0,23.0,,193.0,0.2,
2597,GROUND WATER FROM SIWAN,Groundwater,BIHAR,2021,24.0,,7.3,448.0,,0.3,23.0,23.0,,292.0,0.2,
3157,GROUND WATER FROM SULTANGANJ,Groundwater,BIHAR,2021,22.0,,6.9,1245.0,,0.3,16.0,76.5,,810.0,0.25,
3155,GROUND WATER FROM SUPUAL,Groundwater,BIHAR,2021,26.0,,7.75,741.0,,3.15,,,,491.0,0.2,
1827,"GROUND WATER FROM TAP WATER COMING FROM OVER HEAD TANK PMCH CAMPUS, PATNA",Groundwater,BIHAR,2021,26.5,,7.6,455.5,,1.805,12.5,12.5,,304.0,0.25,
1838,"GROUND WATER FROM TAP WATER NEAR VEER KUWAR SINGH CHOWK, MUNGER",Groundwater,BIHAR,2021,20.0,,7.1,1030.0,,0.3,12.0,23.0,,678.0,0.2,
2600,GROUND WATER FROM VAISHALI,Groundwater,BIHAR,2021,22.5,,7.05,1313.5,,2.56,23.0,23.0,,865.0,0.2,
3162,GROUND WATER FROM VAISHALI,Groundwater,BIHAR,2021,23.0,,7.1,583.0,,5.53,23.0,23.0,,374.0,0.2,
1832,"GROUND WATER NEAR TAP WATER IN CAMPUS OF KALI ASTHAN, BEGUSARAI",Groundwater,BIHAR,2021,26.0,,7.4,914.0,,1.825,14.0,14.0,,599.0,0.2,
1833,"GROUND WATER NEAR TAP WATER IN CAMPUS OF S.P OFFICE, POKHARIA, BEGUSARAI",Groundwater,BIHAR,2021,26.5,,7.05,571.5,,1.515,,,,370.0,0.2,
2583,"HAND PUMP WATER AT BUS STAND, GOPALGANJ",Groundwater,BIHAR,2021,28.0,,7.1,1620.0,,1.62,23.0,23.0,,1018.0,0.2,
2586,"HAND PUMP WATER AT BUS STAND, KATIHAR",Groundwater,BIHAR,2021,25.5,,7.7,447.5,,2.68,,,,287.0,0.2,
2590,"HAND PUMP WATER AT COLLECTRIATE OFFICE, MADHUBANI",Groundwater,BIHAR,2021,21.0,,7.15,501.5,,1.05,23.0,23.0,,330.0,0.25,
2577,"HAND PUMP WATER AT COURT CAMPOUND, ARARIA",Groundwater,BIHAR,2021,28.5,,7.4,511.0,,2.285,5.0,6.0,,377.0,0.25,
2588,"HAND PUMP WATER AT D.M OFFICE, KISHANGANJ",Groundwater,BIHAR,2021,25.0,,7.65,797.0,,2.385,23.0,23.0,,518.0,0.2,
2582,"HAND PUMP WATER AT DARBHANGA BUS STAND, DARBHANGA",Groundwater,BIHAR,2021,20.0,,8.1,352.0,,0.3,7.0,7.0,,228.0,0.2,
2581,"HAND PUMP WATER AT KILA GATE NEAR RAMBAGH MITHILA UNIVERSITY, DARBHANGA",Groundwater,BIHAR,2021,23.0,,7.65,359.0,,1.1,23.0,49.0,,240.0,0.25,
2578,"HAND PUMP WATER AT SARDAR PATEL BUS STAND, BHOJPUR",Groundwater,BIHAR,2021,24.5,,7.1,1155.5,,3.775,23.0,23.0,,769.0,0.25,
2584,"HAND PUMP WATER AT THAWAY MANDIR CAMPUS, GOPALGANJ",Groundwater,BIHAR,2021,27.0,,7.2,1170.0,,5.3,23.0,23.0,,758.0,0.2,
2580,"HAND PUMP WATER FROM NAGAR PARISHAD, BHABHUA",Groundwater,BIHAR,2021,22.0,,7.1,1330.0,,2.85,23.0,23.0,,898.0,0.2,
1839,"HAND PUMP WATER IN CAMPUS OF KASTURBA WATER WORKS, MUNGER",Groundwater,BIHAR,2021,24.0,,7.65,323.0,,1.49,51.0,51.0,,213.0,0.25,
1836,"HAND PUMP WATER NEAR BUS STAND TILKS MANJHI CHOWK, BEGUSARAI",Groundwater,BIHAR,2021,21.0,,7.2,257.0,,0.3,,,,172.0,0.2,
1835,"HAND PUMP WATER NEAR COURT LOWER COURT, PURNEA",Groundwater,BIHAR,2021,26.5,,7.3,629.0,,3.32,27.0,27.0,,413.0,0.2,
2589,"HAND PUMP WATER NEAR D.M OFFICE, MADHEPURA",Groundwater,BIHAR,2021,26.0,,7.95,641.5,,2.51,5.0,7.0,,428.0,0.2,
1834,"HAND PUMP WATER NEAR GOVT. HOSPITAL, PURNEA",Groundwater,BIHAR,2021,27.0,,7.55,668.5,,2.095,23.0,23.0,,435.0,0.25,
2587,"HAND PUMP WATER NEAR SADAR HOSPITAL, KHAGARIA",Groundwater,BIHAR,2021,27.0,,7.55,783.5,,2.575,23.0,12.5,,266.0,0.2,
1843,"PHED WATER SUPPLY NEAR BUS STAND, RAJGIR",Groundwater,BIHAR,2021,25.0,,7.3,486.0,,1.14,23.0,23.0,,326.0,0.2,
2591,"TAP WATER INSIDE THE CAMPUS OF TOURIST CAFETERIA, NALANDA",Groundwater,BIHAR,2021,21.0,,7.1,1440.0,,2.59,,,,1002.0,0.2,
2585,"TAP WATER NEAR PANI TANKI AT JAHANABAD COURT, JAHANABAD",Groundwater,BIHAR,2021,25.0,,7.8,944.0,,5.34,23.0,23.0,,648.0,0.2,
1840,"TAP WATER PHED PUMP HOUSE MAIN ROAD, MOTIHARI",Groundwater,BIHAR,2021,24.0,,8.2,312.0,,0.3,12.0,23.0,,202.0,0.2,
1842,"TAP WATER SAMPLE AT RAMKUND, GAYA",Groundwater,BIHAR,2021,21.0,,8.7,480.0,,5.12,,,,322.0,0.2,
1841,"TAP WELL WATER FROM T. MODAL INTER SCHOOL, G.B ROAD, GAYA",Groundwater,BIHAR,2021,24.0,,7.0,1120.0,,0.75,23.0,23.0,,732.0,0.2,
2579,"TUBE WELL WATER AT COLLECTRIATE CAMPUS, BUXAR",Groundwater,BIHAR,2021,22.0,,6.95,818.0,,1.67,,,,550.0,0.2,
2592,"HAND WATER AT CIVIL COURT BIHAR SHARIF, NALANDA",Groundwater,BIHAR,2021,24.0,,7.8,2080.0,,5.69,5.0,9.0,,1476.0,0.2,
2598,"BOREWELL WATER NEAR DHARMSHALA SASARAM, ROHTAS",Groundwater,BIHAR,2021,21.0,,7.9,241.0,,0.3,23.0,23.0,,160.0,0.2,
2599,"GROUND WATER BUS STAND SASARAM, ROHTAS",Groundwater,BIHAR,2021,20.0,,7.9,735.0,,0.88,7.0,9.0,,482.0,0.2,
2557,"KAWAR LAKE, BEGUSARAI",Pond/Tank,BIHAR,2021,,21.5,5.45,7.15,248.0,3.3,3.175,46390.0,81150.0,,,
2571,MOTI JHEEL AT MOTIHARII,Pond/Tank,BIHAR,2021,,24.5,12.3,7.75,735.0,8.5,1.315,80340.0,80550.0,,,
4296,"SIKANDRAPUR, MUZAFFARPUR",Pond/Tank,BIHAR,2021,,22.0,10.35,8.3,696.0,6.85,0.4,80850.0,81650.0,,,
2573,TIGHI TALAB AT GAYA,Pond/Tank,BIHAR,2021,,24.5,12.5,8.1,848.5,5.05,0.735,80460.0,80850.0,,,
2519,"KOCHBIHAR LAKE (SAGAR DIGHI), COOCHBEHAR",Pond/Tank,BIHAR,2021,,25.5,7.5,7.15,50.0,1.6,0.3,2700.0,7150.0,,,
1074,RIVER GANGA AT BUXAR,River,BIHAR,2021,22.5,8.45,8.1,388.0,1.75,0.725,80395.0,80550.0,4610.0,,,
10113,"RIVER GANGA AT U/S JAIL GHAT, BUXAR",River,BIHAR,2021,22.5,9.1,8.0,356.5,1.8,0.72,80085.0,80130.0,4606.5,,,
2551,"RIVER GANGA AT BUXAR, RAMREKHAGHAT",River,BIHAR,2021,23.0,8.45,7.95,410.0,2.15,0.55,81350.0,81350.0,4622.5,,,
3113,RIVER GANGA AT D/S BUXAR NEAR ROAD BRIDGE,River,BIHAR,2021,23.5,8.0,7.9,412.5,3.7,0.585,82450.0,85500.0,4622.5,,,
10131,RIVER GANGA AT U/S BARAHPUR BINDTOLI,River,BIHAR,2021,22.0,8.75,7.7,325.5,1.95,0.685,80340.0,80550.0,4620.0,,,
30076,RIVER GANGA AT MANJHIGHAT(BIHAR),River,BIHAR,2021,24.1,8.0,7.7,449.5,3.8,1.425,6501.0,14001.0,2.0,,,
10162,RIVER GANGA AT ARA- CHAPRA ROAD BRIDGE (KOILWER BANURA- CHAPRA ROAD),River,BIHAR,2021,22.5,8.2,7.85,345.0,1.9,0.46,80085.0,80130.0,4701.0,,,
2564,"RIVER GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",River,BIHAR,2021,22.0,7.85,7.7,349.0,1.95,0.45,81150.0,81150.0,2701.0,,,
10114,"RIVER GANGA AT MAA AMBIKA ASTHAN, AAMI, SARAN",River,BIHAR,2021,20.5,7.75,7.35,356.0,1.9,0.555,81050.0,81150.0,2734.0,,,
3114,"RIVER GANGA NEAR DANAPUR (NEAR PIPA PUL) ,PATNA",River,BIHAR,2021,23.5,7.55,7.7,299.5,2.55,0.455,80100.0,80140.0,4601.0,,,
1077,"RIVER GANGA AT KURJI, PATNA U/S",River,BIHAR,2021,23.5,7.5,7.75,336.5,2.6,0.725,271650.0,272300.0,1753.5,,,
2552,"RIVER GANGA AT GANDHIGHAT, NIT PATNA",River,BIHAR,2021,23.0,6.6,7.65,334.5,2.1,0.72,126000.0,126000.0,4685.0,,,
10115,RIVER GANGA AT GULABI GHAT,River,BIHAR,2021,24.0,6.85,7.65,334.5,2.3,0.585,97500.0,107000.0,4685.0,,,
1079,"RIVER GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT",River,BIHAR,2021,23.0,7.1,7.8,326.5,2.1,0.64,88500.0,88500.0,4655.0,,,
3122,"RIVER GANGA AT MALSALAMI, PATNA",River,BIHAR,2021,21.0,8.15,7.9,355.5,1.8,0.585,81650.0,82450.0,1835.0,,,
4297,"RIVER GANGA AT KACHCHI-DARGAH- BIDUPUR ROAD BRIDGE, PATNA",River,BIHAR,2021,22.5,8.05,7.8,323.5,2.1,0.625,86500.0,88500.0,4655.0,,,
10122,"RIVER GANGA AT TRIVENI GHAT, PATNA",River,BIHAR,2021,22.0,8.55,7.8,325.5,2.15,0.58,80550.0,81650.0,2701.0,,,
