stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
2039,"GROUND WATER FROM SECTOR 15, CHANDIGARH",Groundwater,CHANDIGARH,2019,23.0,,,7.4,1081.0,1.55,3.8,,,,,
2040,"GROUND WATER FROM SECTOR 22, CHANDIGARH",Groundwater,CHANDIGARH,2019,23.0,,,7.25,652.5,1.95,2.7,,,,,
2041,"GROUND WATER FROM SECTOR 34, CHANDIGARH",Groundwater,CHANDIGARH,2019,23.5,,,7.2,961.0,1.1,6.6,2.0,,2.0,,
2042,"GROUND WATER FROM SECTOR 47, CHANDIGARH",Groundwater,CHANDIGARH,2019,23.25,,,7.15,741.5,2.0,3.9,2.0,,2.0,,
2043,"GROUND WATER FROM PALSORA VILLAGE, CHANDIGARH",Groundwater,CHANDIGARH,2019,23.0,,,7.4,1171.5,1.6,1.0,2.0,,2.0,,
2044,"GROUND WATER FROM DHANAS VILLAGE, CHANDIGARH",Groundwater,CHANDIGARH,2019,23.0,,,7.3,711.5,0.9,3.1,2.0,,2.0,,
2045,"GROUND WATER FROM DADU MAJRA, CHANDIGARH",Groundwater,CHANDIGARH,2019,22.75,,,7.35,853.5,1.45,2.35,2.0,,2.0,,
2046,"SUKHNA LAKE, CHANDIGARH",Pond/Tank,CHANDIGARH,2019,,22.75,7.9,7.85,250.0,10.0,1.5,2450001.0,271000002.0,,,
2047,"N-CHOE (ATTAWA CHOE), CHANDIGARH",River,CHANDIGARH,2019,,22.5,0.1,7.55,682.0,141.0,4.3,3950120.0,12000271.0,,,
2048,"PATIALA KI RAO, CHANDIGARH",River,CHANDIGARH,2019,,23.5,,7.55,938.0,199.5,8.34,65000086.0,271110000.0,,,
2049,"SUKHNA CHOE, CHANDIGARH",River,CHANDIGARH,2019,,22.5,,7.45,918.5,150.5,38.0,8603500.0,27110500.0,,,
