stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1620,"At Raipur Region, Chhatisgarh.",Groundwater,CHHATTISGARH,2018,Safe,0.0,None,27.0,,7.45,451.0,,,,2.0,
GEN-4462BF,1621,Groundwater,CHHATTISGARH,2018,Unsafe,35.42,High BOD,,,,,25.0,17.65,221.7,458.0,
GEN-C7AF09,1622,Groundwater,CHHATTISGARH,2018,Unsafe,35.02,High BOD,,,,,30.0,20.25,209.75,215.05,
GEN-FC5285,1623,Groundwater,CHHATTISGARH,2018,Unsafe,35.1,High BOD,,,,,27.0,18.75,219.75,225.55,
1852,"Mahanadi At Arrang, Raipur, Chhatisgarh.",River,CHHATTISGARH,2018,Safe,0.32,None,27.5,6.4,7.65,373.0,,,,240.0,
1282,"Mahanadi At Sheorinarayan Village, Chhatisgarh.",River,CHHATTISGARH,2018,Safe,6.02,None,31.0,8.6,8.25,276.0,2.1,4.3,,192.0,
1467,"Mahanadi After Confl. With River Mand, Chhatisgarh",River,CHHATTISGARH,2018,Safe,6.09,None,29.0,7.7,8.25,295.0,2.1,4.1,,262.5,
1101,"Mahanadi At Interstate Boundry, Chhatisgarh.",River,CHHATTISGARH,2018,Safe,4.68,None,21.0,7.0,7.4,205.0,1.6,0.61,,240.5,
1845,"Seonath River Water Supply Well, Durg, Chhatisgarh",River,CHHATTISGARH,2018,Safe,0.0,None,28.0,7.1,7.45,,,,,,
3166,"Sheonath At Jhinghri Village, A/C Of Samoda Nalla,",River,CHHATTISGARH,2018,Safe,0.0,None,29.0,6.7,7.65,,,,,,
3167,"Sheonath At Rajnandgaon, D/S At Mohad, Rajnandgaon",River,CHHATTISGARH,2018,Safe,0.0,None,28.0,6.85,7.5,,,,,,
1847,"Kharoon River B/C Khapri Drain, Durg, Raipur Road",River,CHHATTISGARH,2018,Safe,0.0,None,28.0,7.0,7.5,,,,,,
3168,Downstream Of Hasdeo River Near Urga Village Korba,River,CHHATTISGARH,2018,Safe,6.66,None,25.5,6.7,7.3,,1.8,0.5,,,
3170,Drinking Water Intake Well Of Municipal Co. Korba,River,CHHATTISGARH,2018,Unsafe,13.69,High BOD,25.5,7.4,7.25,,3.7,0.37,,,
