stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1620,"GROUND WATER AT JANTA COLONY, STATION ROAD, RAIPUR REGION, CHHATISGARH.",Groundwater,CHHATTISGARH,2020,25.0,,7.3,225.0,,,,,,,186.5,
1621,"GROUND WATER AT RAIPUR REGION, CHHATISGARH.",Groundwater,CHHATTISGARH,2020,23.0,,7.5,257.0,,,,,,,250.0,
3171,"HAND PUMP WATER 17/10 NEPALI MOHLLA, SHANKAR NAGAR, HEAVY INDUSTRIAL AREA, BHILAI, CHHATISGARH.",Groundwater,CHHATTISGARH,2020,28.0,,7.1,,,,,,,,80.0,
3172,"BOREWELL/ HANDPUMP IN ROGBAHRI VILLAGE, KORBA, CHHATISGARH.",Groundwater,CHHATTISGARH,2020,26.0,,6.1,,,,,,,,235.0,
3173,"BOREWELL/ HANDPUMP IN PARSABHATA, BALCO, KORBA, CHHATISGARH.",Groundwater,CHHATTISGARH,2020,26.1,,7.1,,,,,,,,215.0,
3174,"BOREWELL/ HANDPUMP IN DHANRAS, NTPC, KORBA, CHHATISGARH.",Groundwater,CHHATTISGARH,2020,26.1,,7.1,,,,,,,,210.0,
3163,"HITKASA TAILING DAM, RAJHARA, CHHATISGARH.(DALLI RAJHARA IRON ORE MINES, DALLI RAJHARA)",Pond/Tank,CHHATTISGARH,2020,,29.5,6.6,7.4,308.0,11.5,0.44,180.5,803.0,,,
3164,"NEHRU NAGAR TALAB, BHILAI, CHHATISGARH.",Pond/Tank,CHHATTISGARH,2020,,28.5,6.95,7.35,322.0,44.0,0.36,152.5,800.5,,,
1851,"MAHANADI AT SIHAWA, CHHATISGARH.",River,CHHATTISGARH,2020,25.0,6.8,7.4,266.0,2.6,,10.0,21.5,,,,
1264,CHHATTISGARH,River,CHHATTISGARH,2020,24.0,7.0,7.4,281.0,4.1,,2.0,22.0,,,,
1099,"MAHANADI AT U/S OF RAJIM, CHHATISGARH.",River,CHHATTISGARH,2020,25.5,6.5,7.45,1614.0,3.3,,17.0,53.0,,,,
1852,"MAHANADI AT ARRANG, RAIPUR, CHHATISGARH.",River,CHHATTISGARH,2020,25.0,6.6,7.55,335.0,1.8,,16.0,27.0,,,,
1100,"MAHANADI AT KHARAD, CHHATISGARH.",River,CHHATTISGARH,2020,25.5,7.6,8.3,260.0,1.65,3.3,11.0,111.0,,,,
1282,CHHATTISGARH,River,CHHATTISGARH,2020,25.75,6.9,8.45,181.0,1.9,3.65,16.0,115.0,,,,
1467,CHHATTISGARH,River,CHHATTISGARH,2020,25.75,7.0,8.35,283.0,1.9,3.85,21.0,141.0,,,,
3168,CHHATTISGARH,River,CHHATTISGARH,2020,25.8,6.65,7.15,6369.5,1.4,7.84,136.5,374.5,,,,
1101,CHHATTISGARH,River,CHHATTISGARH,2020,23.0,6.95,7.3,209.0,2.7,22.435,5.5,28.5,,,,
1107,"SEONATH AT U/S RAJNANDGAON, CHHATISGARH.",River,CHHATTISGARH,2020,29.5,7.5,7.25,229.0,1.4,0.33,192.0,801.0,,,,
1266,CHHATTISGARH,River,CHHATTISGARH,2020,25.5,6.8,7.5,336.0,3.3,,25.0,48.0,,,,
1845,CHHATTISGARH,River,CHHATTISGARH,2020,25.0,7.45,7.3,202.0,1.45,,137.5,801.0,,,,
3166,CHHATTISGARH,River,CHHATTISGARH,2020,29.0,6.45,7.6,465.0,2.9,0.78,181.0,802.0,260.0,,,
3167,CHHATTISGARH,River,CHHATTISGARH,2020,29.0,7.45,7.3,208.0,1.5,34.02,251.0,854.5,,,,
1265,"KHAROON AT RAIPUR U/S, CHHATISGARH.",River,CHHATTISGARH,2020,23.5,6.85,7.4,286.5,2.35,,19.5,46.5,,,,
1846,"KHAROON RIVER A/C KHAPRI DRAIN, CHHATISGARH.",River,CHHATTISGARH,2020,29.0,7.3,7.35,294.0,1.85,0.64,156.0,851.0,2.0,,,
1847,CHHATTISGARH,River,CHHATTISGARH,2020,29.0,7.15,7.35,285.0,1.85,0.98,110.0,801.0,2.0,,,
1853,"KHAROON RIVER BUNDRI, RAIPUR, CHHATISGARH.",River,CHHATTISGARH,2020,24.5,6.45,7.45,294.0,2.25,,11.0,43.0,,,,
1105,"HASDEO AT U/S KORBA, CHHATISGARH.",River,CHHATTISGARH,2020,25.65,7.5,7.05,5264.5,0.6,2.63,44.5,151.5,,,,
1106,"HASDEO AT U/S OF CHAMPA, CHHATISGARH.",River,CHHATTISGARH,2020,24.5,7.2,7.95,324.0,4.35,4.05,22.0,96.0,,,,
3165,CHHATTISGARH,River,CHHATTISGARH,2020,25.8,4.0,7.1,7620.5,0.8,5.05,74.5,258.5,2.0,,,
3169,CHHATTISGARH,River,CHHATTISGARH,2020,25.85,4.3,7.1,6507.0,0.6,2.65,19.5,128.5,,,,
3170,CHHATTISGARH,River,CHHATTISGARH,2020,25.95,7.6,7.15,7918.5,0.4,2.3,19.0,19.0,,,,
1848,"ARPA RIVER D/S OF BILASPUR, CHHATISGARH.",River,CHHATTISGARH,2020,24.9,6.85,8.3,1769.0,2.25,5.25,32.0,148.5,,,,
1849,"KELO RIVER U/S OF RAIGARH, CHHATISGARH.",River,CHHATTISGARH,2020,23.0,6.9,7.3,1219.0,2.65,1.03,43.5,22.0,,,,
1850,"KELO RIVER D/S OF RAIGARH, CHHATISGARH.",River,CHHATTISGARH,2020,23.0,6.55,7.6,214.0,4.6,1.175,16.0,57.5,,,,
1854,CHHATTISGARH,River,CHHATTISGARH,2020,30.0,7.55,7.45,,2.15,,7.0,43.0,2.0,,,
1855,CHHATTISGARH,River,CHHATTISGARH,2020,30.0,7.45,7.5,,2.1,,12.0,54.0,2.0,,,
1856,CHHATTISGARH,River,CHHATTISGARH,2020,30.0,7.5,7.45,,2.4,,8.0,37.5,2.0,,,
