stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1440,"WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.4,1379.0,,4.3,,,,,920.0,0.65
2448,"GROUND WATER FROM VILLAGE BHIMPORE, DAMAN",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.35,837.0,,4.6,,,,,603.0,0.36
2449,"WELL AT VILLAGE RINGANWADA, DAMAN",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.55,1399.0,,5.85,,,,,939.0,0.75
2450,"WELL AT VILLAGE DUNETHA, DAMAN",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.05,753.5,,2.9,,,,,503.0,0.23
2451,"WELL AT VILLAGE DABHEL, DAMAN",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.0,757.5,,3.45,,,,,564.0,0.29
2452,"WELL AT VILLAGE KACHIGAM, DAMAN",Groundwater,DADRA AND NAGAR HAVELI,2020,30.0,,7.6,687.5,,4.2,5.5,8.0,,,484.0,0.865
2453,"WELL AT VILLAGE KHANVEL, DADRA",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.4,735.5,,3.1,,,,,493.0,0.46
2454,"WELL AT VILLAGE ATHAL, DADRA",Groundwater,DADRA AND NAGAR HAVELI,2020,30.0,,7.6,644.0,,,4.0,8.0,,,433.0,0.53
2455,"WELL AT VILLAGE MASAT, DADRA",Groundwater,DADRA AND NAGAR HAVELI,2020,30.0,,7.65,1501.0,,2.15,,,,,1005.0,0.395
2456,"WELL AT VILLAGE PIPERIA, DADRA",Groundwater,DADRA AND NAGAR HAVELI,2020,30.0,,8.0,1490.5,,4.35,2.0,4.0,,,996.0,0.865
2457,"WELL AT VILLAGE GALONDA, DADRA",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.85,2701.5,,2.35,2.0,5.0,,,502.0,0.69
2458,"WELL AT VILLAGE, DADRA",Groundwater,DADRA AND NAGAR HAVELI,2020,29.5,,7.95,2166.0,,2.05,,,,,1444.0,0.8
1393,"RIVER DAMANGANGA AT D/S OF MADHUBAN, DAMAN",River,DADRA AND NAGAR HAVELI,2020,30.0,6.65,7.6,209.5,1.0,0.35,12.0,45.0,,,,
2459,"RIVER DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMAN",River,DADRA AND NAGAR HAVELI,2020,31.0,5.3,7.4,4101.0,2.5,1.65,1050.0,1260.0,,,,
2460,"RIVER DAMANGANGA AT DISCHARGE POINT OF DISTILLERY, DAMAN",River,DADRA AND NAGAR HAVELI,2020,29.5,4.7,7.65,17880.0,2.45,1.75,110.0,390.0,,,,
2461,"RIVER DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",River,DADRA AND NAGAR HAVELI,2020,30.0,5.15,7.55,17015.0,2.0,1.55,101.5,335.0,,,,
2462,"RIVER DAMANGANGA AT VAPI WEIR, VAPI, DAMAN",River,DADRA AND NAGAR HAVELI,2020,30.5,5.6,7.75,306.5,1.5,0.3,150.5,491.5,,,,
2463,"RIVER DAMANGANGA AT LAVACHA TEMPLE, SILVASSA",River,DADRA AND NAGAR HAVELI,2020,30.0,6.6,7.85,261.0,1.0,1.85,25.5,78.5,,,,
2464,"RIVER DAMANGANGA D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA",River,DADRA AND NAGAR HAVELI,2020,30.0,6.15,7.9,295.5,1.0,0.95,23.5,86.5,,,,
2465,"RIVER DAMANGANGA AT NAROLI BRIDGE, SILVASSA",River,DADRA AND NAGAR HAVELI,2020,30.5,6.55,7.95,232.0,1.0,0.95,14.5,79.5,,,,
2466,"RIVER DAMANGANGA AT VILLAGE NAMDHA, VAPI",River,DADRA AND NAGAR HAVELI,2020,30.5,4.8,7.5,2287.5,1.9,1.75,820.0,865.0,,,,
30040,"RIVER DAMANGANGA AT ZERI CAUSEWAY, (UT OF DAMAN)",River,DADRA AND NAGAR HAVELI,2020,26.5,3.35,7.05,,5.95,17.435,,,,,,
