stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1440,"WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN",Groundwater,DAMAN AND DIU,2022,29.7,,7.345,901.0,,4.13,8.0,15.0,,603.0,0.33,0.01
2448,"GROUND WATER FROM VILLAGE BHIMPORE, DAMAN",Groundwater,DAMAN AND DIU,2022,29.6,,7.35,495.5,,4.07,33.0,67.0,,331.5,,0.01
2449,"WELL AT VILLAGE RINGANWADA, DAMAN",Groundwater,DAMAN AND DIU,2022,29.5,,7.395,2067.0,,1.8,7.0,12.0,,1323.0,0.3,0.01
2450,"WELL AT VILLAGE DUNETHA, DAMAN",Groundwater,DAMAN AND DIU,2022,29.7,,7.23,734.0,,2.35,5.0,12.0,,469.0,0.625,0.01
2451,"WELL AT VILLAGE DABHEL, DAMAN",Groundwater,DAMAN AND DIU,2022,29.35,,7.36,1255.0,,1.885,6.0,10.0,,821.0,0.255,0.01
2452,"WELL AT VILLAGE KACHIGAM, DAMAN",Groundwater,DAMAN AND DIU,2022,29.35,,7.185,478.0,,3.75,19.0,34.0,,315.0,,0.01
2453,"WELL AT VILLAGE KHANVEL, DNH",Groundwater,DAMAN AND DIU,2022,29.25,,7.295,547.0,,2.47,8.0,18.0,,363.0,0.405,0.01
2454,"WELL AT VILLAGE ATHAL, DNH",Groundwater,DAMAN AND DIU,2022,29.4,,7.4,584.5,,,9.0,16.0,,358.5,0.6,0.01
2455,"WELL AT VILLAGE MASAT, DNH",Groundwater,DAMAN AND DIU,2022,29.1,,7.14,1112.0,,4.545,10.0,20.0,,715.5,0.25,0.01
2456,"WELL AT VILLAGE PIPERIA, DNH",Groundwater,DAMAN AND DIU,2022,29.35,,7.225,2715.0,,3.445,4.0,11.0,,1832.5,0.88,0.01
2457,"WELL AT VILLAGE GALONDA, DNH",Groundwater,DAMAN AND DIU,2022,29.35,,7.54,438.0,,1.41,6.0,13.0,,303.5,0.28,0.01
2458,WELL AT VILLAGE DADRA,Groundwater,DAMAN AND DIU,2022,29.45,,7.67,3651.5,,1.635,6.0,15.0,,2410.0,0.25,0.01
1393,"RIVER DAMANGANGA AT D/S OF MADHUBAN, DAMAN",River,DAMAN AND DIU,2022,28.25,6.5,7.3,175.5,1.0,0.3,17.0,50.0,7.0,,,
2461,"RIVER DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",River,DAMAN AND DIU,2022,29.35,5.65,7.4,21030.0,7.9,0.7,42.0,270.0,26.0,,,
2460,"RIVER DAMANGANGA AT DISCHARGE POINT OF DISTILLERY, DAMAN",River,DAMAN AND DIU,2022,29.1,4.4,7.75,19821.0,22.55,0.65,75.0,379.0,41.0,,,
2463,"RIVER DAMANGANGA AT LAVACHA TEMPLE, SILVASSA",River,DAMAN AND DIU,2022,29.75,6.35,7.35,214.0,1.0,0.3,47.0,91.0,20.0,,,
2465,"RIVER DAMANGANGA AT NAROLI BRIDGE, SILVASSA",River,DAMAN AND DIU,2022,29.45,6.65,7.45,202.0,1.0,0.3,22.0,51.0,15.0,,,
2462,"RIVER DAMANGANGA AT VAPI WEIR, VAPI, DAMAN",River,DAMAN AND DIU,2022,29.9,5.45,7.85,265.0,16.65,4.05,136.0,335.0,43.0,,,
2466,"RIVER DAMANGANGA AT VILLAGE NAMDHA, VAPI",River,DAMAN AND DIU,2022,29.9,4.6,7.8,981.0,11.75,2.7,357.0,642.0,195.0,,,
2459,"RIVER DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMAN",River,DAMAN AND DIU,2022,30.1,4.5,7.6,4928.0,14.85,1.65,440.0,740.0,120.0,,,
2464,"RIVER DAMANGANGA D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA",River,DAMAN AND DIU,2022,29.6,6.25,7.5,251.5,1.0,0.7,27.0,70.0,19.0,,,
