stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3477,"Well At Alipur, Delhi",Groundwater,DELHI,2020,Unsafe,9.87,High Total Coliform,,,7.3,2926.0,,6.12,400.0,5400.0,
3479,"Well At Aurbindo Marg, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.5,1290.0,,51.62,2.0,2.0,
3480,"Well At Bawana, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.7,772.0,,5.21,2.0,2.0,
3483,"Well At Burari, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.5,1319.0,,1.62,2.0,4.0,
3485,"Well At Defence Colony, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,6.8,1890.0,,100.0,2.0,8.0,
3488,"Well At Dilshad Garden, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.2,2200.0,,6.01,2.0,2.0,
3489,"Well At Dwarka, Delhi",Groundwater,DELHI,2020,Safe,0.06,None,,,7.3,1892.0,,85.03,4.0,27.0,
3490,"Well At Fateh Pur Beri, Delhi",Groundwater,DELHI,2020,Safe,0.15,None,,,7.1,873.0,,51.21,4.0,94.0,
3492,"Well At Gajipur, Delhi",Groundwater,DELHI,2020,Safe,0.04,None,,,7.0,1818.0,,2.72,4.0,13.0,
3493,"Well At Gandhi Nagar, Delhi",Groundwater,DELHI,2020,Safe,0.03,None,,,7.0,1700.0,,7.84,2.0,14.0,
3494,"Well At Haiderpur, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,8.2,901.0,,22.31,2.0,2.0,
3496,"Well At Isbt, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.6,1053.0,,22.31,2.0,8.0,
3498,"Well At Kalka Ji, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.3,360.0,,4.42,2.0,2.0,
3500,"Well At Kamla Nagar, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.6,1217.0,,28.51,2.0,2.0,
3503,"Well At Karol Bagh, Delhi",Groundwater,DELHI,2020,Safe,0.03,None,,,7.7,919.0,,20.11,2.0,13.0,
3514,"Well At Matiala, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.3,1473.0,,37.81,2.0,2.0,
3515,"Well At Maya Puri, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.4,1047.0,,16.92,2.0,5.0,
3516,"Well At Mayur Vihar, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.5,222.0,,1.62,2.0,2.0,
3517,"Well At Najafgarh, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.1,4110.0,,100.0,2.0,7.0,
3518,"Well At Naraina Indl Area, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.2,1941.0,,57.01,2.0,2.0,
3520,"Well At Okhla, Delhi",Groundwater,DELHI,2020,Safe,0.06,None,,,7.0,1580.0,,48.52,2.0,33.0,
3523,"Well At Parivesh Bhawan, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.2,2582.0,,2.22,2.0,2.0,
3524,"Well At Paschim Vihar, Delhi",Groundwater,DELHI,2020,Safe,0.02,None,,,7.8,1818.0,,8.33,2.0,2.0,
