stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
3477,"WELL AT ALIPUR, DELHI",Groundwater,DELHI,2022,,,7.6,,,,,,,903.5,,
3479,"WELL AT AURBINDO MARG, DELHI",Groundwater,DELHI,2022,,,7.25,,,0.43,,,,617.5,,
3480,"WELL AT BAWANA, DELHI",Groundwater,DELHI,2022,,,7.45,,,0.585,,,,268.5,,
3483,"WELL AT BURARI, DELHI",Groundwater,DELHI,2022,,,7.6,,,,,,,560.0,,
3485,"WELL AT DEFENCE COLONY, DELHI",Groundwater,DELHI,2022,,,7.0,,,0.41,,,,287.5,,
3488,"WELL AT DILSHAD GARDEN, DELHI",Groundwater,DELHI,2022,,,7.0,,,,,,,586.0,,
3489,"WELL AT DWARKA, DELHI",Groundwater,DELHI,2022,,,7.0,,,,,,,573.5,,
3490,"WELL AT FATEH PUR BERI, DELHI",Groundwater,DELHI,2022,,,7.15,,,0.68,,,,624.0,,
3492,"WELL AT GAJIPUR, DELHI",Groundwater,DELHI,2022,,,7.3,,,0.33,,,,695.0,,
3493,"WELL AT GANDHI NAGAR, DELHI",Groundwater,DELHI,2022,,,7.25,,,,,,,511.5,,
3494,"WELL AT HAIDERPUR, DELHI",Groundwater,DELHI,2022,,,6.8,,,,,,,794.0,,
3496,"WELL AT ISBT, DELHI",Groundwater,DELHI,2022,,,7.45,,,0.76,,,,794.0,,
3498,"WELL AT KALKA JI, DELHI",Groundwater,DELHI,2022,,,7.05,,,0.485,,,,464.5,,
3500,"WELL AT KAMLA NAGAR, DELHI",Groundwater,DELHI,2022,,,7.65,,,0.35,,,,523.0,,
3503,"WELL AT KAROL BAGH, DELHI",Groundwater,DELHI,2022,,,7.1,,,0.32,,,,375.0,,
3514,"WELL AT MATIALA, DELHI",Groundwater,DELHI,2022,,,7.15,,,0.315,,,,815.5,,
3515,"WELL AT MAYA PURI, DELHI",Groundwater,DELHI,2022,,,6.9,,,0.43,,,,507.5,,
3516,"WELL AT MAYUR VIHAR, DELHI",Groundwater,DELHI,2022,,,7.35,,,,,,,485.0,,
3517,"WELL AT NAJAFGARH, DELHI",Groundwater,DELHI,2022,,,7.35,,,0.59,,,,767.5,,
3518,"WELL AT NARAINA INDL AREA, DELHI",Groundwater,DELHI,2022,,,7.15,,,0.49,,,,867.0,,
3520,"WELL AT OKHLA, DELHI",Groundwater,DELHI,2022,,,7.1,,,0.875,,,,848.5,,
3523,"WELL AT PARIVESH BHAWAN, DELHI",Groundwater,DELHI,2022,,,7.25,2337.0,,1.725,,,,1377.5,0.5,
3524,"WELL AT PASCHIM VIHAR, DELHI",Groundwater,DELHI,2022,,,7.4,,,,,,,1235.0,,
3525,"WELL AT PATEL NAGAR, DELHI",Groundwater,DELHI,2022,,,7.35,,,,,,,410.0,,
3526,"WELL AT PATPAR GANJ, DELHI",Groundwater,DELHI,2022,,,7.5,,,0.41,,,,1116.0,,
3527,"WELL AT PATPARGANJ INDL AREA, DELHI",Groundwater,DELHI,2022,,,7.65,,,1.25,,,,1105.5,,
3528,"WELL AT PEERAGARHI, DELHI",Groundwater,DELHI,2022,,,7.7,,,,,,,3362.0,,
3529,"WELL AT PILANJI, DELHI",Groundwater,DELHI,2022,,,7.5,,,0.32,,,,330.5,,
3530,"WELL AT PRIYA ENCLAVE, DELHI",Groundwater,DELHI,2022,,,7.15,,,,,,,451.0,,
3531,"WELL AT QUTAB GARH, DELHI",Groundwater,DELHI,2022,,,7.75,,,0.495,,,,2782.5,,
3532,"WELL AT RAJENDER NAGAR, DELHI",Groundwater,DELHI,2022,,,7.35,,,0.79,,,,427.5,,
3533,"WELL AT RAJPURA ROAD, DELHI",Groundwater,DELHI,2022,,,7.6,,,0.315,,,,335.5,,
3534,"WELL NEAR GURUDWARA SHRI RAKABGANJ SAHIB, DELHI",Groundwater,DELHI,2022,,,6.95,,,0.4,,,,762.5,,
3535,"WELL AT ROHINI, DELHI",Groundwater,DELHI,2022,,,7.35,,,1.215,,,,336.5,,
3536,"WELL AT SAKET, DELHI",Groundwater,DELHI,2022,,,7.2,,,0.34,,,,516.5,,
3537,"WELL AT SHAHDARA, DELHI",Groundwater,DELHI,2022,,,6.7,,,0.525,,,,434.0,,
3538,"WELL AT SINGHU BORDER, DELHI",Groundwater,DELHI,2022,,,7.55,,,0.83,,,,1077.0,,
3539,"WELL AT SINGOLA, DELHI",Groundwater,DELHI,2022,,,7.45,,,0.475,,,,1695.0,,
3540,"WELL AT SULTANPURI, DELHI",Groundwater,DELHI,2022,,,7.45,,,0.41,,,,687.0,,
3541,"WELL AT TIKRI KALAN , DELHI",Groundwater,DELHI,2022,,,7.25,,,0.745,,,,750.5,,
3542,"WELL AT TILAK NAGAR, DELHI",Groundwater,DELHI,2022,,,7.6,,,0.46,,,,376.0,,
3543,"WELL AT TRILOKPURI, DELHI",Groundwater,DELHI,2022,,,7.2,,,0.585,,,,539.5,,
3544,"WELL AT UJWAH, DELHI",Groundwater,DELHI,2022,,,7.3,,,0.83,,,,398.0,,
3545,"WELL AT VASANT KUNJ, DELHI",Groundwater,DELHI,2022,,,7.25,,,0.35,,,,694.0,,
3546,WELL AT VASANT VIHAR,Groundwater,DELHI,2022,,,7.3,,,0.33,,,,418.5,,
