stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2258,"Ground Water From Goalpara Dist. (Goalpara College ), Assam",Groundwater,GOA,2017,Safe,4.59,None,28.0,,6.5,245.0,1.65,2.0,2.0,2.8,
2278,Well At Sancoale Indl.Estate,Groundwater,GOA,2017,Safe,2.55,None,29.45,,6.65,112.0,0.8,12.5,66.0,0.175,
2279,"Well At Zuari Industries Ltd, Zuari Nagar",Groundwater,GOA,2017,Safe,0.0,None,,,,,,,,0.0,
2280,Well At Kudai Indl. Estate(M/S Cadila Healthcare Limited),Groundwater,GOA,2017,Safe,1.4,None,31.75,,6.65,308.0,0.5,2.0,2.0,0.055,
2281,Well At Corlim Indl. Estate,Groundwater,GOA,2017,Unsafe,7.34,pH Out of Range,31.0,,5.1,74.5,0.7,2.0,2.0,0.49,
2282,Well At Pilerne Industrial Estate(M/S Unichem ),Groundwater,GOA,2017,Safe,3.56,None,32.0,,7.6,276.5,1.25,9.5,17.5,0.01,
3192,Bore Well At Pilerne Industrial Estate,Groundwater,GOA,2017,Safe,3.56,None,32.0,,7.6,276.5,1.25,9.5,17.5,0.01,
3193,Bore Well At Cuncolim Industrial Estate,Groundwater,GOA,2017,Unsafe,6.21,pH Out of Range,32.0,,6.15,567.0,1.75,2.0,2.0,0.59,
3194,Bore Well At Bethora Industrial Estate,Groundwater,GOA,2017,Unsafe,4.97,pH Out of Range,32.0,,5.5,97.5,0.4,2.0,2.0,1.275,
3195,Bore Well At Madkaim Industrial Estate,Groundwater,GOA,2017,Unsafe,3.34,pH Out of Range,32.75,,5.85,67.5,0.3,2.0,2.0,0.96,
1549,"Salaulim Lake At Salaulim - Sanguem, Goa",Pond/Tank,GOA,2017,Unsafe,23.16,"High BOD, High Total Coliform",,30.5,7.2,6.95,189.5,0.75,0.08,3954.0,6501.0
2269,"Mayem Lake, Bicholim",Pond/Tank,GOA,2017,Unsafe,22.05,"High BOD, High Total Coliform",,29.75,6.6,6.3,57.5,1.35,0.415,2560.0,4730.0
3175,Anjunem Lake,Pond/Tank,GOA,2017,Unsafe,20.06,High BOD,,29.75,7.6,7.05,71.5,1.2,0.215,69.0,271.0
3176,Rumder Lake,Pond/Tank,GOA,2017,Unsafe,29.02,"pH Out of Range, High BOD, High Total Coliform",,30.15,4.7,7.15,211.0,3.3,1.23,4340.0,6050.0
3177,Carambolim Lake,Pond/Tank,GOA,2017,Unsafe,25.82,"pH Out of Range, High BOD, High Total Coliform",,28.15,5.65,7.05,149.0,3.05,0.62,4005.0,11070.0
3178,Raia Lake,Pond/Tank,GOA,2017,Unsafe,29.68,"High BOD, High Total Coliform",,32.25,6.95,6.8,244.5,5.45,0.095,12100.0,17725.0
3179,Saipem Lake,Pond/Tank,GOA,2017,Unsafe,48.02,"pH Out of Range, High BOD, High Total Coliform",,28.75,3.9,7.1,334.5,6.55,5.785,44500.0,73000.0
3180,Curtorim Lake,Pond/Tank,GOA,2017,Unsafe,23.98,"pH Out of Range, High BOD, High Total Coliform",,32.0,6.25,6.15,336.0,5.65,0.74,4015.0,6615.0
GEN-FCE1EA,20013,River,GOA,2017,Safe,0.09,None,,,,,,29.35,7.5,6.95,1750.0
GEN-571D3A,1475,River,GOA,2017,Unsafe,50.95,"High BOD, High Total Coliform",,,,29.0,19.1,6.75,7.4,13175.3,1.625
GEN-97275A,1476,River,GOA,2017,Unsafe,65.57,"High BOD, High Total Coliform",,,,25.0,19.15,6.85,61.75,23865.2,1.185
GEN-89AE0F,1545,River,GOA,2017,Unsafe,33.7,High BOD,,,,27.0,18.75,7.2,34.35,103.75,1.41
GEN-204DA2,1547,River,GOA,2017,Unsafe,33.67,High BOD,,,,27.0,19.45,6.95,33.1,87.2,6.8
GEN-35464C,1548,River,GOA,2017,Unsafe,33.61,High BOD,,,,27.9,19.35,6.6,28.05,69.05,1.68
GEN-F4AA0D,3181,River,GOA,2017,Unsafe,67.61,"High BOD, High Total Coliform",,,,29.0,19.55,6.9,141.4,29095.65,1.675
GEN-8051A3,3182,River,GOA,2017,Unsafe,82.26,"High BOD, High Fecal Coliform, High Total Coliform",,,,26.7,18.8,7.55,2338.6,37920.55,2.14
GEN-D98961,3183,River,GOA,2017,Unsafe,34.3,High BOD,,,,24.3,16.35,6.8,66.5,389.25,8.45
GEN-3EB414,3184,River,GOA,2017,Unsafe,62.69,"High BOD, High Total Coliform",,,,26.2,19.45,8.0,23.4,21900.65,4.255
GEN-F02355,3191,River,GOA,2017,Unsafe,93.08,"High BOD, High Fecal Coliform, High Total Coliform",,,,28.0,18.45,7.6,3961.5,41620.75,1.85
