stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
2277,WELL AT VERNA INDI.ESTATE.(M/S CIPLA LIMITED),Groundwater,GOA,2022,30.5,,6.83,365.5,1.4,2.02,,2.0,,256.5,,0.01
2278,WELL AT SANCOALE INDL.ESTATE,Groundwater,GOA,2022,29.0,,6.465,1075.0,1.6,3.03,13.0,23.0,,709.5,1.75,0.01
2280,WELL AT KUDAI INDL. ESTATE(M/S CADILA HEALTHCARE LIMITED),Groundwater,GOA,2022,29.0,,6.6,58.0,3.2,0.32,,,,37.0,,0.01
2281,WELL AT CORLIM INDL. ESTATE,Groundwater,GOA,2022,28.5,,6.24,78.5,1.65,0.32,4.5,23.0,,53.0,0.25,0.01
2282,WELL AT PILERNE INDUSTRIAL ESTATE(M/S UNICHEM ),Groundwater,GOA,2022,28.5,,7.085,293.5,2.2,0.36,,23.0,,180.0,0.6,0.01
3193,BORE WELL AT CUNCOLIM INDUSTRIAL ESTATE,Groundwater,GOA,2022,30.5,,7.07,759.5,1.2,0.32,240.0,177.25,,251.5,0.4,0.01
3194,BORE WELL AT BETHORA INDUSTRIAL ESTATE,Groundwater,GOA,2022,28.0,,5.855,100.0,,0.52,2.0,6.8,,64.0,,0.01
3195,BORE WELL AT MADKAIM INDUSTRIAL ESTATE,Groundwater,GOA,2022,28.5,,6.975,136.0,,0.62,,4.5,,88.0,,0.01
4409,SALMONA SPRING,Groundwater,GOA,2022,27.5,,6.45,109.5,1.45,1.22,1216.5,1773.0,,64.0,0.33,0.01
4013,TIRACOL BEACH,BEACH,GOA,2022,29.0,6.7,7.75,43175.0,1.65,1.295,181.5,281.5,87.5,,,
4014,MIRAMAR BEACH,BEACH,GOA,2022,30.0,6.75,8.1,31088.0,1.5,0.35,214.5,325.0,58.5,,,
4015,CALANGUTE BEACH,BEACH,GOA,2022,28.5,6.6,7.9,41590.0,1.45,0.37,199.5,309.5,49.0,,,
4016,MORJIM BEACH,BEACH,GOA,2022,29.0,6.4,8.0,36165.0,1.55,0.32,116.5,151.5,59.0,,,
4017,MOBOR BEACH,BEACH,GOA,2022,29.0,6.55,7.5,33815.0,1.5,0.36,230.0,340.0,50.0,,,
4018,BAINA BEACH,BEACH,GOA,2022,29.0,6.4,7.6,46005.0,1.55,0.655,325.0,530.0,89.5,,,
4019,GALGIBAG BEACH,BEACH,GOA,2022,29.5,6.35,7.4,42290.0,1.45,0.765,131.5,294.5,73.5,,,
4020,COLVA BEACH,BEACH,GOA,2022,29.0,7.0,7.9,42545.0,1.45,1.05,309.5,530.0,73.5,,,
4021,VAGATOR BEACH,BEACH,GOA,2022,28.5,6.75,7.55,38620.0,1.45,0.35,191.5,579.5,49.5,,,
4022,VELSAO BEACH,BEACH,GOA,2022,29.0,7.15,7.9,49155.0,1.5,1.0,144.5,214.5,56.0,,,
5277,"DOWNSTREAM COLVA CREEK, COLVA- GOA",CREEK,GOA,2022,29.0,8.45,6.8,5162.0,5.4,0.49,3600.0,5150.0,685.0,,,
5278,"UPSTREAM OF BETHORA NALLAH, BETHORA, PONDA - GOA",CREEK,GOA,2022,28.5,4.45,5.95,1136.5,8.0,1.36,2150.0,3400.0,565.0,,,
5279,"DOWNSTREAM OF BETHORA NALLAH, BETHORA, PONDA -GOA",CREEK,GOA,2022,28.5,3.75,6.45,5538.5,14.7,0.99,2350.0,3600.0,665.0,,,
2267,"CREEK AT DANDO MOLLO, VELSAO, MARMUGAO",CREEK,GOA,2022,28.5,6.9,7.4,12259.5,1.55,15.135,1900.0,2750.0,415.0,,,
3175,ANJUNEM LAKE,Pond/Tank,GOA,2022,,28.0,6.1,6.8,43.5,1.35,0.47,179.0,278.5,,,
3177,CARAMBOLIM LAKE,Pond/Tank,GOA,2022,,28.5,7.55,7.5,998.5,1.55,1.27,2000.0,2550.0,,,
3180,CURTORIM LAKE,Pond/Tank,GOA,2022,,29.5,4.15,6.6,46.0,14.55,0.335,1945.0,2820.0,,,
4408,HARWALE WATER FALL,Pond/Tank,GOA,2022,,28.5,7.75,6.9,104.0,1.5,0.32,1445.0,2800.0,,,
2269,"MAYEM LAKE, BICHOLIM",Pond/Tank,GOA,2022,,28.5,7.3,6.3,48.0,1.45,0.32,1800.0,2500.0,,,
3178,RAITOLLEM LAKE,Pond/Tank,GOA,2022,,29.5,5.45,6.8,176.5,8.6,0.32,1315.0,2865.0,,,
3179,SAIPEM LAKE,Pond/Tank,GOA,2022,,27.5,3.15,6.85,321.5,4.2,1.64,3600.0,5150.0,,,
5102,"DOWNSTREAM OF RIVER MANDOVI, M/S VEDANTA PVT. LTD.",River,GOA,2022,28.5,6.3,6.95,16272.5,1.4,1.045,960.0,1265.0,191.5,,,
1548,"RIVER ASSONORA AT ASSONORA, GOA",River,GOA,2022,28.5,6.85,6.4,55.0,1.4,0.32,1095.0,1670.0,145.0,,,
2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",River,GOA,2022,28.5,7.6,6.75,97.5,1.45,0.32,3300.0,5600.0,765.0,,,
3189,RIVER CHAPORA AT SIOLIM,River,GOA,2022,29.0,6.35,7.2,26273.0,1.4,0.32,889.0,1215.0,177.5,,,
2275,"RIVER CHAPORA NEAR ALORNA FORT , PERNEM",River,GOA,2022,29.0,7.05,6.65,3103.0,1.25,0.32,1595.0,3400.0,277.0,,,
1543,RIVER KALNA AT CHANDEL,River,GOA,2022,29.0,7.05,6.8,94.0,1.45,0.32,2200.0,3150.0,460.0,,,
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WATERWORKS, SANGUEM",River,GOA,2022,29.5,7.05,7.25,70.0,1.45,0.52,1095.0,1795.0,199.5,,,
1546,"RIVER KHANDEPAR AT OPA - PONDA, GOA",River,GOA,2022,29.5,7.3,7.05,117.0,1.45,0.72,990.0,1375.0,163.0,,,
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUEM",River,GOA,2022,28.5,7.05,6.6,102.5,1.8,0.32,1365.0,2145.0,269.5,,,
1545,RIVER MADEI AT DABOS,River,GOA,2022,29.0,7.35,7.05,79.0,1.4,0.57,960.0,1340.0,159.5,,,
3185,RIVER MANDOVI AT AMONA BRIDGE,River,GOA,2022,28.5,6.4,7.05,16537.5,1.6,1.65,1095.0,1595.0,199.5,,,
3186,RIVER MANDOVI AT IFFI JETTY,River,GOA,2022,28.5,6.55,7.55,26650.5,1.35,0.66,195.0,245.0,54.0,,,
1400,RIVER MANDOVI AT PANAJI,River,GOA,2022,29.0,6.25,7.35,27759.0,1.45,0.96,124.5,195.0,53.0,,,
1476,RIVER MANDOVI AT TONCA,River,GOA,2022,28.5,6.15,7.0,18218.0,1.45,1.505,865.0,1345.0,164.5,,,
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,River,GOA,2022,28.5,6.9,7.5,28884.5,1.4,4.665,159.5,520.0,71.5,,,
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,River,GOA,2022,29.5,5.25,6.55,1156.5,1.75,0.32,5150.0,7800.0,895.0,,,
3183,"RIVER SAL AT KHAREBAND, MARGAO",River,GOA,2022,28.0,2.25,6.65,195.0,4.85,2.17,4100.0,6400.0,825.0,,,
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",River,GOA,2022,28.5,4.8,6.75,10288.0,3.4,4.895,1385.0,2010.0,325.0,,,
3176,RIVER SAL AT RUMDER,River,GOA,2022,28.5,3.8,6.45,139.0,3.15,0.445,2200.0,3150.0,655.0,,,
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",River,GOA,2022,29.0,5.75,7.45,28153.5,1.6,0.415,1265.0,1645.0,144.5,,,
2271,"RIVER SAL PAZORKHONI, CUNCOLIM(NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",River,GOA,2022,29.0,6.35,6.55,75.5,1.5,1.05,3350.0,5650.0,450.0,,,
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),River,GOA,2022,28.5,5.8,7.5,29343.5,1.45,0.32,945.0,1245.0,183.5,,,
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,River,GOA,2022,28.5,6.15,7.5,26298.5,1.45,0.325,965.0,1565.0,214.5,,,
1547,"RIVER TALPONA AT CANACONA, GOA",River,GOA,2022,28.5,6.3,6.5,69.5,1.45,0.32,965.0,1365.0,134.5,,,
3188,RIVER TIRACOL AT TIRACOL,River,GOA,2022,28.5,6.15,7.2,25872.5,1.45,0.675,965.0,1365.0,164.5,,,
1544,RIVER VALVANTI AT SANQUELIM,River,GOA,2022,29.0,7.4,6.85,56.0,1.45,0.32,1595.0,3350.0,310.0,,,
3181,RIVER ZUARI AT BORIM BRIDGE,River,GOA,2022,28.5,6.2,7.3,16196.5,1.35,1.7,1460.0,1945.0,505.0,,,
1399,RIVER ZUARI AT CORTALIM,River,GOA,2022,29.5,6.0,7.5,23671.5,1.5,0.445,3300.0,4800.0,580.0,,,
3182,RIVER ZUARI AT MARCAIM JETTY,River,GOA,2022,29.5,6.1,7.35,23570.0,1.45,0.445,1490.0,2000.0,435.0,,,
1475,RIVER ZUARI AT PANCHAWADI,River,GOA,2022,29.0,6.2,6.85,7472.5,1.6,1.225,1165.0,1415.0,674.5,,,
