stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3,"Well At Ahmedabad,",Groundwater,GUJARAT,2017,Safe,4.45,None,30.0,,7.85,,1.6,2.0,2.0,2.0,
6,"Well At Baroda,",Groundwater,GUJARAT,2017,Safe,0.57,None,29.5,,8.25,1099.5,0.2,2.0,2.0,0.595,
1226,"Well At Narol, Ahmedabad,",Groundwater,GUJARAT,2017,Safe,4.87,None,33.0,,8.3,365.5,1.75,2.0,2.0,0.97,
1948,Bhavnagar,Groundwater,GUJARAT,2017,Safe,4.17,None,30.5,,7.25,1720.0,1.5,2.0,2.0,0.225,
1949,Amreli,Groundwater,GUJARAT,2017,Safe,4.18,None,31.0,,8.0,1520.0,1.5,2.0,3.0,0.165,
1950,Junagadh,Groundwater,GUJARAT,2017,Safe,1.82,None,24.5,,7.65,1200.0,0.65,2.0,2.0,3.105,
1952,Surendranagar,Groundwater,GUJARAT,2017,Safe,0.84,None,25.5,,7.8,1952.5,0.3,2.0,2.0,1.015,
1953,Jamnagar,Groundwater,GUJARAT,2017,Safe,1.12,None,28.5,,7.9,875.0,0.4,2.0,2.0,0.32,
1954,Bhuj,Groundwater,GUJARAT,2017,Safe,3.62,None,29.0,,8.1,3130.0,1.3,2.0,2.0,0.8,
1955,Palanpur,Groundwater,GUJARAT,2017,Safe,4.87,None,28.0,,7.6,1480.5,1.75,2.0,2.0,2.29,
1956,Mehasana,Groundwater,GUJARAT,2017,Safe,4.45,None,27.5,,7.75,2266.0,1.6,2.0,2.0,3.04,
1957,Siddhpur (Dist.Patan),Groundwater,GUJARAT,2017,Safe,4.87,None,33.5,,7.7,1629.0,1.75,2.0,2.0,3.555,
1958,Himatnagar,Groundwater,GUJARAT,2017,Safe,4.18,None,27.0,,8.1,680.0,1.5,2.0,2.0,3.42,
1959,Nadiad,Groundwater,GUJARAT,2017,Safe,1.95,None,31.0,,7.95,1782.0,0.7,2.0,2.0,0.365,
1960,Dahod,Groundwater,GUJARAT,2017,Safe,1.12,None,30.0,,7.8,456.5,0.4,2.0,2.0,0.745,
1961,Godhara,Groundwater,GUJARAT,2017,Safe,1.26,None,30.0,,7.55,840.0,0.45,2.0,2.0,0.435,
1962,Vadodara (Industrial-Nandesari),Groundwater,GUJARAT,2017,Safe,5.42,None,28.5,,7.5,3110.0,1.95,2.0,2.0,0.48,
1964,Pandesara (Indstrial) Surat,Groundwater,GUJARAT,2017,Safe,0.0,None,,,,,,,,0.0,
1965,"Mora-Hajira (Industrial), Hajira",Groundwater,GUJARAT,2017,Safe,5.41,None,31.5,,8.35,3044.0,1.8,4.0,83.5,0.075,
1966,"Gabheni Village, Surat (Industrial)",Groundwater,GUJARAT,2017,Safe,5.41,None,32.0,,8.1,1051.5,1.15,100.0,443.5,0.085,
1967,"Atul, Village G.W, (Valsad)",Groundwater,GUJARAT,2017,Safe,5.84,None,26.5,,7.85,971.0,2.1,2.0,2.0,0.24,
1968,"Vapi Industrial Area In D/S, Vapi",Groundwater,GUJARAT,2017,Safe,6.95,None,26.5,,7.1,3971.5,2.5,2.0,2.0,0.695,
1969,"Sarigam Village (D/S Of Industrialarea), Vapi",Groundwater,GUJARAT,2017,Safe,4.73,None,27.0,,7.45,869.0,1.7,2.0,2.0,0.485,
2083,Bore Well Of Chhatral Gidc.,Groundwater,GUJARAT,2017,Safe,4.45,None,26.0,,7.8,2629.5,1.6,2.0,2.0,2.72,
2084,Bore Well Of Palsana Village.,Groundwater,GUJARAT,2017,Safe,4.31,None,29.5,,7.45,2839.5,1.55,2.0,2.0,1.265,
2085,Bore Well Of Santej Village.,Groundwater,GUJARAT,2017,Safe,4.45,None,29.0,,7.75,1903.5,1.6,2.0,2.0,1.215,
2087,B/W- Hazardous W. Disposal Site (Guj. Enviro P.& I. Ltd. ),Groundwater,GUJARAT,2017,Safe,5.66,None,29.0,,8.2,697.0,2.0,4.0,21.0,0.07,
2088,Bore Well Of Sachin Gidc.,Groundwater,GUJARAT,2017,Safe,5.38,None,30.5,,7.75,9294.0,1.9,6.0,20.5,0.065,
2089,"B/W Near Indl. Area Borasara & Navapura, Dist. Surat.",Groundwater,GUJARAT,2017,Safe,3.43,None,31.0,,8.0,3397.0,1.2,6.0,19.0,0.08,
2090,Well At Olpad.,Groundwater,GUJARAT,2017,Safe,4.63,None,30.5,,7.5,13315.0,1.5,26.5,94.0,0.065,
2091,Bore Well Of Navsari Gidc Industries Association Office.,Groundwater,GUJARAT,2017,Safe,3.98,None,29.0,,7.65,2710.5,1.3,30.0,73.5,0.045,
2093,Well Of Bardoli At Rest House.,Groundwater,GUJARAT,2017,Safe,6.02,None,31.0,,7.95,1947.0,1.4,100.0,426.0,0.085,
