stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1967,"ATUL, VILLAGE G.W, (VALSAD)",Groundwater,GUJARAT,2021,27.0,,7.7,2679.0,1.0,0.39,2.0,2.0,,1378.0,0.45,0.001
2089,"B/W NEAR INDL. AREA BORASARA & NAVAPURA, DIST. SURAT.",Groundwater,GUJARAT,2021,30.5,,8.15,3212.5,1.65,0.3,2.0,2.0,,1956.0,0.5,0.001
4414,"B/W OF DISASTER PREVENTION AND MANAGEMANT CENTER(DPMC) GIDE, ANKLE SHWAR FOR (MINARS)",Groundwater,GUJARAT,2021,28.0,,8.05,1190.5,1.0,0.3,2.0,2.0,,758.0,0.5,
4413,"B/W OF JASHWANTBHAI PARMAR, S. NO. 18 AT: VILLAGE KALAMSAR, TA KHAMBHAT",Groundwater,GUJARAT,2021,29.5,,8.4,1218.5,1.0,1.035,2.0,2.0,,785.0,0.65,0.001
4416,BORE WELL AT VORAGAMDI,Groundwater,GUJARAT,2021,31.5,,7.8,2813.0,1.0,0.3,2.0,2.0,,1825.0,0.9,0.0015
2083,BORE WELL OF CHHATRAL GIDC.,Groundwater,GUJARAT,2021,29.0,,8.2,2324.0,1.0,1.5,2.0,2.0,,1390.0,1.0,0.001
4422,"BORE WELL OF ITI COLLAGE OPP, M/S PALIWAL MILK AT MOTA SONELA, MODASA ROAD, TAL, LUNAVADA, DIST. MAHISAGAR",Groundwater,GUJARAT,2021,28.0,,7.95,917.0,1.0,0.325,2.0,2.0,,595.0,0.9,0.001
2091,BORE WELL OF NAVSARI GIDC INDUSTRIES ASSOCIATION OFFICE.,Groundwater,GUJARAT,2021,32.0,,8.15,2368.0,1.8,0.35,2.0,2.0,,1441.0,0.4,0.001
2084,BORE WELL OF PALSANA VILLAGE.,Groundwater,GUJARAT,2021,30.0,,8.45,1330.5,1.55,0.55,2.0,2.0,,809.0,0.3,0.001
2098,"BORE WELL OF PIRANA TERMINAL PUMPING STATION, PIRANA, NR. V. N. BRIDGE, AHMEDABAD.",Groundwater,GUJARAT,2021,27.5,,7.5,2980.0,1.0,0.6,2.0,2.0,,1696.0,0.95,0.001
2088,BORE WELL OF SACHIN GIDC.,Groundwater,GUJARAT,2021,30.5,,7.7,8235.5,2.0,0.45,2.0,2.0,,5015.0,0.6,0.001
2085,BORE WELL OF SANTEJ VILLAGE.,Groundwater,GUJARAT,2021,29.0,,7.1,2164.0,1.0,0.5,2.0,2.0,,1276.0,0.7,0.001
2097,"BORE WELL OF SOMESHWAR RICE MILL, NR. BAVLA ECO PROJECT, (CETP ), VILL. BAVLA, DIST. AHMEDABAD.",Groundwater,GUJARAT,2021,31.5,,7.9,5532.5,1.0,0.45,2.0,2.0,,3191.0,0.75,0.001
2096,"BORE WELL, SNR. VINAYAK JAL SUDDHIKARAN SAHAKARI MANDALI LTD. (CETP ), VILL. BAVLA, DIST. AHMEDABAD.",Groundwater,GUJARAT,2021,32.0,,7.7,5751.5,1.0,0.3,2.0,2.0,,3241.0,0.45,0.001
3245,BOREWELL AT DHANGADHRA NEAR DHANGADHRA CHEMICALS,Groundwater,GUJARAT,2021,30.0,,7.35,1451.5,1.4,1.29,2.0,2.0,,1210.0,0.25,0.003
3210,"BOREWELL AT PIRAMAL GLASS, VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA, SURAT",Groundwater,GUJARAT,2021,29.5,,7.8,3819.5,1.85,0.5,2.0,2.0,,2325.0,0.5,0.001
3211,"BOREWELL AT PRIMARY HEALTH CENTER, KADODARA, SURAT",Groundwater,GUJARAT,2021,29.5,,8.15,1991.0,1.5,0.35,2.0,2.0,,1212.0,0.35,0.001
1970,"BOREWELL D/S TSDF SITE, GIDC INDUSTRIAL AREA, VAPI",Groundwater,GUJARAT,2021,26.0,,7.8,2172.0,1.0,0.555,2.0,2.0,,1097.0,0.4,0.001
3223,BOREWELL KADI INDUSTRIAL AREA,Groundwater,GUJARAT,2021,29.0,,7.95,2091.5,1.0,0.3,2.0,2.0,,1229.0,0.75,0.001
3212,"BOREWELL NEAR CENTER OF EXCELLENCE BUILDING, GIDC, VATVA, AHMEDABAD",Groundwater,GUJARAT,2021,28.5,,7.95,2286.0,1.0,0.32,2.0,2.0,,1108.0,0.75,0.001
3214,BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION,Groundwater,GUJARAT,2021,28.5,,7.85,2208.0,1.0,0.345,2.0,2.0,,1259.0,0.65,0.001
3215,"BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR, NAROL, AHMEDABAD",Groundwater,GUJARAT,2021,27.0,,7.7,3648.0,1.0,0.75,2.0,2.0,,2142.0,1.35,
3244,"BOREWELL NEAR TSDF OF BHARUCH ENVIRO INFRASTRUCTURE LIMITED, ANKLESHWAR, BHARUCH",Groundwater,GUJARAT,2021,28.5,,7.25,3368.0,1.45,0.3,2.0,2.0,,2061.0,0.4,
3216,"BOREWELL NEAR TSDF SITE OF GREEN ENVIRONMNET SERVICES CO. OP.LTD, VATVA, AHMEDABAD",Groundwater,GUJARAT,2021,28.5,,7.8,2781.5,1.15,0.34,2.0,2.0,,1444.0,0.8,0.001
3217,"BOREWELL NEAR TSDF SITE OF NARODA ENVIRO PROJECT.LTD, ODHAVE, AHMEDABAD",Groundwater,GUJARAT,2021,28.5,,8.05,2412.0,1.0,0.605,2.0,2.0,,1272.0,0.9,0.001
3234,"BOREWELL NERA TSDF OF NANDESARI ENVIRO CONTROL LIMITED, NADESARI, VADODARA",Groundwater,GUJARAT,2021,29.5,,8.05,10218.0,2.1,1.21,2.0,2.0,,7100.0,1.5,0.001
3209,"BOREWELL OF GAYATRI PRAGNA SCHOOL, BHADARWAD ROAD, BAZAR FALIA, SARIGAM, VALSAD",Groundwater,GUJARAT,2021,28.5,,7.6,905.5,1.0,0.35,2.0,2.0,,496.0,0.2,0.001
