stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1109,W.YAM. CANAL WC- 1(Y.NAGAR)100M D/S AFTER RECEIVING IND.&SEW.EFFL,Canal,HARYANA,2016,,,7.36,7.125,436.5,3.15,0.0,,
1110,W.YAM. CANAL WC-2 (NEAR KARNA LAKE)G.T.ROAD KARNAL,Canal,HARYANA,2016,,,6.4,7.475,261.5,3.0,0.0,,
1113,"W.YAM. CANAL WC-5 SIRSA BRANCH AT ROAD BRIDGE, KARNAL",Canal,HARYANA,2016,,,6.54,7.495,200.5,3.1,0.0,,
1114,W.YAM. CANAL WC-6 SIRSA BRANCH AT RD.BRIDGE JIND KAITHAL ROAD,Canal,HARYANA,2016,,,6.95,7.935,245.0,2.335,0.0,,
1419,"GURGAON CANAL, GC-1, (NEAR BADARPUR BORDER)",Canal,HARYANA,2016,,30.0,2.5,7.65,1985.0,32.0,1.6,,
1886,WESTERN YAMUNA CANAL AT TAJEWALA,Canal,HARYANA,2016,,,7.3,7.65,259.5,3.0,0.0,,
2056,WESTERN YAMUNA CANAL AT DAMLA D/S OF YAMUNA NAGAR,Canal,HARYANA,2016,,,6.55,7.55,279.0,3.1,0.0,,
1025,"GHAGGAR GH-1 AT ROAD BRDG. SIRSA, DEBWALI ROAD",River,HARYANA,2016,20.5,5.0,6.6,915.0,22.35,12.0,,,
1026,GHAGGAR GH-2 AT CHANDARPUR SYPHON,River,HARYANA,2016,24.0,5.3,6.6,995.0,28.0,0.0,,,
1884,KALA AMB D/S MARKANDA,River,HARYANA,2016,,3.8,7.2,1609.0,249.2,0.0,,,
1885,GHAGGAR D/S OF SURAJPUR,River,HARYANA,2016,,6.15,7.9,468.0,3.4,0.0,,,
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER),River,HARYANA,2016,18.5,4.85,7.3,855.0,28.0,0.0,,,
1349,BRAHMSAROVAR LAKE AT KURUKSHETRA,Pond/Tank,HARYANA,2016,,,5.8,6.8,8.15,107.95,476.0,2.2,1.15
1392,SUKHNA LAKE,Pond/Tank,HARYANA,2016,,,5.8,6.35,7.7,144.4,383.0,4.55,2.0
1117,YAMUNA AT HATHNIKUND,River,HARYANA,2016,22.0,9.45,7.55,257.5,1.5,0.0,6522.5,12165.0,
1496,"YAMUNA AT KALANAUR, YAMUNA NAGAR",River,HARYANA,2016,23.0,7.9,7.55,287.5,1.5,0.0,8555.0,27085.0,
1119,YAMUNA AT SONEPAT,River,HARYANA,2016,26.0,9.45,7.6,765.0,6.5,0.2,12055.0,17570.0,
