stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1109,W.Yam. Canal Wc- 1(Y.Nagar)100M D/S After Receiving Ind.&Sew.Effl,Canal,HARYANA,2016,Unsafe,33.33,High BOD,,,7.36,7.125,436.5,3.15,0.0,,
1110,W.Yam. Canal Wc-2 (Near Karna Lake)G.T.Road Karnal,Canal,HARYANA,2016,Unsafe,33.85,"pH Out of Range, High BOD",,,6.4,7.475,261.5,3.0,0.0,,
1113,"W.Yam. Canal Wc-5 Sirsa Branch At Road Bridge, Karnal",Canal,HARYANA,2016,Unsafe,33.33,High BOD,,,6.54,7.495,200.5,3.1,0.0,,
1114,W.Yam. Canal Wc-6 Sirsa Branch At Rd.Bridge Jind Kaithal Road,Canal,HARYANA,2016,Unsafe,33.33,High BOD,,,6.95,7.935,245.0,2.335,0.0,,
1419,"Gurgaon Canal, Gc-1, (Near Badarpur Border)",Canal,HARYANA,2016,Unsafe,40.39,"pH Out of Range, High BOD",,30.0,2.5,7.65,500.0,32.0,1.6,,
1886,Western Yamuna Canal At Tajewala,Canal,HARYANA,2016,Unsafe,33.33,High BOD,,,7.3,7.65,259.5,3.0,0.0,,
2056,Western Yamuna Canal At Damla D/S Of Yamuna Nagar,Canal,HARYANA,2016,Unsafe,33.33,High BOD,,,6.55,7.55,279.0,3.1,0.0,,
1025,"Ghaggar Gh-1 At Road Brdg. Sirsa, Debwali Road",River,HARYANA,2016,Unsafe,33.33,High BOD,20.5,5.0,6.6,915.0,22.35,12.0,,,
1026,Ghaggar Gh-2 At Chandarpur Syphon,River,HARYANA,2016,Unsafe,33.33,High BOD,24.0,5.3,6.6,995.0,28.0,0.0,,,
1884,Kala Amb D/S Markanda,River,HARYANA,2016,Unsafe,41.33,"Low DO, High BOD",,3.8,7.2,1609.0,249.2,0.0,,,
1885,Ghaggar D/S Of Surajpur,River,HARYANA,2016,Unsafe,12.58,High BOD,,6.15,7.9,468.0,3.4,0.0,,,
1887,Ghaggar Before Ottu Weir (Before Mixing Of Satluj Canal Water),River,HARYANA,2016,Unsafe,34.33,"Low DO, High BOD",18.5,4.85,7.3,855.0,28.0,0.0,,,
1349,Brahmsarovar Lake At Kurukshetra,Pond/Tank,HARYANA,2016,Unsafe,27.69,"pH Out of Range, High BOD",,,5.8,6.8,8.15,100.0,476.0,2.2,1.15
1392,Sukhna Lake,Pond/Tank,HARYANA,2016,Unsafe,25.98,"pH Out of Range, High BOD",,,5.8,6.35,7.7,100.0,383.0,4.55,2.0
1117,Yamuna At Hathnikund,River,HARYANA,2016,Unsafe,33.06,"High Fecal Coliform, High Total Coliform",22.0,9.45,7.55,257.5,1.5,0.0,6522.5,12165.0,
1496,"Yamuna At Kalanaur, Yamuna Nagar",River,HARYANA,2016,Unsafe,43.33,"High Fecal Coliform, High Total Coliform",23.0,7.9,7.55,287.5,1.5,0.0,8555.0,27085.0,
1119,Yamuna At Sonepat,River,HARYANA,2016,Unsafe,48.49,"High BOD, High Fecal Coliform, High Total Coliform",26.0,9.45,7.6,765.0,6.5,0.2,12055.0,17570.0,
