stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
4832,"BOREWELL IN THE PREMISES OF CETP, MURTHAL, SONEPAT",Groundwater,HARYANA,2021,5.2,,7.4,2570.0,3.4,2.95,3200.0,4215.0,,1412.0,2.1,
4833,"BOREWELL IN THE PREMISES OF DCRUST, MURTHAL, SONEPAT",Groundwater,HARYANA,2021,,,8.3,973.0,1.4,0.3,,20.0,,530.0,2.0,
4844,"BOREWELL NEAR POSCO COMPANY, SECTOR - 14, PHASE - II, VILLAGE PATHUHERA, HSIIDC, IMT, BAWAL",Groundwater,HARYANA,2021,33.1,,7.4,1590.0,,,160.0,2100.0,,748.0,,
4843,"GEPIL, VILLAGE PALI, MOHABATABAD CRUSHER ZONE, FARIDABAD",Groundwater,HARYANA,2021,18.0,,7.25,897.0,1.0,,2.0,2.0,,495.0,0.2,
4828,GROUND WATER AT JHAJJAR,Groundwater,HARYANA,2021,,,7.8,557.0,2.75,1.0,490.0,3500.0,,349.0,0.3,0.001
4830,HANDPUMP NEAR JLN CANAL NEAR TILYAR LAKE AT ROHTAK,Groundwater,HARYANA,2021,,,8.15,965.0,1.0,,,,,580.0,,
4852,"TUBEWELL AT FAUJI DHABA, GT KARNAL ROAD, PANIPAT",Groundwater,HARYANA,2021,,,8.3,1788.0,1.0,0.3,,20.0,,978.0,,
4841,"TUBEWELL AT GARHI, HODAL , PALWAL",Groundwater,HARYANA,2021,,,7.2,4510.0,1.0,0.3,,,,2480.0,0.7,
4840,"TUBEWELL AT HATHIN, PLAWAL",Groundwater,HARYANA,2021,,,7.7,5740.0,1.0,0.3,,,,3160.0,1.2,
4839,"TUBEWELL AT PRITHLA, PALWAL",Groundwater,HARYANA,2021,,,7.35,3665.0,1.0,0.3,,,,2020.0,0.75,
