stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1555,"Well At Kala Amb,",Groundwater,HIMACHAL PRADESH,2019,Unsafe,33.34,High BOD,,,,7.6,500.0,0.25,0.69,2.0,
GEN-4E9CEC,1556,Groundwater,HIMACHAL PRADESH,2019,Unsafe,30.18,High BOD,,,,,7.5,100.0,364.05,0.125,
GEN-596F71,1557,Groundwater,HIMACHAL PRADESH,2019,Unsafe,31.42,High BOD,,,,,7.6,100.0,495.55,0.09,
1559,Ground Water At Barotiwala,Groundwater,HIMACHAL PRADESH,2019,Unsafe,50.0,High BOD,24.5,,,7.9,500.0,0.15,0.15,,
1872,Ground Water At Shimla D/S Of Msw Dumping Site,Groundwater,HIMACHAL PRADESH,2019,Unsafe,25.49,High BOD,16.5,,6.55,7.8,500.0,23.6,5.23,462.5,
1873,Ground Water At Dharamshala Kangra D/S Of Msw Dumping Site,Groundwater,HIMACHAL PRADESH,2019,Unsafe,50.0,"pH Out of Range, High BOD",15.5,,0.0,7.2,263.0,0.2,0.395,2.0,
1874,Ground Water At Solan-D/S Of Msw Dumping Site Salogra,Groundwater,HIMACHAL PRADESH,2019,Unsafe,28.47,"pH Out of Range, High BOD",22.0,,5.6,7.65,500.0,0.35,0.695,9.5,
1877,Ground Water At Baddi Industrial Area,Groundwater,HIMACHAL PRADESH,2019,Unsafe,50.0,High BOD,23.75,,,7.6,500.0,0.1,0.17,,
1878,Ground Water At Barotiwala Industrial Area,Groundwater,HIMACHAL PRADESH,2019,Unsafe,50.0,High BOD,21.5,,,7.1,500.0,0.1,0.11,,
1879,Ground Water At Nalagarh Industrial Area,Groundwater,HIMACHAL PRADESH,2019,Unsafe,50.0,High BOD,23.0,,,6.8,500.0,0.1,0.11,,
1880,Ground Water At Kala Amb Industrial Area,Groundwater,HIMACHAL PRADESH,2019,Unsafe,33.34,High BOD,,,,7.95,495.0,0.2,0.65,2.0,
1881,Ground Water At Paonta Sahib Industrial Area,Groundwater,HIMACHAL PRADESH,2019,Unsafe,33.34,High BOD,,,,7.6,500.0,0.15,0.995,2.0,
1882,Ground Water At Mehatpur Industrial Area,Groundwater,HIMACHAL PRADESH,2019,Unsafe,50.0,High BOD,20.0,,,7.8,76.0,0.1,0.0,,
1883,Ground Water At Una Industrial Area,Groundwater,HIMACHAL PRADESH,2019,Unsafe,50.0,High BOD,19.5,,,7.45,500.0,0.1,0.18,,
