stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1555,"TUBEWELL NEAR JSV PUMP STATION RESIDENTIAL AREA KHERI, KALA AMB,",Groundwater,HIMACHAL PRADESH,2022,,,7.19,1034.0,1.1,2.075,,,,442.5,0.635,
1556,BOREWELL NEAR JSV TANK HEERPUR AT PAONTA SAHIB,Groundwater,HIMACHAL PRADESH,2022,23.0,,7.855,643.0,,2.66,,5.65,,319.0,0.78,
1557,BOREWELL AT GABRIEL INDIA LTD. INDUSTRIAL AREA PARWANOO,Groundwater,HIMACHAL PRADESH,2022,,,7.765,645.0,,9.835,14.0,70.0,,346.5,0.48,
1558,GROUND WATER NEAR VMT SPINNING AT BADDI,Groundwater,HIMACHAL PRADESH,2022,,,7.73,1807.0,,2.52,,,,1446.0,0.23,
1559,GROUND WATER NEAR HIGH VALLEY RESIDENTIAL COLONY BAROTIWALA AT BAROTIWALA,Groundwater,HIMACHAL PRADESH,2022,,,7.665,1223.5,2.0,8.52,4.0,38.0,,641.3,0.5,
1560,GROUND WATER NEAR DURGA TEMPLE RAJPURA ROAD NALAGARH AT NALAGARH,Groundwater,HIMACHAL PRADESH,2022,,,7.54,1038.5,,8.66,2.0,25.0,,584.5,0.92,
1561,GROUND WATER NEAR RAM GOPAL TEMPLE AT DAMTAL,Groundwater,HIMACHAL PRADESH,2022,26.0,,6.88,753.0,,0.32,2.0,24.0,,480.0,,
1562,BOREWELL NEAR ISBT UNA,Groundwater,HIMACHAL PRADESH,2022,27.25,,7.395,553.5,,1.725,2.0,24.0,,360.0,,
1873,GROUND WATER U/S OF MSW DUMPING SITE AT DHARAMSHALA KANGRA,Groundwater,HIMACHAL PRADESH,2022,12.0,,6.88,320.0,,0.47,2.0,17.0,,222.0,,
1874,"SPRING SOURCE (GROUND WATER) BELOW SWM SITE AT SALOGRA, VILL. SALOGRA, DISTT. SOLAN",Groundwater,HIMACHAL PRADESH,2022,15.5,,8.03,411.5,,5.205,12.0,52.0,,222.5,0.375,
