stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
3159,"GROUND WATER FROM RAJKIYA HIGH SCHOOL ,SHAHPUR",Groundwater,J & K,2022,22.0,,7.14,705.0,,1.54,,2.0,,487.0,0.595,
1951,"GROUND WATER AT RAJKOTGROUND WATER NR. DISTRICT CO-OPERATIVE BANK, NR. RAIYA CIRCLE, RAIYA ROAD RAJKOT",Groundwater,J & K,2022,30.0,,8.39,1768.0,1.1,1.24,,,,1204.0,,
2095,"BORE WELL OF NARSHIBHAI BECHARBHAI ZALAWADIA @ 200 METER AWAY FROM MADHAPAR STP TOWARD ISWARIA MAHADEV TEMPLE, MADHAPAR, DIST. RAJKOT.BORE WELL OF NARSHIBHAI BECHARBHAI ZALAVADIYA, NR. MADHAPAR STP PLANT, RAJKOT",Groundwater,J & K,2022,29.5,,7.825,2064.5,1.2,1.35,,,,1392.0,0.26,
3240,"BOREWELL OF AJI GIDC ASSOCIATION OFFICE, PLOT NO. C-1/2, ROAD NO -B NR. ASHISH METAL, RAJKOTBORE WELL OF",Groundwater,J & K,2022,28.5,,7.525,,1.1,1.39,,,,1024.0,0.35,
3241,"BOREWELL NEAR MUNICIPAL SOLID WASTE SITE, NAKARWADI, RAJKOT",Groundwater,J & K,2022,29.5,,7.885,,1.2,1.35,,,,1674.0,0.5,
3824,"GROUND WATER VILL BHEEMJORI, MALAJKH, DIST BALAGHAT",Groundwater,J & K,2022,22.0,,7.5,,1.4,,,9.0,,130.0,,
1737,"GROUND WATER QUALITY STATION CAPTANGANJ, KHUSHINAGAR,U.P",Groundwater,J & K,2022,20.5,,6.44,676.0,5.85,,,,,463.0,,
30089,"RIVER RAVI AT LAKHANPUR, J & K",River,J & K,2022,21.5,9.7,8.55,259.5,2.0,0.32,85039.0,165245.0,220.0,,,
2747,"RIVER TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING SITE, J&K",River,J & K,2022,23.0,7.1,7.85,250.0,1.1,0.32,,,,,,
4469,GAJ KHAD NEAR WATER SUPPLY SCHEME DHARAMSHALA CANTT.,River,J & K,2022,11.5,9.2,7.685,83.0,,2.12,2.0,35.5,,,,
10004,RIVER YAMUNA AT KHOJKIPUR PANIPAT,River,J & K,2022,,7.25,7.45,622.5,8.9,,2000.0,8850.0,,,,
2572,"RIVER MAHANANDA AT THAKURGANJ, KISHANGANJ ROAD BRIDGE, KISHANGANJ",River,J & K,2022,21.5,7.6,7.69,293.5,2.05,0.33,120850.0,177450.0,,,,
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",River,J & K,2022,22.2,7.75,7.735,2418.0,1.6,0.58,6.0,48.0,,,,
4616,"RIVER BANJAR RIVER NEAR ROAD BRIDGE, VILL. KHARRADHAR MALANJKHAND.",River,J & K,2022,22.5,7.65,7.735,299.5,1.65,0.935,7.0,32.5,,,,
4617,"RIVER WAINGANGA RIVER NEAR VILL. BUDUNDA MALANJKHAND, BALAGHAT",River,J & K,2022,22.75,7.75,7.66,327.0,1.5,0.55,5.05,55.5,,,,
