stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
2759,DUGWELL AT GAGHWAL(KATHUA DISTT),Groundwater,JAMMU & KASHMIR,2017,21.0,,7.1,450.0,,,,,,0.305,,
2760,MALADHAR TALAB(POND)HATLI (KATHUA),Groundwater,JAMMU & KASHMIR,2017,24.0,,8.1,323.0,7.7,,,0.365,,,,
2762,"R.S. PURA TEHSIL, JAMMU",Groundwater,JAMMU & KASHMIR,2017,21.0,,8.6,1530.0,23.5,,,0.315,,,,
3288,GROUND WATER AT IQBAL PARK,Groundwater,JAMMU & KASHMIR,2017,16.0,,7.1,569.0,3.0,,,0.0,,,,
3290,GROUND WATER AT ZANAKOT (I),Groundwater,JAMMU & KASHMIR,2017,15.0,,7.2,668.0,3.5,,,0.0,,,,
3291,GROUND WATER AT ZANAKOT (II),Groundwater,JAMMU & KASHMIR,2017,15.0,,7.2,679.0,4.6,,,0.0,,,,
3292,GROUND WATER AT SADAKADAL,Groundwater,JAMMU & KASHMIR,2017,18.0,,7.3,917.0,5.0,,,0.0,,,,
3251,DAL LAKE AT DALGATE,Pond/Tank,JAMMU & KASHMIR,2017,,15.5,5.2,7.6,239.0,2.95,,,,,,
3252,DAL LAKE AT CHAIRCHINARI,Pond/Tank,JAMMU & KASHMIR,2017,,15.25,7.95,7.9,182.0,1.75,,,,,,
3253,DAL LAKE NEAR NISHAT LAM,Pond/Tank,JAMMU & KASHMIR,2017,,15.75,6.1,7.95,307.5,5.05,,,,,,
3254,DAL LAKE AT ABIKARPORA,Pond/Tank,JAMMU & KASHMIR,2017,,15.75,8.7,8.0,178.0,1.9,,,,,,
3256,DAL LAKE AT ENTRY POINT OF TALIBAL NALLAH,Pond/Tank,JAMMU & KASHMIR,2017,,17.75,8.0,7.7,263.0,3.3,,,,,,
3257,DAL LAKE AT HABAK,Pond/Tank,JAMMU & KASHMIR,2017,,16.6,7.8,7.55,339.5,6.95,,,,,,
3258,DAL LAKE AT HAZRATBAL,Pond/Tank,JAMMU & KASHMIR,2017,,17.0,9.1,7.9,326.0,4.8,,,,,,
3259,DAL LAKE AT DHOBIGHAT,Pond/Tank,JAMMU & KASHMIR,2017,,16.7,8.1,7.95,260.0,4.25,,,,,,
3260,DAL LAKE AT SONALANK,Pond/Tank,JAMMU & KASHMIR,2017,,15.65,8.35,7.85,236.0,2.0,,,,,,
3261,"DAL LAKE AT NISHAT, WATER INTAKE POINT OF NISHAT WATER TREATMENT PLANT",Pond/Tank,JAMMU & KASHMIR,2017,,16.2,8.05,7.95,169.0,2.25,,,,,,
3262,"DAL LAKE AT NIGEEN, WATER INTAKE PT OF POKHRIBAL WATER TREATMENT PLANT",Pond/Tank,JAMMU & KASHMIR,2017,,16.9,8.4,8.1,210.0,2.35,,,,,,
3263,WULAR LAKE AT NINGLI NALLAH,Pond/Tank,JAMMU & KASHMIR,2017,,14.9,6.55,7.8,196.0,1.95,,,,,,
3264,WULAR LAKE AT WATLAB,Pond/Tank,JAMMU & KASHMIR,2017,,15.3,6.2,7.65,210.0,3.05,,,,,,
3265,WULAR LAKE ATKANIBATH,Pond/Tank,JAMMU & KASHMIR,2017,,14.5,6.3,7.7,172.5,3.85,,,,,,
3266,WULAR LAKE AT ENTRY PT OF ERIN NALLAH,Pond/Tank,JAMMU & KASHMIR,2017,,16.7,6.45,7.7,180.0,3.25,,,,,,
1307,CHUNT KOL (MAULANA AZAD BRIDGE),River,JAMMU & KASHMIR,2017,15.2,4.8,7.45,295.5,8.4,,,,,,,
1306,"GAWKADAL, SRG (SHERGHARI, SRG)",River,JAMMU & KASHMIR,2017,14.8,7.5,7.65,222.5,3.75,,,,,,,
1304,JHELAM AT ANANTNAG D/S,River,JAMMU & KASHMIR,2017,13.85,7.65,7.75,258.5,2.4,,,,,,,
3274,JHELUM RIVER AT AWANTIPORA,River,JAMMU & KASHMIR,2017,13.35,7.45,7.75,202.5,2.25,,,,,,,
3275,JHELUM RIVER AT PAMPORE,River,JAMMU & KASHMIR,2017,13.0,7.05,7.8,197.0,2.3,,,,,,,
1410,"JHELAM AT DALAGATE (INLET), SRINAGAR",River,JAMMU & KASHMIR,2017,15.05,6.55,7.85,214.5,3.0,,,,,,,
