stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2394,TOP CHACHI LAKE,Pond/Tank,JHARKHAND,2016,,23.0,7.45,7.45,,1.25,0.0,,
2398,"DIMNA LAKE,DIMNA",Pond/Tank,JHARKHAND,2016,,24.5,7.35,7.25,190.0,0.3,1.4,,
2402,HAZARIBAGH MEETHAJHIL,Pond/Tank,JHARKHAND,2016,,25.5,7.7,7.1,,2.45,0.0,,
1059,GANGA AT RAJMAHAL,River,JHARKHAND,2016,25.0,9.0,7.1,340.0,2.9,0.0,,,
2401,AJAY AT MASANJORE DAM,River,JHARKHAND,2016,27.0,8.5,6.5,340.0,2.9,0.0,,,
2378,DAMODAR D/S BHAIRABI AT RAJRAPPA,River,JHARKHAND,2016,28.0,7.8,7.45,,2.6,0.0,,,
2380,DAMODAR AT RAMGARH ROAD BRIDGE,River,JHARKHAND,2016,28.0,7.7,7.35,,2.7,0.0,,,
2388,KONAR AT TILAYA DAM,River,JHARKHAND,2016,26.5,7.85,7.35,,2.25,0.0,,,
2389,KONAR AT KONAR DAM,River,JHARKHAND,2016,27.0,7.8,7.15,,2.45,0.0,,,
2379,NALKARI TRIBUTARY AT PATRATU,River,JHARKHAND,2016,28.0,3.6,7.15,,3.0,0.0,,,
2382,DAMODAR AT PHUSRO ROAD BRIDGE,River,JHARKHAND,2016,26.0,7.2,7.3,,2.8,0.0,,,
2383,DAMODAR U/S JAMADOVA,River,JHARKHAND,2016,24.0,7.55,7.45,,1.85,0.0,,,
2384,DAMODAR D/S SINDRI,River,JHARKHAND,2016,24.5,7.45,7.5,,2.05,0.0,,,
2391,DAMODAR AT PANCHET DAM,River,JHARKHAND,2016,23.5,7.65,7.55,,1.5,0.0,,,
2392,BARAKAR AT MAITHAN DAM,River,JHARKHAND,2016,25.5,7.55,7.55,,1.3,0.0,,,
2390,KONAR AT TENUGHAT DAM,River,JHARKHAND,2016,27.0,7.7,7.5,,1.3,0.0,,,
2381,BOKARO AT JARANDI,River,JHARKHAND,2016,28.0,6.7,7.3,,2.5,0.0,,,
1035,KARO U/S LOHOJIMI,River,JHARKHAND,2016,26.5,8.3,7.3,,2.4,0.0,215.0,1350.0,
1033,"KOEL AT BASIA,DAM U/S,JHARKHAND",River,JHARKHAND,2016,25.0,8.3,7.15,,2.45,0.0,190.0,1065.0,
1036,"KOEL AT MANOHARPUR AFTER MEETING KOINA RIVER D/S,J",River,JHARKHAND,2016,32.5,7.6,7.65,323.0,0.5,1.8,,,
2376,NORTH KOEL U/S DALTANGANJ,River,JHARKHAND,2016,28.0,8.0,7.4,,2.65,0.0,175.0,1065.0,
2377,"NORTH KOEL D/S BCCL, REHLA",River,JHARKHAND,2016,28.0,7.85,7.35,,2.75,0.0,230.0,1350.0,
1034,SANKH AT BOLBA,River,JHARKHAND,2016,27.5,8.45,7.35,,2.25,0.0,155.0,975.0,
2399,SUBARNAREKHA AT CHANDIL DAM,River,JHARKHAND,2016,24.5,7.8,7.45,201.0,0.3,1.2,,,
48,SUBARNAREKHA AT CHANDIL BRIDGE,River,JHARKHAND,2016,29.5,7.45,7.9,211.0,2.3,0.2,,,
24,SUBARNAREKHA AT JAMSHEDPUR,River,JHARKHAND,2016,30.0,6.3,7.15,336.5,2.8,3.4,,,
49,"SUBARNAREKHA AT D/S JAMSHEDPUR,(TATA NAGAR),JHARKA",River,JHARKHAND,2016,29.0,5.1,7.8,332.0,1.1,1.35,,,
2387,SUBAREKHA AT GHATISLA ROAD BRIDGE,River,JHARKHAND,2016,28.0,7.6,7.45,260.5,0.3,1.85,,,
23,"SUBARNAREKHA AT RANCHI,(TATISILWAI) JHARKHAND",River,JHARKHAND,2016,24.0,6.35,7.05,,2.35,0.0,215.0,1350.0,
2385,SUBARNAREKHA AT NAMKUM ROAD BRIDGE,River,JHARKHAND,2016,25.0,6.1,6.95,,3.25,0.0,190.0,1065.0,
2386,SUBARNAREKHA AT MURI ROAD BRIDGE,River,JHARKHAND,2016,25.0,7.75,7.55,,2.6,0.0,215.0,1350.0,
2395,SUBARNAREKHA AT HATIA DAM,River,JHARKHAND,2016,24.5,8.35,7.6,,2.55,0.0,190.0,1215.0,
2397,SUBARNAREKHA AT GATALSUD DAM,River,JHARKHAND,2016,22.5,8.35,7.4,,2.7,0.0,215.0,1350.0,
2396,JUMAR AT KANKE DAM,River,JHARKHAND,2016,24.5,6.55,7.05,,3.1,0.0,215.0,1350.0,
