stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
4492,"HAND PUMP NEAR GARBAGE DUMP, RAKSHIBANDH DUMKA",Groundwater,JHARKHAND,2022,28.0,,7.55,220.0,1.15,,,,,215.0,,
4493,HOLY POND AT VILLAGE SIKATIA,Groundwater,JHARKHAND,2022,27.0,,7.55,257.5,1.4,,,,,253.0,,
4758,"GOVT. HANDPUMP NEAR HOUSE OF RAJENDRA SINGH MUNDA, KOKRANA MURI",Groundwater,JHARKHAND,2022,22.0,,6.7,,3.95,,,,,384.0,,
2398,"DIMNA LAKE, DIMNA",Pond/Tank,JHARKHAND,2022,,27.5,7.1,7.3,235.0,1.1,,,,,,
2402,HAZARIBAGH MEETHAJHIL,Pond/Tank,JHARKHAND,2022,,28.5,7.05,7.4,,2.2,,,,,,
2394,TOP CHANCHI LAKE,Pond/Tank,JHARKHAND,2022,,21.5,7.8,7.9,,2.15,,,,,,
4741,"RANIBANDH TALAB NEAR ISM, DHANBAD",Pond/Tank,JHARKHAND,2022,,19.5,4.6,7.3,,3.2,,,,,,
2393,"SHIV GANGA POND, DEOGHAR",Pond/Tank,JHARKHAND,2022,,27.5,6.3,7.65,212.0,1.35,,,,,,
10144,RIVER GANGA U/S NEAR LCT GHAT,River,JHARKHAND,2022,25.5,4.25,7.5,209.0,1.25,,,,,,,
10145,RIVER GANGA D/S NEAR JANTA GHAT,River,JHARKHAND,2022,25.5,6.95,7.5,211.0,1.35,,,,,,,
10146,RIVER GANGA AT SANGI DALAN,River,JHARKHAND,2022,25.0,6.95,7.5,213.0,1.25,,,,,,,
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",River,JHARKHAND,2022,20.5,4.25,6.55,,2.45,,,,,,,
