stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
3564,BOREWELL WATER NEAR MANGALIJYOTHI SCHOOL MSW SITE VAMMANJOOR,Pond/Tank,KARNATAKA,2022,27.5,,7.2,179.0,3.0,3.255,52.5,530.0,,122.0,,
2780,"RIVER KALI AT U/S OF WCPM, DANDELI",River,KARNATAKA,2022,25.5,7.55,7.1,77.0,2.4,0.32,53.0,117.0,27.0,,,
1444,RIVER KALI AT D/S WEST COAST PAPER MILL (WCPM),River,KARNATAKA,2022,26.5,7.55,7.1,92.0,2.6,0.32,67.5,139.5,45.0,,,
1894,RIVER KUMARADHARA U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH NETHRAVATHI,River,KARNATAKA,2022,28.5,7.3,7.5,147.5,2.0,1.51,50.5,340.0,,,,
3562,RIVER NETRAVATHI AT THUMBE WATER SUPPLY STATIONS TO MANGALORE CITY,River,KARNATAKA,2022,28.0,7.15,7.35,158.0,2.0,1.895,56.5,480.0,,,,
3563,RIVER NETRAVATHI AT U/S OF UPPINANGADI TOWN,River,KARNATAKA,2022,28.5,7.1,7.55,148.0,3.0,1.87,57.5,435.0,,,,
1892,RIVER NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,River,KARNATAKA,2022,28.5,7.25,7.45,146.0,2.0,1.515,57.0,480.0,,,,
30051,RIVER GODAVARI AT BASER(BANGALORE),River,KARNATAKA,2022,,6.9,7.48,710.0,2.4,7.0,,22.0,,,,
1891,RIVER MANJEERA AT D/S INTAKE POINT TO BIDAR CITY,River,KARNATAKA,2022,33.5,6.3,8.05,577.5,2.1,0.55,132.0,730.0,,,,
30055,RIVER MANJEERA AT JANWADA(BANGALORE),River,KARNATAKA,2022,28.0,8.1,7.6,532.0,2.1,4.22,140.0,900.0,,,,
1889,RIVER KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,River,KARNATAKA,2022,27.0,7.3,8.205,576.0,1.7,23.835,635.0,1600.0,390.0,,,
1182,RIVER KRISHNA AT U/S OF UGARKHURD BARRAGE,River,KARNATAKA,2022,28.5,7.7,8.285,546.0,1.75,23.15,635.0,1260.0,390.0,,,
2781,RIVER KRISHNA AT D/S OF ALAMATTI DAM,River,KARNATAKA,2022,31.5,6.6,8.15,731.0,2.0,2.675,570.0,1260.0,355.0,,,
1028,RIVER KRISHNA AT TINTINI BRIDGE,River,KARNATAKA,2022,29.5,7.7,7.85,846.0,4.0,2.44,2335.0,17675.0,50.0,,,
1170,RIVER KRISHNA AT D/S OF DEVASAGAR BDG.,River,KARNATAKA,2022,29.0,7.9,7.925,927.0,4.5,3.34,2065.0,46250.0,90.0,,,
2763,RIVER KRISHNA AT ASANGI VILLAGE (JAMAKANDI VILLAGE),River,KARNATAKA,2022,22.0,8.55,8.47,642.5,2.0,19.43,675.0,1600.0,445.0,,,
