stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
5771,"Hejamdi End Point near Blue flog Beach Padubidri, kaup Tq, Udupi , District",SEA,KARNATAKA,2023,28.0,7.2,7.7,,2.0,,2.0,2.0,2.0
5772,"Gujjarbettu, Kemmanu Asare Beach, Udupi Tq,",SEA,KARNATAKA,2023,28.0,7.1,7.6,,,,2.0,2.0,2.0
5773,"Kota Padukere, Brahmavara Tq, Udupi Dist",SEA,KARNATAKA,2023,28.0,7.2,7.6,,,,2.0,2.0,2.0
5774,"Gangoli Harbour Kundapura, Udupi Dist",SEA,KARNATAKA,2023,30.0,7.0,7.9,,2.0,,2.0,2.0,2.0
5775,"Someshwara Beach Byndoor Tq, Udupi",SEA,KARNATAKA,2023,30.5,5.75,7.55,1264.0,10.15,5.5,921.0,1601.0,541.0
,RIVER KALI AT D/S WEST COAST PAPER MILL (WCPM),River (Medium/Minor),KARNATAKA,2023,27.0,7.45,7.5,83.5,2.4,0.32,137.0,431.5,50.0
2780,"RIVER KALI AT U/S OF WCPM, DANDELI",River (Medium/Minor),KARNATAKA,2023,26.5,7.65,7.25,68.5,2.25,0.31,99.0,376.0,38.5
,RIVER KUMARADHARA U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH NETHRAVATHI,River (Medium/Minor),KARNATAKA,2023,30.9,7.4,7.65,140.0,2.0,1.85,55.5,515.0,
,RIVER NETRAVATHI AT THUMBE WATER SUPPLY STATIONS TO MANGALORE CITY,River (Medium/Minor),KARNATAKA,2023,29.5,7.1,7.55,144.0,2.0,1.35,75.5,597.0,
3563,RIVER NETRAVATHI AT U/S OF UPPINANGADI TOWN,River (Medium/Minor),KARNATAKA,2023,30.35,7.35,7.55,144.5,3.0,1.6,60.0,530.0,
,RIVER NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,River (Medium/Minor),KARNATAKA,2023,30.0,7.25,7.65,142.0,2.0,1.25,72.0,520.0,
4496,RIVER AGHANASHINI MARIGADDE (SIRSI),River (Medium/Minor),KARNATAKA,2023,23.5,7.5,7.3,86.5,2.3,0.365,48.0,95.0,18.0
4497,RIVER KENGRE HOLE (SIRSI),River (Medium/Minor),KARNATAKA,2023,23.0,7.5,7.1,90.5,2.25,0.31,47.5,118.0,16.5
