stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
19,"Well At Alwaye, Kerala",Groundwater,KERALA,2018,Unsafe,8.15,pH Out of Range,27.5,,5.7,161.5,1.25,2.05,201.0,601.0,
GEN-B6D767,22,Groundwater,KERALA,2018,Unsafe,33.68,High BOD,,,,,25.0,17.25,40.65,60.25,
GEN-1C383C,35,Groundwater,KERALA,2018,Unsafe,34.14,High BOD,,,,,24.0,15.55,98.35,114.55,
GEN-076023,1583,Groundwater,KERALA,2018,Unsafe,33.96,High BOD,,,,,26.0,16.8,77.45,80.5,
GEN-277281,1584,Groundwater,KERALA,2018,Unsafe,34.46,High BOD,,,,,28.0,18.25,133.6,175.25,
GEN-228499,1585,Groundwater,KERALA,2018,Unsafe,34.47,High BOD,,,,,28.0,18.45,128.5,211.0,
GEN-8F1979,1586,Groundwater,KERALA,2018,Unsafe,34.14,High BOD,,,,,28.0,16.8,101.3,100.0,
GEN-49AF6C,1587,Groundwater,KERALA,2018,Unsafe,34.71,High BOD,,,,,26.0,17.15,170.5,177.25,
GEN-894B77,1588,Groundwater,KERALA,2018,Unsafe,34.26,High BOD,,,,,26.0,17.6,108.2,151.3,
GEN-DCA567,1589,Groundwater,KERALA,2018,Unsafe,34.52,High BOD,,,,,30.0,19.1,138.15,199.6,
GEN-BCB41C,1590,Groundwater,KERALA,2018,Unsafe,33.67,High BOD,,,,,27.0,16.65,41.35,46.25,
GEN-D72FBB,1592,Groundwater,KERALA,2018,Unsafe,34.24,High BOD,,,,,28.0,17.4,103.95,160.25,
GEN-E58AEA,2308,Groundwater,KERALA,2018,Unsafe,34.07,High BOD,,,,,27.0,17.4,90.5,99.75,
GEN-F516DF,2309,Groundwater,KERALA,2018,Unsafe,33.66,High BOD,,,,,27.0,17.15,40.25,43.75,
