stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
19,"WELL AT ELOOR,ERNAKULAM",Groundwater,KERALA,2022,26.5,,5.75,120.0,1.6,1.275,290.0,435.0,,74.5,,0.001
22,"WELL AT CHUNGAPALLY, KERALA",Groundwater,KERALA,2022,27.5,,6.25,122.5,,1.21,23.0,80.0,,73.5,,
35,"WELL AT PUNALUR, KERALA",Groundwater,KERALA,2022,24.0,,7.2,208.5,1.1,2.08,31.0,100.0,,128.5,,
1581,"WELL AT PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",Groundwater,KERALA,2022,27.0,,5.2,184.0,1.8,,150.0,355.0,,106.5,,0.004
1582,"WELL AT NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",Groundwater,KERALA,2022,27.0,,6.0,240.0,2.2,,455.0,800.0,,140.5,,
1583,"WELL AT KUNDARA, KOLLAM DISTT. , KERALA",Groundwater,KERALA,2022,24.5,,6.8,233.5,1.45,16.2,,90.0,,143.5,,
1584,"WELL AT CHERTHALA, ALLEPPY, KERALA",Groundwater,KERALA,2022,30.0,,7.3,238.5,1.6,,200.0,445.0,,159.5,0.8,
1585,"WELL AT VYTTILA, ERNAKULAM DISTT. KERALA",Groundwater,KERALA,2022,28.5,,7.35,495.0,1.4,5.96,3100.0,5150.0,,290.0,,0.004
1586,"WELL AT EDAYAR ERNAKULAM DISTT., KERALA",Groundwater,KERALA,2022,27.5,,6.15,302.5,1.25,1.83,790.0,2395.0,,190.5,,0.004
1587,"WELL AT KALAMASSERY ERNAKULAM DISTT. ,KERALA",Groundwater,KERALA,2022,27.0,,5.9,272.5,1.2,4.31,20.5,66.5,,152.0,,
1588,"WELL AT PUNKUNNAM TRISSUR DISTT. , KERALA",Groundwater,KERALA,2022,27.5,,7.3,200.5,1.6,9.35,250.0,490.0,,130.0,0.78,
1589,"WELL AT MALAPURAM , KERALA",Groundwater,KERALA,2022,22.0,,7.3,339.5,,2.4,38.5,91.5,,201.5,,0.003
1590,"WELL AT MAVOOR, KOZHIKKODE DISTT. , KERALA",Groundwater,KERALA,2022,28.0,,6.6,80.0,,,265.0,475.0,,47.0,,
1591,WELL AT KANNUR MUNICIPALITY KANNUR,Groundwater,KERALA,2022,28.0,,4.95,108.0,1.8,,130.0,300.0,,67.0,,
1592,"WELL AT PAYYANNUR, KANNUR DISTT. , KERALA",Groundwater,KERALA,2022,28.0,,6.65,187.0,1.4,,265.0,555.0,,120.0,,
2308,WELL AT FATHIMAPURAM (CHANGANASSERY),Groundwater,KERALA,2022,27.5,,6.55,159.5,1.9,1.46,150.0,400.0,,103.5,,0.012
2309,WELL AT KAROOR (PALA),Groundwater,KERALA,2022,25.5,,5.55,117.0,1.15,0.67,,175.0,,75.0,1.1,
2310,WELL AT VAIKOM,Groundwater,KERALA,2022,25.5,,5.45,202.5,1.4,,,200.0,,136.0,,
2311,WELL AT VADAVATHOOR (KOTTAYAM),Groundwater,KERALA,2022,26.5,,5.55,90.0,,1.655,250.0,760.0,,66.0,,0.001
2313,"WELL AT SARVODAPURAM, ALAPPUZHA",Groundwater,KERALA,2022,30.0,,7.3,195.0,1.95,,700.0,1800.0,,120.0,0.8,
2314,WELL AT KUREEPUZHA (KOLLAM),Groundwater,KERALA,2022,25.0,,6.8,243.0,1.3,36.24,40.0,75.0,,154.5,,
2315,WELL AT K.M.M.L. (KOLLAM),Groundwater,KERALA,2022,23.5,,7.75,329.5,1.65,3.81,35.5,100.5,,213.0,,
2316,WELL AT CHELLORA TRENCHING GROUND (KANNUR),Groundwater,KERALA,2022,27.0,,5.45,139.5,,,339.5,550.0,,83.5,,
2317,WELL AT PUNNALPETTIPPALAM,Groundwater,KERALA,2022,27.0,,6.65,237.5,,,70.0,225.0,,163.0,,0.004
2320,WELL AT MANJERI,Groundwater,KERALA,2022,22.0,,7.1,253.0,,1.7,32.0,115.5,,141.0,,0.001
2321,WELL AT LALOOR (THRISSUR),Groundwater,KERALA,2022,27.0,,7.45,164.0,1.75,5.38,,,,104.0,0.67,
2322,WELL AT OLLUR (THRISSUR),Groundwater,KERALA,2022,28.5,,6.7,132.5,1.35,6.38,,,,88.5,0.555,
2323,WELL AT BRAHMAPURAM M.S.W. DUMPARK,Groundwater,KERALA,2022,27.5,,6.25,177.0,1.45,0.57,247.0,965.0,,102.0,,
2324,WELL AT HAZARDOUS WASTE DUMP (AMBALAMUGAL BOREWELL),Groundwater,KERALA,2022,27.5,,5.35,105.0,,3.0,495.0,995.0,,65.0,,0.002
2327,WELL AT KARUKAMANI,Groundwater,KERALA,2022,27.5,,7.65,870.0,1.7,0.5,400.0,600.0,,553.5,0.48,0.008
3463,"WELL AT VELLIPARAMBA, KOZHEKODE",Groundwater,KERALA,2022,28.0,,6.2,98.5,,,220.0,355.5,,59.0,,
3472,"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",Groundwater,KERALA,2022,28.5,,6.3,325.0,1.6,,339.5,630.0,,212.5,,
3474,"WELL AT PAYANOOR, KANNUR",Groundwater,KERALA,2022,28.0,,7.05,114.5,2.45,,335.0,610.0,,70.0,,
3475,"WELL AT KARIMBAM, KANNUR",Groundwater,KERALA,2022,27.5,,5.2,92.5,1.9,,195.0,395.0,,56.0,,0.003
5219,"WELL AT SRI KIRATHAMOORTHY SIVA TEMPLE, KANJIKKODE, PALAKKAD",Groundwater,KERALA,2022,26.5,,7.1,119.5,,1.1,600.0,1400.0,,72.0,0.33,
5173,"RIVER PERUVAMBA AT ETTIKULAM, KANNUR",BEACH,KERALA,2022,,5.9,7.6,,3.7,,645.0,570.0,,,,
5174,"R. ANCHARAKKANDY AT MOIDUPALAM,DHARMADAM, KANNUR",BEACH,KERALA,2022,,6.1,7.15,,2.45,,505.0,800.0,,,,
5178,"KAVVAYI BACKWATERS AT KAVVAYI, PAYYANUR",BACKWATER,KERALA,2022,,6.45,7.95,,3.6,,560.0,520.0,,,,
5181,"BEACH AT VARKALA PAPANASAM, THIRUVANANTHAPURAM",BEACH,KERALA,2022,,4.3,7.2,5.0,4.15,,3850.0,1800.0,,,,
5194,"KMML CHAVARA, KOLLAM",BACKWATER,KERALA,2022,,5.0,8.15,,,,855.0,1200.0,,,,
1579,"ALAPPUZHA, KERALA",Pond/Tank,KERALA,2022,,29.0,5.7,7.1,1152.5,1.9,0.3,601.0,1750.0,,,
1578,"KAYAMKULAM, KERALA",Pond/Tank,KERALA,2022,,29.5,5.35,7.45,6108.5,2.95,0.49,401.0,751.0,,,
5182,"KOCHI LAKE AT GOSHREE BRIDGE, KOCHI",Pond/Tank,KERALA,2022,,,5.55,8.35,,2.65,,2605.0,,,,
5184,"KOCHI LAKE NEAR THOPUMPADY, KOCHI",Pond/Tank,KERALA,2022,,,5.1,8.25,,1.7,,9250.0,,,,
1574,"PARAVUR, KERALA",Pond/Tank,KERALA,2022,,24.5,6.45,7.05,21226.5,2.0,13.5,215.0,740.0,,,
5244,"MADHUR BRIDGE NEAR MADHUR SRI SIDHIVINAYAKA TEMPLE, KASARAGOD",River,KERALA,2022,28.0,6.3,7.1,111.0,1.8,0.355,148.0,535.0,35.0,,,
5177,"AZHEEKAL PORT, AZHEEKODE,KANNUR",River,KERALA,2022,,5.2,7.65,,2.1,,560.0,800.0,,,,
5193,"AZHIKODE FERRY, KODUNGALLUR,THRISSUR",River,KERALA,2022,,4.45,7.5,,3.7,,401.0,200.0,,,,
5192,"BEYPORE PORT, KOZHIKODE",River,KERALA,2022,,6.65,7.3,,1.9,,2270.0,,,,,
5245,"MANJESHWAR RIVER AT BANGRA-MANJESHWAR BRIDGE,HOSDURG, KASARAGOD",River,KERALA,2022,28.0,5.45,7.2,27031.0,1.7,0.38,142.0,660.0,40.0,,,
2318,"PAZHASSI RESERVOIR, KANNUR",River,KERALA,2022,28.5,5.8,4.9,63.5,1.9,0.32,255.0,435.5,25.0,,,
2319,RIVER ANCHARAKANDY AT ANCHARAKANDY,River,KERALA,2022,29.5,6.85,4.6,1780.0,1.85,0.5,175.0,390.5,20.0,,,
3466,RIVER ACHANKOVIL AT PANDALAM,River,KERALA,2022,25.0,6.4,7.3,185.0,2.4,0.5,155.0,350240.0,2.0,,,
1443,"RIVER ACHANKOVIL AT CHENNITHALA, ALAPPUZHA",River,KERALA,2022,24.5,6.3,7.45,282.5,1.55,0.95,174.0,475.0,81.0,,,
3465,"RIVER ACHANKOVIL AT KALLARAKADAVU, PATHANAMTHITTA",River,KERALA,2022,23.5,5.7,7.3,195.0,1.95,0.375,205.0,765.0,16.0,,,
1342,RIVER ACHANKOVIL AT THUMPAMON,River,KERALA,2022,24.5,6.3,7.4,198.0,1.7,3.45,240.0,970.0,2.0,,,
2297,RIVER ANCHARAKANDY AT MERUVAMBAYI,River,KERALA,2022,28.5,6.15,6.95,76.0,2.0,0.315,80.0,169.5,29.5,,,
2286,RIVER AYIROOR AT AYIROOR BRIDGE,River,KERALA,2022,26.5,6.6,7.0,166.0,2.1,0.3,1155.0,1600.0,2.0,,,
2331,RIVER BHARATHAPUZHA AT KUTTIPPURAM,River,KERALA,2022,29.5,6.65,7.3,207.0,1.55,0.35,901.0,1800.0,156.0,,,
2332,RIVER BHARATHAPUZHA AT PATTAMBI,River,KERALA,2022,29.0,6.85,7.3,295.0,1.6,0.855,455.0,1350.0,131.0,,,
1154,"RIVER CHALAKUDY AT PULIKKAKADAVU, THRISSUR",River,KERALA,2022,29.5,7.15,7.05,103.5,1.6,0.455,1092.0,2285.0,205.0,,,
21,RIVER CHALIYAR AT CHUNGAPALLY,River,KERALA,2022,27.5,7.45,7.05,6029.5,1.0,0.415,3700.0,4660.0,121.0,,,
20,RIVER CHALIYAR AT KOOLIMADU,River,KERALA,2022,28.0,7.25,7.15,65.0,1.0,0.3,2000.0,20155.0,201.0,,,
3464,"RIVER CHALIYAR AT NILAMBUR, MALAPPURAM",River,KERALA,2022,27.5,8.4,7.35,78.0,1.0,0.315,2900.0,3800.0,250.0,,,
1573,"RIVER CHITHRAPUZHA AT IRUMPANAM, KERALA",River,KERALA,2022,28.0,4.05,7.1,1395.0,2.6,3.34,3420.0,9500.0,430.0,,,
5215,"RIVER CHITTURPUZHA AT CHITTUR BRIDGE, PALAKKAD",River,KERALA,2022,29.5,6.95,7.65,409.5,1.45,0.34,250.0,1005.0,151.0,,,
2287,RIVER ITHIKKARA AT ITHIKKARA,River,KERALA,2022,26.0,6.5,7.4,11076.5,2.35,5.2,210.0,760.0,25.0,,,
1564,RIVER ITHIKKARA KERALA,River,KERALA,2022,24.5,7.25,7.4,215.0,1.7,2.15,155.0,730.0,2.0,,,
2293,RIVER KADALUNDI AT HAJIRAPPALLY,River,KERALA,2022,22.0,7.15,7.5,131.0,1.45,0.555,75.0,165.5,26.0,,,
2337,RIVER KADAMBRAYAR AT BRAHMAPURAM,River,KERALA,2022,27.5,3.15,7.3,170.0,2.65,0.475,6542.0,13085.0,235.0,,,
2338,RIVER KADAMBRAYAR AT MANCKAKADAVU,River,KERALA,2022,28.0,4.55,6.85,268.0,2.45,3.92,2465.0,3500.0,451.5,,,
5203,"RIVER KALLADA AT MUNDROTHURUTH, KOLLAM",River,KERALA,2022,25.0,6.15,7.45,28243.0,2.05,25.65,210.0,1040.0,16.5,,,
5202,"RIVER KALLADA AT KULATHUPUZHA, KOLLAM",River,KERALA,2022,25.0,6.7,7.45,348.0,1.6,1.0,255.0,915.0,56.0,,,
42,"RIVER KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR",River,KERALA,2022,25.0,6.55,7.55,222.5,1.25,3.05,240.0,820.0,2.0,,,
2294,"RIVER KALLAYI AT KALLAYI BRIDGE, KOZHIKODE",River,KERALA,2022,28.0,5.25,7.4,24849.5,3.1,1.11,44000.0,49000.0,1300.0,,,
5225,"RIVER KALLAYI AT KOTHI BRIDGE, KOZHIKODE",River,KERALA,2022,29.0,6.15,7.5,25602.0,2.0,1.7,35050.0,40745.0,351.0,,,
5224,"RIVER KALLAYI AT MOORIYADU, KOZHIKODE",River,KERALA,2022,29.5,5.45,7.35,21418.0,2.0,1.64,400000.0,477500.0,6200.0,,,
3460,"RIVER KALPATHI PUZHA AT KALPATHI, PALAKKAD",River,KERALA,2022,28.5,6.0,7.65,485.0,1.95,0.48,406.0,2100.0,51.0,,,
5176,RIVER KANAMPUZHA IN KANNUR MUNCIPALITY,River,KERALA,2022,,6.05,7.35,,2.95,,620.0,490.0,,,,
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",River,KERALA,2022,26.5,7.1,6.4,107.5,1.8,0.3,400.0,800.0,2.0,,,
1155,"RIVER KARAMANA AT MOONNATTUMUKKU, KERALA",River,KERALA,2022,26.5,3.65,6.55,557.0,5.05,1.15,9950.0,37500.0,2.0,,,
5196,"RIVER KARAMANA AT PEPPARA UPSTREAM, PEPPARA DAM, THIRUVANANTHAPURAM",River,KERALA,2022,26.5,6.45,6.75,57.5,1.4,0.3,150.0,555.0,2.0,,,
5195,"RIVER KARAMANA AT THIRUVALLOM, THIRUVANANTHAPURAM",River,KERALA,2022,26.5,4.3,6.7,529.0,4.7,0.3,2850.0,4300.0,2.0,,,
3458,RIVER KARAPUZHA DAM AT WAYANAD,River,KERALA,2022,26.5,7.4,7.05,101.5,1.25,0.3,18.0,48.0,25.5,,,
2289,RIVER KARUVANNURR AT KARUVANNUR BRIDGE,River,KERALA,2022,26.5,6.8,7.3,98.5,1.7,1.84,269.5,600.0,16.5,,,
2301,RIVER KAVVAI AT KUTTIYOL PALAM,River,KERALA,2022,29.0,5.8,4.7,219.5,1.75,0.3,170.5,350.0,15.0,,,
2295,RIVER KORAPUZHA AT KANAYANKODE,River,KERALA,2022,27.5,6.7,7.05,19054.0,1.15,0.7,1220.0,1500.0,66.0,,,
2326,"RIVER KORAYAR NEAR NARAGAMPALLY BRIDGE AT KANJIKODE, PALAKKAD",River,KERALA,2022,29.0,4.0,7.8,831.0,1.8,0.755,351.0,1100.0,41.5,,,
2298,RIVER KUPPAM AT RAYAROM,River,KERALA,2022,30.0,5.65,6.65,72.5,1.35,0.3,320.0,495.5,29.5,,,
5234,"RIVER KUPPAM AT UROOTERI, KANNUR",River,KERALA,2022,29.5,6.6,6.95,80.5,1.5,0.31,95.0,194.5,10.0,,,
1569,"RIVER KUPPAM THALIPARAMBA, KERALA",River,KERALA,2022,28.0,5.75,6.6,19735.5,1.9,0.39,270.0,555.0,35.0,,,
1567,"RIVER KUTTIYADY ESTATE, KERALA",River,KERALA,2022,27.5,8.55,6.6,27.5,1.0,0.3,1095.5,2290.0,51.0,,,
1568,"RIVER MAHE AT VALAYAM, KOZHIKODE",River,KERALA,2022,27.5,8.05,6.75,53.0,1.0,0.3,3805.0,4000.0,51.0,,,
2285,RIVER MAMOM AT MAMOM BRIDGE,River,KERALA,2022,26.5,7.45,6.7,112.5,2.2,0.3,950.0,1795.0,2.0,,,
1340,"RIVER MANIMALA AT KALLOOPARA, KERALA",River,KERALA,2022,29.0,7.3,7.35,163.0,2.9,0.33,601.0,1001.0,156.0,,,
1384,"RIVER MANIMALA AT THONDRA, KERALA",River,KERALA,2022,29.0,7.05,7.05,193.0,1.95,0.375,401.0,851.0,101.0,,,
3459,"RIVER MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",River,KERALA,2022,25.0,6.8,7.15,99.0,1.2,0.605,36.5,77.0,21.0,,,
2307,RIVER MANJESWARAM AT BAJRAKKARA BR.,River,KERALA,2022,27.5,7.1,7.2,127.5,1.65,0.3,113.0,365.0,25.5,,,
1339,"RIVER MEENACHIL AT KIDANGOOR, KOTTAYAM",River,KERALA,2022,28.0,7.0,6.3,55.0,1.05,0.72,171.0,774.5,2.0,,,
2304,RIVER MOGRAL AT MOGRAL BR.,River,KERALA,2022,28.0,4.95,6.95,26193.5,1.65,0.365,140.0,510.0,30.0,,,
43,RIVER MUVATTAPUZHA AT VETTIKKATTUMUKKU,River,KERALA,2022,28.0,7.8,6.1,54.5,1.1,0.39,201.0,501.0,12.0,,,
5211,"RIVER MUVATTUPUZHA AT PERUVAMMUZHI BRIDGE, ERNAKULAM",River,KERALA,2022,28.5,7.5,6.3,69.0,5.6,0.405,25.5,43.5,171.0,,,
1563,RIVER NEYYAR AT AMARAVILA,River,KERALA,2022,27.0,5.95,6.9,94.0,1.75,0.3,950.0,1500.0,2.0,,,
2284,RIVER NEYYAR AT ARUVIPURAM,River,KERALA,2022,26.5,6.65,6.85,99.5,1.7,0.3,1100.0,1795.0,2.0,,,
2288,RIVER PALLICKAL AT NELLIMUKAL,River,KERALA,2022,23.5,6.95,7.25,184.0,1.95,0.625,165.0,750.0,2.0,,,
5207,"RIVER PAMBA AT VEEYAPURAM, ALAPPUZHA",River,KERALA,2022,29.5,5.95,7.0,190.5,2.65,0.31,501.0,1101.0,201.0,,,
1156,"RIVER PAMBA AT CHENGANNUR, ALAPPUZHA",River,KERALA,2022,28.0,6.3,6.35,50.0,1.0,0.46,125.0,365.0,2.0,,,
5205,"RIVER PAMBA AT MUNNAR, PATHANAMTHITTA",River,KERALA,2022,28.0,5.5,6.4,66.5,1.2,0.33,90.0,330.0,2.0,,,
1341,"RIVER PAMBA AT THAKAZHY, KERALA",River,KERALA,2022,28.0,5.55,6.45,70.0,1.25,0.305,79.0,245.0,2.0,,,
10016,RIVER PAMBA U/S,River,KERALA,2022,26.5,6.75,6.95,59.0,1.0,0.365,257.0,790.0,6.0,,,
10017,RIVER PAMBA D/S,River,KERALA,2022,27.0,6.55,6.7,64.5,1.0,0.64,1060.0,3090.0,30.0,,,
1565,"RIVER PAMBA DOWN, KERALA",River,KERALA,2022,28.0,5.3,6.3,61.5,1.3,0.365,105.0,310.0,11.0,,,
5191,"RIVER PAMBA NEAR THOTTAPPALLY HARBOUR, ALAPPUZHA",River,KERALA,2022,,5.85,7.5,,,,501.0,1600.0,,,,
5209,"RIVER PERIYAR AT PANAMKUTTY BRIDGE, IDUKKI",River,KERALA,2022,25.5,7.7,7.1,82.0,1.95,0.48,1350.0,2800.0,406.0,,,
17,RIVER PERIYAR AT ALUVA- ELOOR,River,KERALA,2022,27.5,5.15,7.5,7892.5,1.65,0.505,3745.0,4500.0,674.0,,,
18,RIVER PERIYAR AT KALADY,River,KERALA,2022,29.0,7.6,7.0,43.0,1.4,0.38,2555.0,3750.0,428.5,,,
2335,RIVER PERIYAR AT KALAMASSERY,River,KERALA,2022,27.5,6.6,7.95,61.5,1.7,0.3,4835.0,6250.0,816.0,,,
3468,"RIVER PERIYAR AT KWA INTAKE, ALUVA",River,KERALA,2022,28.5,7.1,7.2,65.0,1.45,0.435,2050.0,3055.0,323.5,,,
2333,RIVER PERIYAR AT MUPPATHADAM,River,KERALA,2022,27.5,6.55,8.05,64.5,1.45,0.385,2205.0,4450.0,770.0,,,
2334,RIVER PERIYAR AT PATHALAM,River,KERALA,2022,27.0,6.45,7.95,10051.5,1.8,1.79,3600.0,75135.0,535.0,,,
2336,RIVER PERIYAR AT PURAPPALLIKADAVU,River,KERALA,2022,27.0,7.0,7.8,12017.5,1.25,0.47,2931.5,3610.0,327.0,,,
