stn_code,monitoring_location,water_body_type,state,year,temperature_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
,1593,Groundwater,LAKSHADWEEP,2018,,,,29.0,18.65,612.85,1619.0,,,
,1594,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.35,1028.8,2190.0,,,
,1595,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.3,524.75,1206.0,,,
,1596,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.35,806.85,1810.0,,,
,1597,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.55,420.05,833.0,,,
,1598,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.35,399.85,836.0,,,
,1599,Groundwater,LAKSHADWEEP,2018,,,,29.0,18.15,522.3,1078.0,,,
,1600,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.1,588.25,1250.0,,,
,1601,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.95,740.7,2420.0,,,
,1602,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.4,556.75,1220.0,,,
,1603,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.8,1553.6,5030.0,,,
,1604,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.85,3003.45,7460.0,,,
,1605,Groundwater,LAKSHADWEEP,2018,,,,29.0,18.9,854.15,2370.0,,,
,1606,Groundwater,LAKSHADWEEP,2018,,,,30.0,18.95,476.35,1080.0,,,
