stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1606,WELL (PUBLIC )OPPOSITE S.B.SCHOOL,Groundwater,LAKSHADWEEP,2021,28.5,,7.3,714.0,,,,,,478.0,,
1600,WELL C/O ANDAM PALLI,Groundwater,LAKSHADWEEP,2021,29.3,,7.1,877.0,,,,,,588.0,,
4575,WELL C/O BEEREADAM,Groundwater,LAKSHADWEEP,2021,29.45,,6.85,974.0,,,,,,633.5,,
4564,WELL C/O BELAVILATHA PALLI,Groundwater,LAKSHADWEEP,2021,30.5,,6.8,1379.5,,,,,,897.0,,
1601,WELL C/O CIRCUIT HOUSE,Groundwater,LAKSHADWEEP,2021,29.0,,7.2,937.0,,,,,,628.0,,
4570,WELL C/O FRIENDS COMMON CLUB,Groundwater,LAKSHADWEEP,2021,30.4,,7.3,1356.0,,,,,,881.5,,
1602,"WELL C/O GOVT. PRESS,",Groundwater,LAKSHADWEEP,2021,29.05,,7.5,781.0,,,,,,523.5,,
4552,WELL C/O HIGH SCHOOL,Groundwater,LAKSHADWEEP,2021,29.55,,7.25,1097.0,,,,,,735.0,,
4576,WELL C/O HUSSAIN MANZIL,Groundwater,LAKSHADWEEP,2021,30.65,,6.8,675.0,,,,,,439.0,,
4554,WELL C/O I.G HOSPITAL,Groundwater,LAKSHADWEEP,2021,29.0,,7.2,861.0,,,,,,577.0,,
4553,WELL C/O J.B. SCHOOL (N),Groundwater,LAKSHADWEEP,2021,27.0,,7.4,802.0,,,,,,537.0,,
4562,WELL C/O JBS (C ),Groundwater,LAKSHADWEEP,2021,29.6,,7.35,1089.0,,,,,,708.0,,
1596,WELL C/O KADAT PALLI,Groundwater,LAKSHADWEEP,2021,28.8,,7.2,715.0,,,,,,479.0,,
4550,WELL C/O KENDRIYA VIDYALAYA,Groundwater,LAKSHADWEEP,2021,29.9,,7.5,1126.5,,,,,,754.5,,
4565,WELL C/O LAGOONS BATH,Groundwater,LAKSHADWEEP,2021,30.4,,6.6,860.0,,,,,,559.0,,
4569,WELL C/O MANDALI,Groundwater,LAKSHADWEEP,2021,30.65,,7.5,1613.5,,,,,,1049.0,,
4574,WELL C/O MOULA PALL,Groundwater,LAKSHADWEEP,2021,29.9,,7.1,609.5,,,,,,396.5,,
1604,WELL C/O MPSAF QUARTER,Groundwater,LAKSHADWEEP,2021,29.7,,7.2,2595.0,,,,,,685.0,,
4563,WELL C/O NURSERY SCHOOL,Groundwater,LAKSHADWEEP,2021,30.55,,6.45,860.0,,,,,,559.5,,
4572,WELL C/O OBSERVATORY,Groundwater,LAKSHADWEEP,2021,30.1,,7.45,1043.5,,,,,,678.0,,
1603,"WELL C/O OLD POLICE BARRACKS,",Groundwater,LAKSHADWEEP,2021,30.0,,7.25,1514.5,,,,,,894.5,,
