stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
52,"WELL, SHRI RAO PRAJAPATI WELL",Groundwater,MADHYA PRADESH,2016,25.5,,8.25,219.0,1.925,0.235,375.0,1165.0,,,,
1616,"OPEN WELL/TUBE WELL INDUSTRIAL AREA, GOVINDPURA",Groundwater,MADHYA PRADESH,2016,,,8.1,348.0,1.2,0.0,,130.0,,,,
1617,"OPEN WELL/TUBE WELL INDUSTRIAL AREA MANDIDEEP, DIS",Groundwater,MADHYA PRADESH,2016,,,7.6,346.0,0.8,0.0,,34.0,,,,
1618,GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL,Groundwater,MADHYA PRADESH,2016,25.0,,7.35,902.5,1.3,0.6,,,,,,
1619,GROUND WATER SAMPLING AT TWO POINTS IN INDUSTRIAL,Groundwater,MADHYA PRADESH,2016,28.0,,7.55,905.0,1.0,2.05,,,,,,
1897,"TUBE WELL AT JAINABAD, NEAR TAPTI RIVER BRIDGE, PUMPING STN. BURHANPUR",Groundwater,MADHYA PRADESH,2016,26.5,,8.15,832.05,0.8,1.65,,3.65,,,,
2143,"KATHODA, JABALPUR",Groundwater,MADHYA PRADESH,2016,20.0,,7.6,452.0,,0.1,,,,,,
2144,"MADAI GRAM, JABALPUR",Groundwater,MADHYA PRADESH,2016,26.0,,7.5,443.0,,0.1,,,,,,
2145,"MEHATWAS, NAGDA",Groundwater,MADHYA PRADESH,2016,25.0,,7.75,2967.0,1.5,5.65,,,,,,
2146,"BHAGATPURI VILLAGE, NAGDA",Groundwater,MADHYA PRADESH,2016,25.0,,7.65,1095.0,1.4,2.6,,,,,,
2148,"DOSIGAON, RATLAM",Groundwater,MADHYA PRADESH,2016,31.0,,7.9,2700.0,1.8,3.0,,,,,,
2149,"CULVERT ON A.B. ROAD, MAKSI",Groundwater,MADHYA PRADESH,2016,31.0,,7.95,1880.0,1.5,5.55,,,,,,
2150,"TRENCHING GROUND, NEAR GARDEN, DEV GURADIYA ROAD, INDORE",Groundwater,MADHYA PRADESH,2016,26.0,,7.55,877.0,1.0,2.55,,5.25,,,,
2151,"TRENCHING GROUND IN THE PREMISES OF M/S RISHABH MASALA UDYOG, INDORE",Groundwater,MADHYA PRADESH,2016,26.0,,7.4,2668.5,1.7,11.25,,10.6,,,,
2152,"TRENCHING GROUND IN THE PREMISES OF M/S LAKHANI FOOT WEAR, INDORE",Groundwater,MADHYA PRADESH,2016,26.0,,7.3,2496.0,1.5,9.0,,5.25,,,,
2153,"IBRAHIMGANJ NEAR BUS STAND, BHOPAL",Groundwater,MADHYA PRADESH,2016,,,8.4,296.0,1.3,0.0,,130.0,,,,
3332,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA, DEWAS",Groundwater,MADHYA PRADESH,2016,,,7.45,2460.0,2.0,5.95,,,,,,
3333,"HAND PUMP WATER AT BANSKHEDI, BHOPAL",Groundwater,MADHYA PRADESH,2016,,,7.9,274.0,1.4,0.0,,110.0,,,,
3334,TUBE WELL NEAR BUS STAND AT BETUL,Groundwater,MADHYA PRADESH,2016,,,7.9,433.0,1.1,0.0,,90.0,,,,
3335,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA RECHHAI, J",Groundwater,MADHYA PRADESH,2016,22.0,,7.25,482.0,1.0,0.35,,,,,,
3336,"TUBE WELL/ HAND PUMP AT INDUSTRIAL AREA, CHHINDWAR",Groundwater,MADHYA PRADESH,2016,20.0,,7.5,588.0,1.2,1.1,0.0,39.0,,,,
3337,TUBE WELL/ HAND PUMP AT INDL,Groundwater,MADHYA PRADESH,2016,23.0,,7.5,575.0,,0.15,,,,,,
3338,"HAND PUMP NEAR PANCHAYAT BHAWAN, VILLAGE TINAWALI",Groundwater,MADHYA PRADESH,2016,25.5,,7.1,551.0,1.05,1.15,,,,,,
3339,"TUBE WELL/ HAND PUMP NEAR MANGLIA INDUSTRIAL AREA , INDORE",Groundwater,MADHYA PRADESH,2016,27.5,,7.4,1365.0,1.15,3.7,,145.0,,,,
3340,"TUBE WELL AT NEAR TRENCHING GROUND, INDORE",Groundwater,MADHYA PRADESH,2016,29.0,,7.4,1646.0,1.1,2.5,,3.6,,,,
3341,"TUBE WELL AT SECTOR-III, PITHAMPUR INDUSTRIAL AREA",Groundwater,MADHYA PRADESH,2016,26.5,,7.85,1655.5,0.9,4.6,,6.05,,,,
3342,"BOREWELL WATER AT VILLAGE TARPUR, SECTOR-II, PITHAMPUR, IDUSTRIAL AREA",Groundwater,MADHYA PRADESH,2016,26.5,,7.5,1633.0,1.3,1.55,,5.2,,,,
3343,"TUBE WELL NEAR INDUSTRIAL AREA UDYOG VIHAR , CHURAT, REWA",Groundwater,MADHYA PRADESH,2016,30.0,,7.1,712.0,1.2,4.1,2.0,7.0,,,,
3344,"TUBEWELL AT INDL AREA, SHAHDOL",Groundwater,MADHYA PRADESH,2016,24.9,,7.5,788.3,0.55,2.6,,3.0,,,,
1373,"UPPER LAKE AT BHOPAL (INTAKE POINT), M.P.",Pond/Tank,MADHYA PRADESH,2016,,,7.8,7.7,264.5,2.05,0.95,27.0,100.0,,,
1374,LOWER LAKE AT BHOPAL OUTLET M.P.,Pond/Tank,MADHYA PRADESH,2016,,,6.2,8.25,248.0,8.6,2.95,175.0,1250.0,,,
1466,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL- AMRAVATI,Pond/Tank,MADHYA PRADESH,2016,,,10.8,8.05,244.0,1.95,0.1,,90.0,,,
2128,KHANDARI RESERVOIR WATER OFF TAKE POINT,Pond/Tank,MADHYA PRADESH,2016,,21.5,7.5,7.75,655.5,2.3,0.75,7.0,54.0,,,
2129,PERIAT TANK JABALPUR,Pond/Tank,MADHYA PRADESH,2016,,22.0,6.95,7.85,370.0,1.9,2.2,20.25,85.5,,,
2130,MADHAV LAKE SHIVPURI,Pond/Tank,MADHYA PRADESH,2016,,27.0,7.15,7.65,681.0,2.2,0.0,,,,,
2131,YASHWANT SAGAR AT INDORE,Pond/Tank,MADHYA PRADESH,2016,,25.5,6.95,7.55,510.0,1.35,1.3,2.0,126.5,,,
2132,BILAWALI TALAB AT INDORE,Pond/Tank,MADHYA PRADESH,2016,,26.0,7.1,7.9,392.0,1.4,1.25,,130.0,,,
2133,SIRPUR TALAB AT INDORE,Pond/Tank,MADHYA PRADESH,2016,,25.5,7.05,8.25,409.0,1.25,1.35,,125.0,,,
2134,NAGCHUN TALAB AT KHANDWA,Pond/Tank,MADHYA PRADESH,2016,,25.5,6.9,8.1,305.5,1.35,1.05,,87.0,,,
2135,GOVINDGARH TANK,Pond/Tank,MADHYA PRADESH,2016,,26.0,6.8,7.55,552.0,1.55,2.4,15.5,38.0,,,
2136,"SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL, BHOP",Pond/Tank,MADHYA PRADESH,2016,,,5.85,8.05,754.5,8.4,2.3,180.0,1600.0,,,
2137,UPPER LAKE AT YATCH CLUB,Pond/Tank,MADHYA PRADESH,2016,,,7.7,7.6,252.5,1.8,0.65,25.0,85.0,,,
2138,UPPER LAKE AT KARBALA CLUB,Pond/Tank,MADHYA PRADESH,2016,,,5.15,7.85,271.0,10.45,0.75,25.0,115.0,,,
2139,UPPER LAKE AT BAIRAGARH CLUB,Pond/Tank,MADHYA PRADESH,2016,,,7.65,7.7,245.5,2.15,0.85,22.0,95.0,,,
2140,"KERWA DAM NEAR REST HOUSE, BPL",Pond/Tank,MADHYA PRADESH,2016,,,7.85,8.25,261.5,1.8,0.55,,79.5,,,
2141,JANUNIA TALAB NEAR W/S,Pond/Tank,MADHYA PRADESH,2016,,,6.7,7.9,593.5,22.05,0.6,8.0,165.0,,,
3296,CHORAL DAM NEAR INDORE,Pond/Tank,MADHYA PRADESH,2016,,25.0,7.4,8.1,310.0,1.1,1.75,,60.0,,,
3297,"MITHA TALAB, DEWAS",Pond/Tank,MADHYA PRADESH,2016,,26.1,6.0,8.25,638.0,6.4,2.0,26.5,505.0,,,
3298,POND WATER AT LAKODA,Pond/Tank,MADHYA PRADESH,2016,,25.5,7.3,7.95,462.0,2.45,1.5,26.0,205.0,,,
3299,HANUMANTAL JABALPUR,Pond/Tank,MADHYA PRADESH,2016,,24.0,7.15,7.7,820.5,3.15,1.85,1.4,66.5,,,
3300,"RANITAL TALAB, JABALPUR",Pond/Tank,MADHYA PRADESH,2016,,24.0,6.5,7.25,697.5,4.7,2.6,11.7,38.0,,,
3301,MOTI TALAB AT BALAGHAT,Pond/Tank,MADHYA PRADESH,2016,,24.0,6.3,7.9,709.5,5.65,1.2,17.7,55.5,,,
3302,"PIPLIYA PALA TALAB, INDORE",Pond/Tank,MADHYA PRADESH,2016,,25.5,7.05,8.1,514.5,1.85,2.55,,130.0,,,
3303,"RANI TALAB, REWA",Pond/Tank,MADHYA PRADESH,2016,,25.0,6.65,7.4,435.5,1.7,2.4,4.0,35.5,,,
3304,"RIHAND RESRVOIR, SINGRAULI",Pond/Tank,MADHYA PRADESH,2016,,26.0,7.2,7.35,419.0,2.25,3.55,3.0,144.1,,,
2107,BETWA U/S BEENA,River,MADHYA PRADESH,2016,27.5,43.7,8.2,320.0,1.65,2.95,,7.0,,,,
2108,BETWA D/S BEENA,River,MADHYA PRADESH,2016,26.5,7.4,8.2,292.0,1.7,2.2,,8.5,,,,
2119,"BETWA AT NAYAPUR D/S MANDIDEEP INDL. AREA NO.1, DISTRICT RAISEN",River,MADHYA PRADESH,2016,,6.65,7.3,3390.0,11.1,0.05,175.0,905.0,,,,
2121,"BETWA NEAR ROAD BRIDGE, BHOJPUR",River,MADHYA PRADESH,2016,,7.25,7.95,423.5,2.15,1.3,,120.0,,,,
2122,BETWA NEAR W/S INTAKE WELL POINT RAISEN,River,MADHYA PRADESH,2016,,7.7,7.9,840.5,1.6,0.1,,95.0,,,,
1614,"BETWA NEAR INTAKE POINT, VIDISHA",River,MADHYA PRADESH,2016,,7.45,8.0,425.0,1.9,1.05,,76.0,,,,
2124,"BETWA AT CHARANTIRGHAT, VIDISHA",River,MADHYA PRADESH,2016,,7.1,8.1,536.0,2.9,1.8,,140.0,,,,
2125,BETWA D/S AFTER MIXING OF BAIS AT VIDISHA,River,MADHYA PRADESH,2016,,7.45,8.05,485.0,2.45,0.15,,105.0,,,,
2120,"KALIASOT NEAR ROAD BRIDGE, MANDIDEEP",River,MADHYA PRADESH,2016,,6.95,7.65,627.25,2.25,2.15,12.0,165.0,,,,
1142,SONE AT CHACHAI,River,MADHYA PRADESH,2016,24.0,7.45,7.75,376.0,1.55,0.8,,48.5,,,,
1371,SONE AT AMLAI,River,MADHYA PRADESH,2016,24.5,7.35,7.7,386.0,1.55,0.85,,48.0,,,,
1610,SONE AT ORIGINE AMARKANTAK,River,MADHYA PRADESH,2016,24.0,6.55,7.3,155.5,1.05,1.0,,16.0,,,,
3327,"SONE AT AMLAI, 100 METRE D/S AFTER MIXING OF ATPS",River,MADHYA PRADESH,2016,24.5,3.5,7.4,985.0,6.8,1.75,3.0,270.0,,,,
1612,SONE AT DEVLOAD OUT- LET OF BANSAGAR DAM,River,MADHYA PRADESH,2016,24.5,7.85,7.8,346.65,1.3,0.55,,56.0,,,,
3309,"CHAMBAL AT TAL VILLAGE NEAR BRIDGE, UJJAIN",River,MADHYA PRADESH,2016,26.5,7.35,7.95,1005.0,3.8,2.5,303.0,820.0,,,,
3310,"CHAMLA AT W/S INTAKE POINT BADNAGAR, UJJAIN",River,MADHYA PRADESH,2016,25.0,7.05,8.05,809.5,2.9,1.95,12.5,275.0,,,,
1365,CHAMBAL AT NAGDA U/S (WATER INTAKE POINT),River,MADHYA PRADESH,2016,26.0,7.3,7.9,550.0,1.95,1.6,23.5,153.5,,,,
1366,CHAMBAL D/S NAGDA,River,MADHYA PRADESH,2016,25.0,6.8,7.85,9773.5,29.45,3.85,835.0,1050.0,,,,
1418,"CHAMBAL AT GANDHI SAGAR DAM, RAMPURA",River,MADHYA PRADESH,2016,27.5,7.55,7.8,417.0,1.9,1.05,13.0,130.0,,,,
1609,CHAMBAL AT DHOLPUR,River,MADHYA PRADESH,2016,25.0,8.1,7.85,647.5,1.8,1.4,,,,,,
1615,PARVATI NEAR INTAKE POINT PILLUKHEDI DISTT. RAJGARH,River,MADHYA PRADESH,2016,22.0,7.8,7.35,513.5,2.2,0.0,,,,,,
2126,"PARVATI A/C OF VINDHYACHAL NALLA, PILUKHEDI",River,MADHYA PRADESH,2016,25.0,7.45,7.5,488.0,2.35,0.6,16.0,156.5,,,,
1607,"GOHAD DAM, GOHAD",River,MADHYA PRADESH,2016,25.5,6.15,8.05,779.0,3.55,1.4,,,,,,
1367,KHAN AT KABIT KHEDI (NEAR INDORE),River,MADHYA PRADESH,2016,25.5,3.65,7.6,1258.0,29.0,12.55,473.5,1250.0,,,,
1369,KSHIPRA AT RAMGHAT AT UJJAIN,River,MADHYA PRADESH,2016,26.0,5.15,7.9,1087.0,9.3,3.45,540.0,1600.0,,,,
1370,KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM),River,MADHYA PRADESH,2016,24.0,5.9,8.2,940.5,7.85,2.7,451.5,975.0,,,,
1468,KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN,River,MADHYA PRADESH,2016,26.5,5.65,7.9,1046.0,22.0,3.6,625.0,,,,,
1608,SINDH AT DABRA,River,MADHYA PRADESH,2016,26.0,9.0,8.0,609.5,1.45,1.4,11.0,1211.0,,,,
2117,"BICHIA, BRIDGE GOVINDGARH ROAD",River,MADHYA PRADESH,2016,25.5,6.25,7.55,606.0,2.8,1.25,28.0,185.5,,,,
1433,SANKH AT TIGRA RESERVOIR,River,MADHYA PRADESH,2016,26.0,8.0,7.55,837.5,1.85,1.4,1100.0,,,,,
3308,"CHAMBAL AT JAWNPAWA, FROM ORIGIN POINT, INDORE",River,MADHYA PRADESH,2016,25.5,6.85,8.1,461.0,1.6,1.1,,125.0,,,,
1611,JOHILA NEAR NAROJABAD NEAR UMARIA ROAD BRIDGE,River,MADHYA PRADESH,2016,24.5,8.0,7.65,379.0,1.6,0.55,,43.0,,,,
2110,"KHAN AT SAKKAR KHADI, INDORE",River,MADHYA PRADESH,2016,25.5,4.4,7.6,1210.0,44.0,15.75,482.0,1050.0,,,,
2111,KHAN AT SANWER,River,MADHYA PRADESH,2016,25.0,4.7,7.75,951.0,15.0,7.95,66.75,950.0,,,,
1613,"KOLAR DAM WATER SUPPLY INTAKE WELL, DISTT. SEHORE,",River,MADHYA PRADESH,2016,,7.7,8.0,525.5,1.45,0.45,,82.0,,,,
3315,"KSHIPRA AT GAUGHAT, UJJAIN",River,MADHYA PRADESH,2016,26.5,7.25,7.9,967.5,6.3,2.0,253.0,813.5,,,,
3316,"KSHIPRA AT U/S OF MAHIDPUR CITY, UJJAIN",River,MADHYA PRADESH,2016,26.5,7.3,7.95,968.0,5.0,2.1,307.0,820.0,,,,
3317,"KSHIPRA AT W/S INTAKE POINT OF DEWAS, UJJAIN",River,MADHYA PRADESH,2016,24.5,6.85,8.05,656.0,2.75,1.45,16.5,195.0,,,,
1372,MANDAKINI AT CHITRAKUT,River,MADHYA PRADESH,2016,26.5,7.75,7.9,4.0,3.45,0.0,,2270.0,,,,
3311,"JAMUNI U/S BARIYAGHAT NEAR INTAKE POINT, TIKAMGARH",River,MADHYA PRADESH,2016,27.5,7.45,8.1,310.8,1.1,0.0,,14.5,,,,
3326,"SIMRAR AT KATNI NEAR ACC W/S INTAKE POINT, JABLAPUR",River,MADHYA PRADESH,2016,22.5,7.0,7.75,477.0,2.45,0.85,8.0,21.5,,,,
3319,"NEWAJ W/S INTAKE POINT, SHUJALPUR, UJJAIN",River,MADHYA PRADESH,2016,24.5,6.7,8.1,589.0,3.0,1.8,16.0,180.0,,,,
3328,"TONS AT MADHAVGARH, NEAR PHED W/S INTAKE POINT, SATNA",River,MADHYA PRADESH,2016,27.0,7.2,7.25,0.9,1.75,0.0,,103.0,,,,
3329,"TONS AT CHAKGHAT NEAR W/S PUMPING STATION, REWA",River,MADHYA PRADESH,2016,25.0,7.25,7.45,556.0,1.7,0.8,10.0,55.5,,,,
1143,TONS AT CHAKGHAT,River,MADHYA PRADESH,2016,25.0,6.9,7.65,728.5,2.0,1.75,19.5,166.5,,,,
1144,TONS AT MADHAVGARH,River,MADHYA PRADESH,2016,26.5,6.7,7.35,430.5,2.25,0.0,,97.0,,,,
1233,MAHI AT BADNAWAR,River,MADHYA PRADESH,2016,26.0,7.35,8.05,260.0,1.25,1.2,,95.0,,,,
3318,"MAHI AT RANISINGH VILLAGE, RATLAM, UJJAIN",River,MADHYA PRADESH,2016,25.0,8.15,7.9,456.0,2.15,1.55,8.5,165.0,,,,
2102,"SHIVNA AT RAMGHAT, MANDSAUR",River,MADHYA PRADESH,2016,27.0,7.3,8.0,597.5,2.15,1.9,8.0,200.0,,,,
2103,"JAMMER AT DHOLOWAD, RATLAM",River,MADHYA PRADESH,2016,25.0,7.45,8.0,392.5,2.1,1.9,5.5,100.0,,,,
2104,MALEI AT JAORA,River,MADHYA PRADESH,2016,24.5,6.8,8.15,949.5,2.85,2.3,453.0,870.0,,,,
2105,CHILLAR AT SHAJAPUR,River,MADHYA PRADESH,2016,25.5,6.1,8.1,450.5,2.35,1.2,27.0,195.0,,,,
1242,NARMADA NEAR SOURCE AT AMARKANTAK,River,MADHYA PRADESH,2016,24.0,8.1,7.55,198.1,1.25,0.3,,23.0,,,,
3321,"NARMADA AT AMARKANTAKE FROM ORIGIN POINT, REWA",River,MADHYA PRADESH,2016,24.5,8.55,7.65,351.7,1.35,0.5,,36.0,,,,
2118,NARMADA AT D/S OF KAPILDHARA,River,MADHYA PRADESH,2016,24.0,7.75,7.65,300.0,1.35,0.65,,43.5,,,,
1241,NARMADA AT MANDLA NEAR ROAD BDG,River,MADHYA PRADESH,2016,22.0,7.6,7.85,434.5,1.45,0.95,,33.5,,,,
3322,"NARMADA AT MANDLA, NEAR SHAMSHANGHAT, JABALPUR",River,MADHYA PRADESH,2016,22.0,7.6,7.8,433.0,1.5,0.85,,31.0,,,,
2099,"NARMADA LALPUR, JABALPUR",River,MADHYA PRADESH,2016,22.5,7.6,7.7,448.0,1.4,0.7,,28.0,,,,
3323,"NARMADA AT LALPUR, NEAR WATER SUPPLY INTAKE POINT, JABALPUR",River,MADHYA PRADESH,2016,24.5,7.55,7.75,473.0,1.75,1.1,,34.0,,,,
