stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3342,"Borewell Water At Village Tarpur, Sector-Ii, Pithampur, Industrial Area",Groundwater,MADHYA PRADESH,2021,Safe,2.79,None,21.5,,7.7,568.5,1.0,1.28,2.0,3.0,
4618,"Ground Water At Industrial Area, Maneri Distt Mandla",Groundwater,MADHYA PRADESH,2021,Safe,2.79,None,21.8,,7.3,498.0,1.0,0.4,2.0,10.0,
3838,"Ground Water Ncl, Jingurdha, Qshf-176 Metence Off, Dist Singrouli",Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,28.4,,7.3,526.0,,2.4,,,
3823,"Ground Water Near Bus Stand, Dist Balaghat",Groundwater,MADHYA PRADESH,2021,Safe,2.8,None,21.2,,7.3,418.0,1.0,0.3,2.0,14.0,
3825,"Ground Water Near Bus Stand, Dist Mandla",Groundwater,MADHYA PRADESH,2021,Safe,2.8,None,21.0,,7.35,616.5,1.0,0.35,2.0,17.0,
3822,"Ground Water Near Bus Stand, Dist Narsingpur",Groundwater,MADHYA PRADESH,2021,Safe,2.8,None,21.3,,7.3,438.0,1.0,0.6,2.0,13.0,
3826,"Ground Water Near Bus Stand, Dist Seoni",Groundwater,MADHYA PRADESH,2021,Safe,2.8,None,21.3,,7.3,394.5,1.0,0.45,2.0,15.0,
3844,Ground Water Near Commercial Auto Mobile,Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,28.65,,7.3,523.5,,3.05,,,
3843,"Ground Water Near Entrance Gage Of Vivekananad Statue, Nigahi, Singrouli",Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,26.6,,7.3,413.0,,3.9,,,
3839,"Ground Water Near Shiv Mandir, Amlori Ncl, Project Singrouli",Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,28.6,,7.4,536.5,,2.2,,,
3842,"Ground Water Near Sub Station Sector-B, Dudhichua Ncl Project, Singrouli",Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,26.5,,7.6,448.0,,4.1,,,
3840,"Ground Water Near Subjee Mandi Ncl Jayant (Beside Police Station), Singrouli",Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,28.25,,7.45,285.0,,2.05,,,
3837,"Ground Water Primary School Dhobi Ghat, Dist Singrouli",Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,27.4,,7.3,526.0,,2.4,,,
1618,"Ground Water Sampling At Two Points In Industrial Area Malanpur, M.P",Groundwater,MADHYA PRADESH,2021,Safe,0.03,None,26.0,,7.5,1500.0,,1.8,2.0,11.0,
1619,"Ground Water Sampling At Two Points In Industrial Area Malanpur, M.P",Groundwater,MADHYA PRADESH,2021,Safe,0.03,None,24.0,,7.9,1625.0,,0.8,2.0,12.0,
3841,"Ground Water Sarveswar Raja Colony Jayant, Singrouli",Groundwater,MADHYA PRADESH,2021,Safe,0.0,None,28.25,,7.55,429.0,,3.3,,,
3827,"Ground Water Vill Imalia, Dist Jabalpur",Groundwater,MADHYA PRADESH,2021,Safe,2.8,None,21.6,,7.3,420.0,1.0,0.3,2.0,14.0,
4625,Hand Pump District Hospita Bhopal,Groundwater,MADHYA PRADESH,2021,Safe,3.32,None,26.0,,7.1,1376.5,1.0,5.95,66.0,220.0,
4630,Hand Pump District Hospital Betul,Groundwater,MADHYA PRADESH,2021,Safe,3.64,None,27.5,,7.75,723.0,1.3,1.3,3.0,15.0,
4627,Hand Pump District Hospital Hoshangabad,Groundwater,MADHYA PRADESH,2021,Safe,2.81,None,23.5,,7.35,2253.0,1.0,20.51,2.0,23.5,
4626,Hand Pump District Hospital Sehore,Groundwater,MADHYA PRADESH,2021,Unsafe,14.86,High BOD,26.0,,7.4,840.5,5.25,3.025,2.0,280.0,
4628,Hand Pump District Hospital Vidisha,Groundwater,MADHYA PRADESH,2021,Safe,3.5,None,24.0,,7.05,1124.0,1.25,7.68,2.0,22.0,
4629,Hand Pump Dstrict Hospital Taisen,Groundwater,MADHYA PRADESH,2021,Safe,7.8,None,28.0,,7.4,1178.0,2.8,15.09,2.0,24.0,
