stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1985,"Kashimira,Bhayander, Thane",Groundwater,MAHARASHTRA,2018,Unsafe,9.46,High BOD,30.0,,8.05,3175.5,3.4,1.0,2.0,11.0,
GEN-8C2496,1986,Groundwater,MAHARASHTRA,2018,Unsafe,34.22,High BOD,,,,,28.0,18.9,78.7,272.0,
GEN-D68A18,1987,Groundwater,MAHARASHTRA,2018,Unsafe,41.49,"High BOD, High Fecal Coliform",,,,,30.0,18.7,990.75,1162.5,
GEN-9D7311,1988,Groundwater,MAHARASHTRA,2018,Unsafe,40.2,"High BOD, High Fecal Coliform",,,,,28.0,18.7,810.4,1095.2,
GEN-4A3E00,1989,Groundwater,MAHARASHTRA,2018,Unsafe,35.34,High BOD,,,,,28.0,18.2,147.4,766.0,
GEN-96055F,1991,Groundwater,MAHARASHTRA,2018,Unsafe,35.21,High BOD,,,,,34.0,21.15,235.15,233.0,
GEN-008BD5,1994,Groundwater,MAHARASHTRA,2018,Unsafe,37.24,High BOD,,,,,21.0,16.6,470.9,574.6,
GEN-3F088E,1995,Groundwater,MAHARASHTRA,2018,Unsafe,37.54,"High BOD, High Fecal Coliform",,,,,30.0,19.6,509.85,607.8,
GEN-6351BF,1996,Groundwater,MAHARASHTRA,2018,Unsafe,38.38,"High BOD, High Fecal Coliform",,,,,30.0,18.65,630.65,629.95,
GEN-06964D,1997,Groundwater,MAHARASHTRA,2018,Unsafe,37.33,High BOD,,,,,27.0,17.5,500.0,497.7,
GEN-C5B2CE,1998,Groundwater,MAHARASHTRA,2018,Unsafe,36.78,High BOD,,,,,30.0,18.75,426.95,447.4,
GEN-5EC829,1999,Groundwater,MAHARASHTRA,2018,Safe,5.47,None,,,,,,7.8,444.1,516.55,
GEN-D0FB96,2001,Groundwater,MAHARASHTRA,2018,Unsafe,37.2,High BOD,,,,,23.0,15.3,483.8,482.7,
GEN-4BA29B,2002,Groundwater,MAHARASHTRA,2018,Unsafe,36.23,High BOD,,,,,25.0,17.25,347.05,434.0,
GEN-A59102,2003,Groundwater,MAHARASHTRA,2018,Unsafe,37.61,High BOD,,,,,22.0,15.7,461.8,897.7,
GEN-D47268,2005,Groundwater,MAHARASHTRA,2018,Unsafe,7.53,High Fecal Coliform,,,,,,7.5,549.3,1021.0,
GEN-EA5A48,2006,Groundwater,MAHARASHTRA,2018,Safe,2.27,None,,,,,,7.2,171.45,277.1,
GEN-A00E5E,2007,Groundwater,MAHARASHTRA,2018,Unsafe,39.58,"High BOD, High Total Coliform",,,,,22.0,15.35,354.35,2914.0,
GEN-EF8446,2008,Groundwater,MAHARASHTRA,2018,Unsafe,37.91,High BOD,,,,,20.0,14.8,482.9,1019.1,
GEN-0172D2,2822,River,MAHARASHTRA,2018,Unsafe,38.5,"High BOD, High Fecal Coliform",,,,27.0,17.55,100.0,774.4,1.9,21.7
1461,"Bhatsa River At D/S Of Pise Dam, Near Pise Village, Tal. Bhiwandi",River,MAHARASHTRA,2018,Safe,6.78,None,28.0,7.0,7.7,244.0,3.0,0.9,21.0,47.0,
1462,Patalganga River Near Intake Of Midc W/W,River,MAHARASHTRA,2018,Unsafe,7.95,High BOD,27.0,6.5,7.2,241.0,3.5,0.9,26.0,94.0,
"CHIKHALI NALLAH MEETS GODAVARI
RIVER, VILLAGE- CHIKHALI, TALUKA-
NASHIK, DISTRICT- NASHIK.",Maharashtra,River,MAHARASHTRA,2018,Unsafe,24.71,"Low DO, High BOD",20.0,3.95,7.42,862.5,18.0,6.4093,12.5,570.0,
"RABODI NALLA, VILLAGE-
RABODI,TALUKA- THANE, DISTRICT-
THANE.",Maharashtra,River,MAHARASHTRA,2018,Unsafe,24.28,"High BOD, High Fecal Coliform",31.0,5.2,7.25,8997.0,76.0,4.1,855.0,1070.0,
"COLOUR CHEM NALLA, VILLAGE-
MAJIWADA,TALUKA-
THANE,DISTRICT- THANE.",Maharashtra,River,MAHARASHTRA,2018,Unsafe,24.2,"High BOD, High Fecal Coliform",30.5,5.7,7.45,18694.0,58.0,7.0,847.0,1015.0,
