stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
2002,"ANJANGAON,AKOT, AKOLA",Groundwater,MAHARASHTRA,2021,26.0,,7.95,874.5,4.2,0.47,8.0,140.0,,797.5,0.25,0.001
1990,"BMW SITE, BURUDGAON, AHMEDNAGAR",Groundwater,MAHARASHTRA,2021,22.5,,7.2,1625.5,5.2,7.695,6.0,58.0,,1254.5,0.2,0.001
2821,"BORE WELL AT BALE RAILWAY STATION PREMISES OWNED BY SHRI DIGAMBAR JOSHI, DAHEGAON, NORTH SOLAPUR",Groundwater,MAHARASHTRA,2021,23.0,,7.65,3538.5,4.8,9.9,40.0,412.5,,3275.0,0.2,
2817,"BORE WELL AT CHITALI NEAR WAGH VASTHI, RAHATA, AHMADNAGAR",Groundwater,MAHARASHTRA,2021,22.0,,7.45,879.5,3.5,6.53,6.0,63.0,,698.0,0.2,0.001
2200,"BORE WELL AT KATPUR, NEAR Z.P SCHOOL, KATPUR, PAITHAN, AURANGABAD",Groundwater,MAHARASHTRA,2021,,,7.3,1395.0,3.2,1.75,,,,1024.0,1.0,
2818,"BORE WELL AT M/S SPECTRON ETHERS SIDDESHWAR MAHADEV MANDIR, RASEGAON, DINDORI, NASHIK",Groundwater,MAHARASHTRA,2021,21.0,,7.1,999.0,3.0,6.5,22.0,100.0,,782.0,0.2,
2830,"BORE WELL AT MIDC GOKUL- SHIRGAON, KARVIR, KOLHAPUR",Groundwater,MAHARASHTRA,2021,28.0,,7.7,781.5,1.9,5.17,,,,554.0,0.25,0.001
2829,BORE WELL AT MIDC SHIROLI NEAR M/S PRATIBHA,Groundwater,MAHARASHTRA,2021,28.0,,7.75,1415.5,2.3,2.965,,,,970.0,0.35,0.001
2823,"BORE WELL AT SHETE VASTI NEAR OLD TULJAPUR ROAD, TULJAPUR NAKA, SOLAPUR",Groundwater,MAHARASHTRA,2021,24.0,,7.75,2913.0,4.8,9.98,77.5,625.0,,2411.0,0.2,
2825,"BORE WELL AT WAHEGAON NEAR ZILLA PARISHAD SCHOOL, WAHEGAON,PAITHAN, AURANGABAD",Groundwater,MAHARASHTRA,2021,29.0,,7.55,2737.5,2.5,2.875,,,,1989.0,0.65,
2822,"BORE WELL NEAR CHINCHOLI, MOHOL, SOLAPUR",Groundwater,MAHARASHTRA,2021,24.5,,7.7,1358.0,4.4,9.605,23.5,235.0,,1169.0,0.2,
1998,"BRHAMNI, KALMESHWAR, NAGPUR",Groundwater,MAHARASHTRA,2021,,,8.0,748.0,4.0,0.3,17.0,120.0,,599.0,0.2,0.001
1999,"CHANGERA, GONDIA",Groundwater,MAHARASHTRA,2021,,,8.2,913.0,3.0,,14.0,140.0,,738.0,,
2204,"DUG WELL AT GUNJALWADI, SANGAMNER NEAR PRIMARY HEALTH CARE CENTER, AHMEDNAGAR",Groundwater,MAHARASHTRA,2021,21.5,,7.35,889.0,3.6,7.15,4.0,49.0,,666.5,0.2,0.001
2201,"DUG WELL AT RANJANGAON, GANAGAPUR, AURANGABAD",Groundwater,MAHARASHTRA,2021,29.0,,7.9,1915.0,2.6,0.3,,,,1412.0,0.7,
2831,"DUG WELL AT SAKHARALI NEAR MIDC ISLAMPUR NEAR KRISHNA MILK INDUSTRY, WALWA, SANGALI",Groundwater,MAHARASHTRA,2021,24.0,,7.4,1046.0,2.6,4.86,4.0,11.0,,714.0,0.2,0.001
2828,"DUG WELL NEAR JILLA PARISHAD PRIMARY SCHOOL, VISAPUR, BALLARPUR, CHANDRAPUR",Groundwater,MAHARASHTRA,2021,42.0,,8.15,811.0,4.1,0.65,9.5,106.0,,712.0,0.3,
2826,"DUG WELL NEAR RAILWAY STATION, COTTON MARKET, WARDHA",Groundwater,MAHARASHTRA,2021,19.0,,7.9,741.5,3.15,1.45,6.5,71.0,,617.0,0.25,
2832,"DUG WELL NO-1 AT BRAHMANWADI ANJANWEL OWNED BY SHRI VAIDYA, GUHAGAR, RATNAGIRI",Groundwater,MAHARASHTRA,2021,26.0,,6.85,87.0,1.8,0.4,4.0,12.5,,68.5,0.35,
2833,DUG WELL NO-1 AT GROUP GRAM PANCHAYAT AT,Groundwater,MAHARASHTRA,2021,27.0,,6.7,340.5,1.7,0.55,5.0,16.0,,241.0,0.3,0.001
2834,"DUG WELL NO-2 AT ARKETWADI, KHED, RATNAGIRI",Groundwater,MAHARASHTRA,2021,27.0,,6.75,483.5,2.3,0.4,5.0,15.0,,337.5,0.3,0.001
2835,"DUG WELL NO-2 OWNED BY GROUP GRAM PANCHAYAT BRAHMANWADI, ANJANWEL, GUHAGAR, RATNAGIRI",Groundwater,MAHARASHTRA,2021,26.0,,6.6,283.0,1.7,1.385,4.5,15.0,,198.0,0.25,0.001
2816,"DUG WELL OF MR.SAMPAT WALUNJ NEAR M/S MAHAJEET CLAYTON, SHINDE VILLAGE, NASHIK",Groundwater,MAHARASHTRA,2021,21.0,,7.3,1510.0,4.2,7.0,22.0,120.0,,1189.0,0.2,
2819,"DUG WELL OWNED BY SHRI DESHMUKH, MALEGAON, BARAMATI, PUNE",Groundwater,MAHARASHTRA,2021,28.25,,7.65,3830.0,6.8,10.855,27.5,587.5,,3458.0,0.25,
2820,"DUG WELL OWNED BY SHRI SHIVAJI BABAN DAREKAR, SANASWADI, SHIRUR, PUNE",Groundwater,MAHARASHTRA,2021,24.5,,7.95,778.5,5.1,5.48,15.5,492.5,,666.0,0.2,
1987,"GOKHIWARE,VASAI, THANE",Groundwater,MAHARASHTRA,2021,33.0,,7.4,5222.0,3.7,1.845,9.0,53.0,,681.5,0.5,0.001
2203,"HAND PUMP IN THE PREMISES OF ZILLA PARISHAD PRIMARY SCHOOL, BHUGAON, WARDHA",Groundwater,MAHARASHTRA,2021,18.5,,7.8,1064.0,3.1,1.75,11.5,76.0,,884.5,0.25,0.001
1985,"KASHIMIRA,BHAYANDER, THANE",Groundwater,MAHARASHTRA,2021,33.0,,7.75,1845.5,3.8,1.1,21.5,171.5,,1657.5,1.15,0.001
2005,"KHANJIRENAGAR, HATKANANGALE, KOLHAPUR",Groundwater,MAHARASHTRA,2021,28.0,,7.8,1543.0,2.1,2.585,,,,1060.0,0.3,0.001
1995,"KHAPERKHEDA, SAONER,NAGPUR",Groundwater,MAHARASHTRA,2021,24.0,,8.05,725.0,4.75,1.55,3.0,36.0,,595.5,1.15,0.001
1996,"KORADI, KAMPTEE,NAGPUR",Groundwater,MAHARASHTRA,2021,,,8.0,714.0,3.8,0.3,12.0,94.0,,571.0,0.2,0.001
2006,"MIDC, SHINOLI, CHANDGAD, KOLHAPUR",Groundwater,MAHARASHTRA,2021,28.0,,7.7,1334.0,2.0,2.715,,,,869.0,0.3,0.001
1989,"MSW SITE, KARAWALA,TALOJA,PANVEL, RAIGAD",Groundwater,MAHARASHTRA,2021,28.5,,7.95,99.0,3.5,0.37,14.0,66.5,,89.0,0.2,0.001
