stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
,1920,Groundwater,MANIPUR,2018,,,,,27.0,17.2,381.2,755.0,,,,15.0
,1921,Groundwater,MANIPUR,2018,,,,,25.0,16.25,446.25,885.0,,,,5.0
,1922,Groundwater,MANIPUR,2018,,,,,25.0,15.65,328.65,651.0,,,,10.0
,1923,Groundwater,MANIPUR,2018,,,,,28.0,17.75,4369.25,8731.0,,,,35.0
,1924,Groundwater,MANIPUR,2018,,,,,25.0,15.65,6.3,,,,,
,2882,Groundwater,MANIPUR,2018,,,,,26.0,16.65,294.15,581.0,,,,
1424,"IMPHAL AT MAHABALI, MANIPUR",River,MANIPUR,2018,24.0,6.6,5.75,3024.5,3.4,18.5,,198.5,,,,
1457,"IMPHAL AT KOIRENGEI, MANIPUR",River,MANIPUR,2018,23.0,7.25,7.25,415.0,2.55,30.5,,130.0,,,,
,1624,River,MANIPUR,2018,,,,,19.0,28.0,,5.6,7.9,,,
1625,"HUMP BRIDGE, MANIPUR",River,MANIPUR,2018,24.5,6.2,7.25,1238.0,36.2,35.0,,731.0,,,,
1627,"KIYAMGI, MANIPUR",River,MANIPUR,2018,24.0,7.65,7.2,534.5,4.45,33.5,,187.5,,,,
1628,"MINUTHONG(IMPHAL RIVER, MANIPUR",River,MANIPUR,2018,23.0,5.7,7.25,528.0,2.45,35.0,,227.5,,,,
1926,"KHUJAIROK RIVER, MOREH",River,MANIPUR,2018,18.0,6.2,7.2,282.0,2.8,40.0,,0.0,,,,
1927,"SEKMAI RIVER, KAKCHING",River,MANIPUR,2018,17.0,7.7,7.2,223.0,3.4,35.0,,0.0,,,,
2855,"WANGJING RIVER AT HEIROK, DISTT. THOUBAL, MANIPUR",River,MANIPUR,2018,23.0,7.8,7.65,450.0,2.9,38.0,,292.5,,,,
2856,"THOUBAL RIVER AT YAIRIPOK, DISTT. THOUBAL, MANIPUR",River,MANIPUR,2018,22.5,8.2,6.95,605.5,3.25,40.5,,320.0,,,,
2857,"MANIPUR RIVER AT THOUBAL, MANIPUR",River,MANIPUR,2018,23.5,8.0,7.25,220.0,3.75,39.25,,180.0,,,,
2858,"NAMBUL RIVER AT SAMUSANG (U.K. ROAD), DISTT. IMPHAL",River,MANIPUR,2018,23.5,7.35,7.35,603.5,39.45,38.0,,250.0,,,,
2859,"SINGDA DAM AT NAMBUL RIVER, IMPHAL WEST, MANIPUR",River,MANIPUR,2018,18.45,10.65,7.75,289.5,3.85,35.0,,35.0,,,,
2860,"NAMBUL RIVER AT NAOREMTHONG, IMPHAL WEST, MANIPUR",River,MANIPUR,2018,23.15,7.5,7.2,1170.5,40.55,40.0,,285.0,,,,
2861,"KANGLA MOAT, IMPHAL WEST, MANIPUR",River,MANIPUR,2018,24.0,7.4,7.5,738.0,2.55,36.0,,252.5,,,,
2862,"IMPHAL RIVER AT SAMUROU, IMPHAL WEST, MANIPUR",River,MANIPUR,2018,24.2,7.2,7.35,579.0,3.4,33.0,,137.5,,,,
2863,"IRIL RIVER AT KANGLA SIPHAI, IMPHAL EAST, MANIPUR",River,MANIPUR,2018,22.5,6.25,7.5,628.0,1.95,34.0,,107.5,,,,
2864,"IMPHAL RIVER AT SEKMAI, IMPHAL EAST, MANIPUR",River,MANIPUR,2018,17.8,7.55,7.4,475.0,2.2,35.0,,70.0,,,,
2867,"MAHA RIVER AT CHANDEL, MANIPUR",River,MANIPUR,2018,23.0,6.2,7.3,321.5,2.85,32.5,,212.5,,,,
2868,"CHAKPI RIVER AT CHAKPIKARONG, CHANDEL, MANIPUR",River,MANIPUR,2018,19.2,7.8,7.1,934.0,3.1,,,680.0,,,,
2872,"THOUBAL RIVER AT LITAN, UKHRUL, MANIPUR",River,MANIPUR,2018,20.75,9.2,7.75,484.5,3.4,32.5,,122.5,,,,
2873,"IRIL RIVER AT LILONG, UKHRUL, MANIPUR",River,MANIPUR,2018,23.5,7.8,7.4,691.5,3.7,37.5,2.0,165.0,,,,
2876,"WANGJING RIVER AT WANGJING, DISTT. THOUBAL, MANIPU",River,MANIPUR,2018,23.0,7.8,7.65,537.0,3.2,37.5,,280.0,,,,
2877,"KHUGA DAM ON KHUGA RIVER, CHURACHANDPUR, MANIPUR",River,MANIPUR,2018,24.35,9.3,7.85,299.0,3.8,40.0,,142.5,,,,
2878,"LOKCHAO RIVER AT BISHNUPUR, MANIPUR",River,MANIPUR,2018,29.0,6.2,7.4,198.0,5.4,,,75.0,,,,
2879,"ETHAI BARRAGE ON MANIPUR RIVER AT BISHNUPUR, MANIP",River,MANIPUR,2018,23.85,6.35,7.6,536.5,2.7,32.5,,122.5,,,,
2880,"NAMBUL RIVER AT BISHNUPUR, MANIPUR",River,MANIPUR,2018,22.75,6.4,7.25,514.5,3.1,37.5,,100.0,,,,
