stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1425,LOKTAK LAKE AT THANA,Pond/Tank,MANIPUR,2020,,24.0,7.1,7.25,177.0,3.25,,17.5,72.5
1426,LOKTAK LAKE AT BISHNUPUR,Pond/Tank,MANIPUR,2020,,24.5,7.2,7.1,185.0,3.15,,20.0,62.5
1629,LOKTAK LAKE AT SENDRA,Pond/Tank,MANIPUR,2020,,24.0,6.9,7.3,180.0,3.25,,17.5,62.5
1630,LOKTAK LAKE AT KARANG ISLAND,Pond/Tank,MANIPUR,2020,,24.0,7.1,7.35,252.5,3.4,,6.0,35.0
2837,PUMLEN LAKE AT TOKPACHING,Pond/Tank,MANIPUR,2020,,23.0,7.2,7.4,260.0,3.5,,22.5,37.5
2839,PUKHRI AT LANGMEIDONG,Pond/Tank,MANIPUR,2020,,23.0,7.25,7.45,290.0,3.55,,10.0,60.0
2840,LAMJAO PUKHURI AT ACHOUBA,Pond/Tank,MANIPUR,2020,,23.5,7.0,7.5,270.0,3.25,,2.0,52.5
2841,HIRANMEI PUKHURI AT THOUBAL,Pond/Tank,MANIPUR,2020,,22.5,6.45,7.15,290.0,3.6,,40.0,135.0
2842,LANGMEIDONG PUKHURI AT THOUBAL,Pond/Tank,MANIPUR,2020,,23.5,7.0,7.35,267.5,3.4,,15.0,70.0
2843,POND AT LALAMBUNG,Pond/Tank,MANIPUR,2020,,23.0,6.5,7.25,230.0,3.45,,12.5,55.0
2844,LILONG PUKHURI,Pond/Tank,MANIPUR,2020,,22.0,6.9,7.65,190.0,3.6,,7.5,45.0
2845,POND AT NGAIRANGBAM,Pond/Tank,MANIPUR,2020,,15.5,6.65,7.25,182.5,3.5,,,40.0
2846,POND AT MOIDANGPOK,Pond/Tank,MANIPUR,2020,,23.5,6.8,7.0,132.5,3.3,,9.0,30.0
2847,POND AT MAIBAM LOKPACHING,Pond/Tank,MANIPUR,2020,,24.5,6.8,7.15,202.0,3.45,,22.5,64.0
2848,POND AT KAKWA BAZAR,Pond/Tank,MANIPUR,2020,,23.0,6.0,7.65,410.0,3.8,,35.0,125.0
