stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
1921,Ground Water Near Heirok,Groundwater,MANIPUR,2021,Safe,0.0,None,24.0,,6.8,742.0,,,,,
2885,Hand Pump At Saiton,Groundwater,MANIPUR,2021,Safe,0.0,None,25.0,,6.8,121.0,,,,,
2881,Hand Pump At Takhel,Groundwater,MANIPUR,2021,Safe,0.0,None,24.0,,6.9,609.0,,,,,
1920,Kakching,Groundwater,MANIPUR,2021,Unsafe,1.54,pH Out of Range,23.0,,6.4,705.0,,,,,
1922,Lamka,Groundwater,MANIPUR,2021,Safe,0.0,None,25.0,,6.9,493.0,,,,,
1923,Moreh,Groundwater,MANIPUR,2021,Safe,0.0,None,26.0,,6.8,672.0,,,,,
1924,Pallel,Groundwater,MANIPUR,2021,Safe,0.0,None,27.0,,7.2,582.0,,,,,
1426,Loktak Lake At Bishnupur,Pond/Tank,MANIPUR,2021,Unsafe,25.05,High BOD,,23.0,7.1,6.95,192.5,3.1,,45.0,95.0
1630,Loktak Lake At Karang Island,Pond/Tank,MANIPUR,2021,Unsafe,25.02,High BOD,,23.5,7.05,7.2,195.0,3.35,,15.0,37.5
1629,Loktak Lake At Sendra,Pond/Tank,MANIPUR,2021,Unsafe,25.04,High BOD,,23.5,7.05,7.15,170.0,3.25,,42.5,82.5
1425,Loktak Lake At Thana,Pond/Tank,MANIPUR,2021,Unsafe,25.03,High BOD,,23.35,7.1,7.3,182.5,3.35,,27.5,72.5
2837,Pumlen Lake At Tokpaching,Pond/Tank,MANIPUR,2021,Unsafe,25.02,High BOD,,24.0,7.25,7.2,208.0,3.4,,15.0,45.0
2849,Chanam Pukhuri,Pond/Tank,MANIPUR,2021,Unsafe,20.5,"pH Out of Range, High BOD",,23.5,6.35,7.3,270.0,3.6,0.3,45.0,125.0
2841,Hiranmei Pukhuri At Thoubal,Pond/Tank,MANIPUR,2021,Unsafe,25.05,High BOD,,24.0,6.85,7.25,265.0,3.55,,52.5,95.0
2840,Lamjao Pukhuri At Achouba,Pond/Tank,MANIPUR,2021,Unsafe,25.01,High BOD,,24.5,7.05,7.35,215.0,3.35,,11.0,37.5
2842,Langmeidong Pukhuri At Thoubal,Pond/Tank,MANIPUR,2021,Unsafe,25.02,High BOD,,24.5,7.0,7.3,195.0,3.45,,21.0,52.5
2844,Lilong Pukhuri,Pond/Tank,MANIPUR,2021,Unsafe,25.01,High BOD,,22.5,6.95,7.4,215.0,3.35,,10.0,42.5
2850,Ningthem Pukhuri,Pond/Tank,MANIPUR,2021,Unsafe,26.59,"pH Out of Range, High BOD",,24.5,6.1,7.3,250.0,3.85,,55.0,145.0
2848,Pond At Kakwa Bazar,Pond/Tank,MANIPUR,2021,Unsafe,25.82,"pH Out of Range, High BOD",,24.5,6.3,7.35,405.0,3.75,,50.0,127.5
2851,Pond At Kongba Bazar,Pond/Tank,MANIPUR,2021,Unsafe,26.42,"pH Out of Range, High BOD",,24.5,6.15,7.25,445.0,4.0,,77.5,262.5
2843,Pond At Lalambung,Pond/Tank,MANIPUR,2021,Unsafe,25.03,High BOD,,23.5,6.75,7.1,205.0,3.45,,30.0,80.0
2847,Pond At Maibam Lokpaching,Pond/Tank,MANIPUR,2021,Unsafe,25.03,High BOD,,24.0,6.9,7.2,175.0,3.45,,30.0,97.5
2846,Pond At Moidangpok,Pond/Tank,MANIPUR,2021,Unsafe,25.01,High BOD,,24.0,7.0,7.3,127.5,3.25,,8.5,32.5
2845,Pond At Ngairangbam,Pond/Tank,MANIPUR,2021,Unsafe,25.04,High BOD,,24.0,7.2,7.45,135.0,3.25,,36.0,47.5
2839,Pukhri At Langmeidong,Pond/Tank,MANIPUR,2021,Unsafe,25.02,High BOD,,24.5,7.2,7.35,215.0,3.4,,20.0,62.5
2836,Morambamarine Canal,MANIPUR,MANIPUR,2021,Unsafe,7.2,High BOD,23.0,7.3,7.35,207.5,3.15,,37.5,75.0,
2868,River Chakpi At Chakpikarong,River,MANIPUR,2021,Unsafe,6.97,High BOD,22.0,7.25,7.45,200.0,3.1,,12.5,45.0,
2879,River Ethai Barrage On Manipur River,River,MANIPUR,2021,Unsafe,7.34,High BOD,23.5,7.25,7.2,225.0,3.1,0.32,72.5,205.0,
1627,River Imphal At Kiyamgi,River,MANIPUR,2021,Unsafe,7.63,High BOD,24.5,6.9,7.25,210.0,3.25,,62.5,205.0,
1457,River Imphal At Koirengei,River,MANIPUR,2021,Unsafe,7.07,High BOD,23.5,7.3,7.5,182.5,3.05,,47.5,132.5,
1424,River Imphal At Mahabali,River,MANIPUR,2021,Unsafe,9.87,High BOD,25.0,6.3,7.2,230.0,4.1,,95.0,485.0,
1628,River Imphal At Minuthong,River,MANIPUR,2021,Unsafe,7.67,High BOD,24.0,7.2,7.4,200.0,3.25,,72.5,207.5,
2862,River Imphal At Samurou,River,MANIPUR,2021,Unsafe,9.49,High BOD,24.5,6.3,7.0,266.0,3.95,,122.5,290.0,
2864,River Imphal At Sekmai,River,MANIPUR,2021,Unsafe,7.49,High BOD,24.5,6.95,7.4,230.0,3.2,,65.0,155.0,
2874,River Irang At Tamenglong,River,MANIPUR,2021,Safe,6.6,None,23.0,7.45,7.5,115.0,2.95,,5.0,37.5,
2863,River Iril At Kangla Siphai,River,MANIPUR,2021,Safe,6.86,None,22.0,7.25,7.55,225.0,3.0,,35.0,77.5,
1624,River Iril At Lilong,River,MANIPUR,2021,Unsafe,10.35,High BOD,24.0,5.4,7.05,475.0,4.15,,172.5,555.0,
2873,River Iril At Lilong,River,MANIPUR,2021,Unsafe,7.75,High BOD,24.5,6.95,7.35,289.5,3.3,,72.5,172.5,
1458,River Iril At Porampet,River,MANIPUR,2021,Unsafe,7.27,High BOD,23.0,7.4,7.5,277.5,3.15,,47.5,112.5,
2861,"River Kangla Moat, Imphal West",River,MANIPUR,2021,Unsafe,8.69,High BOD,24.5,6.4,7.3,305.0,3.75,,60.0,160.0,
1925,River Khuga (Location Pl),River,MANIPUR,2021,Unsafe,7.52,High BOD,23.2,7.25,7.3,280.0,3.2,,62.5,210.0,
2877,River Khuga Dam On Khuga River,River,MANIPUR,2021,Unsafe,7.07,High BOD,23.5,7.3,7.4,170.0,3.15,,13.5,27.5,
1926,"River Khujairok River, Moreh",River,MANIPUR,2021,Unsafe,8.06,High BOD,25.0,7.2,7.25,422.5,3.3,,107.5,377.5,
