stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
1634,"POLICE BAZAR, SHILLONG",Groundwater,MEGHALAYA,2017,18.5,,5.9,303.5,1.9,10.0,12.0,37.5,,12.05,,
1635,"MAWLAI, SHILLONG",Groundwater,MEGHALAYA,2017,18.0,,6.25,300.5,1.85,16.0,54.0,12.51,,,,
1636,"INDUSTRIAL ESTATE, BYRNIHAT",Groundwater,MEGHALAYA,2017,25.0,,6.25,113.5,1.5,16.0,90.0,1.61,,,,
1637,"SOHRA, CHERRAPUNJEE",Groundwater,MEGHALAYA,2017,17.0,,6.05,113.5,1.65,7.0,26.0,3.1,,,,
1638,SHANGPUNG,Groundwater,MEGHALAYA,2017,20.5,,6.45,142.5,1.1,3.0,25.0,8.77,,,,
3385,MAWTHADRISHAN WELL AT MARKASA,Groundwater,MEGHALAYA,2017,15.0,,6.8,48.5,2.0,8.0,26.0,0.335,,,,
3386,JAKREM HOT SPRING AT JAKREM,Groundwater,MEGHALAYA,2017,43.5,,9.5,342.5,1.0,2.0,18.5,0.43,,,,
1347,"UMIAM LAKE AT BARAPANI, MEGHALAYA",River,MEGHALAYA,2017,,20.5,5.9,7.3,92.5,5.15,0.83,2200.0,3800.0,,,
1348,"WARD LAKE AT SHILONG EAST, KHASI HILL DT., MEGHALAYA",River,MEGHALAYA,2017,,20.0,7.3,7.25,165.0,5.25,0.65,1405.0,2850.0,,,
1459,"THADLASKEIN LAKE, MEGHALAYA",River,MEGHALAYA,2017,,19.0,6.85,7.2,48.5,2.0,0.23,19.5,47.0,,,
3346,"UMIAM LAKE AT OUTFALL OF UMIAM RIVER INTO LAKE, RI- BHOI",River,MEGHALAYA,2017,,20.0,5.05,7.6,165.0,7.6,1.875,2500.0,4550.0,,,
3347,"UMIAM LAKE AT MIDDLE POINT, RI- BHOI",River,MEGHALAYA,2017,,18.5,5.6,7.7,124.5,4.85,0.885,2050.0,3600.0,,,
3348,"UMIAM LAKE ATNEAR UNITED CHRISTIAN COLLEGE, RI- BHOI",River,MEGHALAYA,2017,,20.5,6.2,7.45,127.0,4.9,0.79,2000.0,3600.0,,,
3349,"TASEK LAKE AT SONGSAK (NAPHAK), EAST GARO HILLS",River,MEGHALAYA,2017,,21.5,3.95,7.1,71.0,1.95,0.35,22.0,46.5,,,
,1427,River,MEGHALAYA,2017,,,,17.0,15.3,7.3,31.2,52.2,4.145,,,
,1631,River,MEGHALAYA,2017,,,,15.0,13.8,6.85,28.65,49.5,2.715,,,
,1632,River,MEGHALAYA,2017,,,,16.0,17.45,7.6,33.0,72.0,1.325,,,
,1633,River,MEGHALAYA,2017,,,,17.0,17.4,7.7,32.95,70.6,1.34,,,
,3350,River,MEGHALAYA,2017,,,,13.0,13.6,7.25,27.6,33.3,1.53,,,
,3351,River,MEGHALAYA,2017,,,,15.0,14.95,7.65,21.8,35.1,1.36,,,
,3352,River,MEGHALAYA,2017,,,,14.0,14.65,7.75,23.85,35.0,1.4,,,
,3356,River,MEGHALAYA,2017,,,,15.0,17.5,7.6,26.5,66.5,1.05,,,
,3357,River,MEGHALAYA,2017,,,,13.0,13.7,7.5,20.15,32.05,1.36,,,
,3358,River,MEGHALAYA,2017,,,,15.0,13.15,7.4,20.25,42.0,0.975,,,
,3363,River,MEGHALAYA,2017,,,,10.0,13.7,7.2,18.6,222.7,1.375,,,
,3365,River,MEGHALAYA,2017,,,,13.0,13.0,7.0,58.65,181.4,15.185,,,
,3366,River,MEGHALAYA,2017,,,,16.0,16.5,7.85,21.75,28.05,3.2,,,
,3383,River,MEGHALAYA,2017,,,,19.0,17.4,7.45,37.95,78.2,1.245,,,
,3384,River,MEGHALAYA,2017,,,,20.0,19.45,7.45,36.5,81.7,1.275,,,
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,MEGHALAYA,2017,17.5,7.75,7.0,50.5,1.45,0.5,22.0,80.0,,,,
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,MEGHALAYA,2017,18.0,7.7,7.05,50.5,1.4,0.25,18.5,51.5,,,,
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,",MEGHALAYA,MEGHALAYA,2017,24.5,7.45,7.4,82.5,1.85,0.4,30.0,84.0,,,,
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA,",MEGHALAYA,MEGHALAYA,2017,23.5,7.15,7.75,148.0,1.8,0.6,26.5,71.5,,,,
3382,MANDA RIVER (DUDHAI RIVER) AT WAGAISI,MEGHALAYA,MEGHALAYA,2017,23.5,7.1,7.7,85.0,1.3,0.5,22.0,80.0,,,,
