stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
2054,RAMHLUM (NORTHERN PART),Groundwater,MIZORAM,2016,19.0,,6.9,575.5,1.55,0.1,1.8,82.0,,,,
2055,MISSION VENGTHLANG (SOUTHERN PART),Groundwater,MIZORAM,2016,17.0,,7.05,392.0,1.35,0.1,15.0,250.0,,,,
3729,"BAWNGKAWN HAND PUMP, NEAR HB PETROLPUMP",Groundwater,MIZORAM,2016,18.5,,6.95,331.0,1.05,0.1,0.0,7.2,,,,
3730,SELESIH HAND PUMP,Groundwater,MIZORAM,2016,17.5,,7.15,331.5,0.8,0.1,,,,,,
3731,TUIKUAL HAND PUMP,Groundwater,MIZORAM,2016,19.0,,6.3,370.5,0.45,0.15,,,,,,
3732,CHALTLANG HAND PUMP NEAR TEMI TYRE WORKS,Groundwater,MIZORAM,2016,19.0,,6.2,329.0,0.85,0.1,0.0,15.0,,,,
3733,S HLIMEN HAND PUMP,Groundwater,MIZORAM,2016,17.5,,6.95,949.0,0.95,0.05,0.0,3.6,,,,
3739,"ZOBAWK VENG HAND PUMP, LUNGLEI",Groundwater,MIZORAM,2016,19.0,,6.8,407.0,1.0,0.05,,,,,,
3742,"CHANMARI HAND PUMP, LAWNGTLAI",Groundwater,MIZORAM,2016,13.55,,6.65,838.0,1.6,0.1,,,,,,
3748,"PROJECT NENG HAND PUMP, SERCHHIP",Groundwater,MIZORAM,2016,18.5,,7.45,373.0,1.5,0.1,,,,,,
3758,"BETHEL VENG HAND PUMP, CHAMPHAI",Groundwater,MIZORAM,2016,21.0,,7.15,368.0,1.6,0.1,,,,,,
3709,TIAWANG SAIRANG,River,MIZORAM,2016,22.0,7.9,7.65,568.5,1.85,0.25,48.3,1345.0,,,,
3710,"SERLUI STREAM, REIEK KAI PHE WATER TREATMENT PLANT",River,MIZORAM,2016,18.5,7.35,7.75,394.0,1.55,0.05,3.6,150.0,,,,
3711,"VAIPUANPHO, REIEK KAI",River,MIZORAM,2016,19.0,7.55,7.9,380.5,1.7,0.05,9.1,1100.0,,,,
3712,"TUIKUAL STREAM, REIEK KAI",River,MIZORAM,2016,20.0,6.25,7.6,381.0,1.55,0.05,,,,,,
3713,"SAKHISIH STREAM,VENGTHLANG",River,MIZORAM,2016,17.0,5.4,7.05,949.5,1.15,0.05,3.6,23.0,,,,
3714,TUIRIAL UPSTREAM NEAR SUMNATH VILLAGE,River,MIZORAM,2016,14.5,7.2,7.75,336.0,1.35,0.05,,,,,,
3715,"TUIRIAL AIRFIELD, NEAR DUMPING GROUND",River,MIZORAM,2016,20.5,7.4,7.55,810.5,1.8,0.15,,,,,,
3716,"DAMDIAI STREAM, AIRFIELD, NEAR DUMPING GROUND",River,MIZORAM,2016,20.5,6.65,7.55,820.5,1.4,0.1,9.1,2400.0,,,,
3717,"TUIRIAL AIRFIELD, AFTER DUMPING GROUND",River,MIZORAM,2016,22.0,6.15,7.65,825.0,1.4,0.05,13.3,1237.5,,,,
