stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2054,Ramhlum (Northern Part),Groundwater,MIZORAM,2016,Safe,4.39,None,19.0,,6.9,575.5,1.55,0.1,1.8,82.0,
2055,Mission Vengthlang (Southern Part),Groundwater,MIZORAM,2016,Safe,4.07,None,17.0,,7.05,392.0,1.35,0.1,15.0,250.0,
3729,"Bawngkawn Hand Pump, Near Hb Petrolpump",Groundwater,MIZORAM,2016,Safe,2.92,None,18.5,,6.95,331.0,1.05,0.1,0.0,7.2,
3730,Selesih Hand Pump,Groundwater,MIZORAM,2016,Safe,4.44,None,17.5,,7.15,331.5,0.8,0.1,,,
3731,Tuikual Hand Pump,Groundwater,MIZORAM,2016,Unsafe,4.04,pH Out of Range,19.0,,6.3,370.5,0.45,0.15,,,
3732,Chaltlang Hand Pump Near Temi Tyre Works,Groundwater,MIZORAM,2016,Unsafe,3.53,pH Out of Range,19.0,,6.2,329.0,0.85,0.1,0.0,15.0,
3733,S Hlimen Hand Pump,Groundwater,MIZORAM,2016,Safe,2.64,None,17.5,,6.95,949.0,0.95,0.05,0.0,3.6,
3739,"Zobawk Veng Hand Pump, Lunglei",Groundwater,MIZORAM,2016,Safe,5.55,None,19.0,,6.8,407.0,1.0,0.05,,,
3742,"Chanmari Hand Pump, Lawngtlai",Groundwater,MIZORAM,2016,Safe,8.88,None,13.55,,6.65,838.0,1.6,0.1,,,
3748,"Project Neng Hand Pump, Serchhip",Groundwater,MIZORAM,2016,Safe,8.32,None,18.5,,7.45,373.0,1.5,0.1,,,
3758,"Bethel Veng Hand Pump, Champhai",Groundwater,MIZORAM,2016,Safe,8.88,None,21.0,,7.15,368.0,1.6,0.1,,,
3709,Tiawang Sairang,River,MIZORAM,2016,Safe,5.38,None,22.0,7.9,7.65,568.5,1.85,0.25,48.3,1345.0,
3710,"Serlui Stream, Reiek Kai Phe Water Treatment Plant",River,MIZORAM,2016,Safe,3.58,None,18.5,7.35,7.75,394.0,1.55,0.05,3.6,150.0,
3711,"Vaipuanpho, Reiek Kai",River,MIZORAM,2016,Safe,4.69,None,19.0,7.55,7.9,380.5,1.7,0.05,9.1,1100.0,
3712,"Tuikual Stream, Reiek Kai",River,MIZORAM,2016,Safe,5.74,None,20.0,6.25,7.6,381.0,1.55,0.05,,,
3713,"Sakhisih Stream,Vengthlang",River,MIZORAM,2016,Safe,2.59,None,17.0,5.4,7.05,949.5,1.15,0.05,3.6,23.0,
3714,Tuirial Upstream Near Sumnath Village,River,MIZORAM,2016,Safe,5.0,None,14.5,7.2,7.75,336.0,1.35,0.05,,,
3715,"Tuirial Airfield, Near Dumping Ground",River,MIZORAM,2016,Safe,6.66,None,20.5,7.4,7.55,810.5,1.8,0.15,,,
3716,"Damdiai Stream, Airfield, Near Dumping Ground",River,MIZORAM,2016,Safe,5.06,None,20.5,6.65,7.55,820.5,1.4,0.1,9.1,2400.0,
3717,"Tuirial Airfield, After Dumping Ground",River,MIZORAM,2016,Safe,4.15,None,22.0,6.15,7.65,825.0,1.4,0.05,13.3,1237.5,
3718,"Chite Stream, Armed Veng Near Mini Sports Complex",River,MIZORAM,2016,Safe,3.23,None,21.0,5.9,7.7,550.0,1.35,1.1,15.0,210.0,
3719,Tuirini Seling,River,MIZORAM,2016,Safe,5.74,None,20.0,7.05,7.3,347.0,1.55,0.05,,,
3720,"Tuivawl Near Tuivawl Bridge, Keifang",River,MIZORAM,2016,Unsafe,14.62,High BOD,20.0,7.2,7.35,346.0,3.95,0.05,,,
3721,"Lawibuai Stream, Lawibual Village",River,MIZORAM,2016,Safe,3.36,None,18.0,5.95,7.6,938.0,1.4,0.1,13.3,243.5,
3723,"Tamdil Lake, Saitual",River,MIZORAM,2016,Safe,5.92,None,20.0,6.4,7.7,369.5,1.6,0.05,,,
3725,"Lungli Tuikhur, Republic Veng",River,MIZORAM,2016,Safe,3.82,None,18.0,7.05,7.35,512.5,1.6,0.05,9.1,290.0,
3726,"Ramhlun 'S' Tuikhur, Near Community Hall",River,MIZORAM,2016,Safe,3.48,None,18.5,6.0,6.9,548.0,1.4,0.05,0.0,460.0,
3727,"Tuithang Veng, Tuikhur",River,MIZORAM,2016,Safe,2.85,None,17.5,5.1,6.55,517.5,1.25,0.05,6.35,64.0,
3728,"Khurpui Tuikhur, S Hlimen",River,MIZORAM,2016,Safe,3.94,None,17.5,6.9,7.15,924.0,1.55,0.05,12.3,557.5,
3734,"Tlawng River, Upstream Zobawk, Lunglei",River,MIZORAM,2016,Safe,6.84,None,19.0,7.15,7.2,362.0,1.85,0.05,,,
3735,Mat River,River,MIZORAM,2016,Safe,7.21,None,19.5,8.15,7.3,402.0,1.95,0.05,,,
3736,"Tlawng Pialthleng, Zotlang, Lunglei",River,MIZORAM,2016,Safe,6.48,None,19.5,8.0,7.5,398.0,1.75,0.05,,,
3737,"Vaitui Tuikhur, Theiriat, Lunglei",River,MIZORAM,2016,Safe,5.36,None,18.0,6.95,6.95,399.0,1.45,0.05,,,
3738,"Sap Tuikhur, Serkawn Nearby",River,MIZORAM,2016,Safe,5.92,None,15.5,6.85,6.95,407.5,1.6,0.05,,,
3740,"Saikah Stream, Lawngtlai",River,MIZORAM,2016,Safe,4.44,None,20.5,5.8,7.05,306.0,1.2,0.05,,,
3741,"Khupui Tuikhur, Lawngtlai",River,MIZORAM,2016,Safe,7.03,None,18.5,7.15,7.15,331.0,1.9,0.05,,,
3743,"Phe Reservoir, Helipad, New Saiha",River,MIZORAM,2016,Safe,3.88,None,17.5,7.35,7.45,355.0,1.05,0.05,,,
3744,Chhimtuipui Kawlchaw,River,MIZORAM,2016,Safe,6.1,None,20.5,7.7,7.7,377.5,1.65,0.1,,,
3745,"Chhochhopa Tuikhur, Saiha",River,MIZORAM,2016,Safe,6.48,None,17.5,6.55,7.5,344.5,1.75,0.05,,,
3746,Tuikum Serchhip,River,MIZORAM,2016,Safe,5.0,None,16.5,6.65,7.3,475.0,1.35,0.15,,,
3747,"Sesah Stream, Serchhip",River,MIZORAM,2016,Safe,5.18,None,17.0,6.95,7.3,387.0,1.4,0.1,,,
3749,"Lahmun Phaizau, Mamit",River,MIZORAM,2016,Safe,3.7,None,23.5,6.9,7.2,300.5,1.0,0.1,,,
3750,Teirei River,River,MIZORAM,2016,Safe,4.07,None,22.0,6.9,6.85,295.0,1.1,0.1,,,
3751,Tut River,River,MIZORAM,2016,Safe,4.25,None,22.0,6.8,7.05,298.0,1.15,0.05,,,
3752,"Tuichhuahen Stream, Kolasib",River,MIZORAM,2016,Safe,5.92,None,20.5,7.25,6.65,405.5,1.6,0.05,,,
3753,"Hmar Veng Tuikhur, Kolasib",River,MIZORAM,2016,Safe,7.21,None,18.5,8.0,6.8,424.0,1.95,0.05,,,
3754,Tlawng D/S Bairabi,River,MIZORAM,2016,Unsafe,14.06,High BOD,24.0,7.6,7.5,338.0,3.8,0.1,,,
3756,Tiau Champhai,River,MIZORAM,2016,Unsafe,7.62,pH Out of Range,20.5,7.55,8.65,357.5,1.9,0.05,,,
3757,Tuipui Champhai,River,MIZORAM,2016,Unsafe,13.13,High BOD,19.5,9.35,7.85,495.5,3.55,0.05,,,
3722,Lawbuai Fishpond,Pond/Tank,MIZORAM,2016,Unsafe,26.92,"pH Out of Range, High BOD",,19.0,6.0,7.55,500.0,0.9,0.15,,
3755,"Pond,Near Thermal Power Plant, Bairabi",Pond/Tank,MIZORAM,2016,Unsafe,28.65,"pH Out of Range, High BOD",,24.0,5.55,7.8,382.0,2.25,0.05,,
