stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
2896,Borewell At Kohima Village In Kohima,Groundwater,NAGALAND,2017,Safe,0.0,None,23.6,,7.95,586.0,,,,,
2897,"Borewell At Kamdi Bazar, Peren",Groundwater,NAGALAND,2017,Safe,0.0,None,26.55,,7.25,218.0,,,,0.025,
2899,"Borewell At Dhansiripar, Dhansiripar Division, Dimapur",Groundwater,NAGALAND,2017,Safe,0.0,None,,,7.5,248.0,,,,0.12,
2901,"Openwell At Lungwiram Village, Dimapur",Groundwater,NAGALAND,2017,Safe,0.0,None,34.0,,7.05,367.5,,,,0.7,
2902,"Borewell At Thahekhu Village, Dimapur",Groundwater,NAGALAND,2017,Safe,0.0,None,28.8,,7.8,192.5,,,,0.06,
2903,"Openwell At Signal Angami Village, Dimapur",Groundwater,NAGALAND,2017,Safe,0.0,None,24.5,,7.35,491.5,,,,0.145,
2904,"Openwell At Naga Cemetery, Dimapur",Groundwater,NAGALAND,2017,Safe,0.01,None,25.7,,6.65,788.0,,,,2.6,
2905,"Borewell At Signal Point, Dimapur",Groundwater,NAGALAND,2017,Safe,0.0,None,26.3,,7.15,349.0,,,,0.055,
2886,"Pudumpukhuri, Dimapur, Nagaland",Pond/Tank,NAGALAND,2017,Unsafe,31.73,"pH Out of Range, High BOD",,28.3,4.75,7.65,187.0,3.9,0.315,,
2887,"Bangla Fishery, Dimapur, Nagaland",Pond/Tank,NAGALAND,2017,Unsafe,32.69,"pH Out of Range, High BOD",,27.55,4.5,7.3,123.0,3.1,0.5,,
1796,Dhansiri At Full Nagarjan,River,NAGALAND,2017,Unsafe,25.02,"Low DO, High BOD",26.1,3.3,7.6,264.5,3.7,0.65,,,
1799,Dhansiri At Town Boundary Bridge (Diphu Road),River,NAGALAND,2017,Unsafe,19.77,Low DO,23.15,3.7,7.6,140.0,3.0,0.5,,,
1797,"Dhansiri At Bridge Near Purana Bazaar, Nagaland",River,NAGALAND,2017,Unsafe,25.28,"Low DO, High BOD",26.5,3.65,7.75,176.0,4.4,0.6,,,
1800,Dhansiri At Nuton Basti,River,NAGALAND,2017,Unsafe,42.0,"Low DO, High BOD",24.45,3.7,7.25,263.5,14.2,0.65,,,
1798,Dhansiri At Near Check Gate (Dimapur Khutkhuti Road),River,NAGALAND,2017,Unsafe,22.76,"Low DO, High BOD",26.6,3.75,7.7,166.0,3.9,0.5,,,
1929,"Chathe At Medziphema, Dimapur",River,NAGALAND,2017,Unsafe,10.62,Low DO,22.7,4.85,7.75,113.5,2.6,0.7,,,
1930,Dzu D/S Kohima Town,River,NAGALAND,2017,Unsafe,16.54,"Low DO, High BOD",20.2,4.35,8.3,325.0,3.3,0.7,,,
3764,"Dhansiri River Near Bridge At Nh15, Dhansiri Bhalukmari Jungle, Udalguri",River,NAGALAND,2017,Unsafe,21.57,"High BOD, High Fecal Coliform, High Total Coliform",23.0,7.0,7.35,83.0,3.1,2.0,1500.0,10865.0,
3792,Dhansiri River At Jahaighat,River,NAGALAND,2017,Unsafe,34.97,"High BOD, High Fecal Coliform, High Total Coliform",27.0,6.85,7.0,94.5,3.05,1.15,2050.0,55750.0,
2888,"Chathe River Near Christian Institute Of Health Sciences And Research (Cihsr), Dimapur",NAGALAND,NAGALAND,2017,Safe,8.51,None,24.1,5.6,7.7,106.0,2.3,0.8,,,
2889,Dzucha Ru In Kohima,NAGALAND,NAGALAND,2017,Safe,7.03,None,19.7,5.95,8.05,192.0,1.9,0.55,,,
2890,Sano Ru In Kohima,NAGALAND,NAGALAND,2017,Safe,10.36,None,18.8,5.35,7.75,311.0,2.8,1.75,,,
2891,Dzucha Ru In Kohima,NAGALAND,NAGALAND,2017,Safe,9.99,None,19.95,5.0,7.8,241.5,2.7,0.6,,,
2892,"Dzuna Ru In Kohima, Adjoining The New Kohima Municipal Council Solid Waste Management Site, Nagaland",NAGALAND,NAGALAND,2017,Unsafe,30.15,High BOD,22.75,5.15,8.1,498.0,8.15,1.3,,,
2893,Dzuna Ru (Confluence Of Dzucha & Dzuna Ru) In Kohima,NAGALAND,NAGALAND,2017,Unsafe,15.54,High BOD,23.1,5.05,7.75,287.5,4.2,1.0,,,
2894,"Milak River At Tuli, Mokokchung",NAGALAND,NAGALAND,2017,Safe,7.4,None,24.35,5.15,7.8,99.0,2.0,0.35,,,
2895,"Milak River At Paper Nagar, Tuli, Mokokchung",NAGALAND,NAGALAND,2017,Safe,7.4,None,25.05,5.1,6.8,95.0,2.0,0.4,,,
