stn_code,monitoring_location,water_body_type,state,year,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,total_dissolved_solids_avg,fluoride_avg,arsenic_avg
2896,BOREWELL AT KOHIMA VILLAGE IN KOHIMA,Groundwater,NAGALAND,2018,18.5,,7.1,712.5,,5.25,,,,,,
,2897,Groundwater,NAGALAND,2018,,,,,27.0,17.2,109.25,288.0,,0.1,0.6,
,2900,Groundwater,NAGALAND,2018,,,,,27.0,17.45,91.5,227.0,,1.1,1.9,
,2901,Groundwater,NAGALAND,2018,,,,,31.0,19.75,109.25,221.0,,7.7,12.2,
,2902,Groundwater,NAGALAND,2018,,,,,25.0,17.25,189.75,377.0,,0.1,0.4,
,2904,Groundwater,NAGALAND,2018,,,,,26.0,16.25,313.4,827.0,,3.2,8.6,
,2905,Groundwater,NAGALAND,2018,,,,,27.0,16.85,392.35,811.0,,0.1,0.7,
1799,"TOWN BOUNDARY BRIDGE (DIPHU ROAD), NAGALAND",River,NAGALAND,2018,,22.0,5.6,7.3,125.0,2.8,0.55,,,,,
1800,"NUTON BASTI, NAGALAND",River,NAGALAND,2018,23.0,2.1,6.85,199.5,6.7,1.05,,,,,,
1930,DZU D/S KOHIMA TOWN,River,NAGALAND,2018,18.0,6.6,8.0,413.0,2.8,4.6,,,,,,
1929,"CHATHE AT MEDZIPHEMA, DIMAPUR",River,NAGALAND,2018,21.5,6.0,7.5,128.0,2.6,0.75,,,,,,
2888,CHATHE RIVER NEAR CHRISTIAN INSTITUTE OF HEALTH SC,River,NAGALAND,2018,23.0,6.15,7.5,104.5,2.1,0.6,,,,,,
2892,"DZUNA RU IN KOHIMA, ADJOINING THE NEW KOHIMA MUNIC",River,NAGALAND,2018,20.0,5.1,7.7,630.0,3.15,5.65,,,,,,
2894,"MILAK RIVER AT TULI, MOKOKCHUNG, NAGALAND",River,NAGALAND,2018,22.0,5.8,7.25,110.0,1.7,1.2,,,,,,
